Robot_ID,Robot_Model,Manufacturer,Axis_Count,Operating_Hours,Cycle_Count,Error_Code,Maintenance_Due,Status
ROB0121,Yaskawa GP25,Yaskawa,5,12994,740244,E310,2026-08-05,Idle
ROB0122,KUKA KR10,ABB,4,10697,382409,E101,2026-12-23,Stopped
ROB0123,KUKA KR10,Yaskawa,4,6547,283159,E310,2026-08-11,Idle
ROB0124,ABB IRB2600,KUKA,6,3172,366222,E310,2026-12-31,Running
ROB0125,KUKA KR10,FANUC,6,2495,594191,None,2026-09-02,Maintenance
ROB0126,FANUC M-20iD,ABB,4,17838,23189,None,2026-08-20,Maintenance
ROB0127,Yaskawa GP25,KUKA,4,19114,600730,E202,2027-01-08,Running
ROB0128,ABB IRB2600,ABB,6,16825,200617,E101,2026-11-15,Maintenance
ROB0129,FANUC M-20iD,ABB,6,12760,611866,E101,2026-10-18,Stopped
ROB0130,ABB IRB2600,ABB,5,1494,662300,None,2026-07-18,Running
ROB0131,KUKA KR10,KUKA,4,11937,726211,E101,2026-10-02,Idle
ROB0132,FANUC M-20iD,Yaskawa,4,5587,652978,E202,2026-12-29,Stopped
ROB0133,Yaskawa GP25,Yaskawa,4,18668,78643,E202,2026-10-07,Idle
ROB0134,KUKA KR10,ABB,4,16581,207488,E310,2026-11-05,Running
ROB0135,KUKA KR10,FANUC,5,19870,113578,None,2026-11-24,Maintenance
ROB0136,Yaskawa GP25,ABB,5,10996,152056,E310,2026-12-20,Idle
ROB0137,KUKA KR10,Yaskawa,5,14758,405383,None,2026-08-29,Stopped
ROB0138,FANUC M-20iD,Yaskawa,4,11035,598516,E310,2026-12-15,Stopped
ROB0139,KUKA KR10,Yaskawa,5,2306,563176,None,2026-08-21,Idle
ROB0140,FANUC M-20iD,KUKA,6,19219,579153,E101,2026-10-22,Maintenance
ROB0141,FANUC M-20iD,FANUC,4,10426,413598,E101,2027-01-03,Maintenance
ROB0142,FANUC M-20iD,Yaskawa,6,17158,559437,E101,2026-09-09,Maintenance
ROB0143,FANUC M-20iD,ABB,4,15482,204726,E101,2026-12-20,Maintenance
ROB0144,FANUC M-20iD,ABB,5,7274,608889,None,2026-09-19,Running
ROB0145,Yaskawa GP25,ABB,6,4311,314550,None,2026-09-17,Idle
ROB0146,KUKA KR10,ABB,5,7983,399843,E310,2026-08-30,Running
ROB0147,ABB IRB2600,ABB,6,8566,661966,E202,2026-08-10,Stopped
ROB0148,KUKA KR10,ABB,6,9433,439080,None,2026-09-29,Stopped
ROB0149,Yaskawa GP25,Yaskawa,5,6709,866397,E310,2027-01-08,Maintenance
ROB0150,FANUC M-20iD,Yaskawa,4,15217,145149,E101,2026-08-18,Running
ROB0151,FANUC M-20iD,FANUC,4,16508,79730,E101,2026-09-26,Maintenance
ROB0152,ABB IRB2600,KUKA,6,13548,308641,E202,2026-10-02,Maintenance
ROB0153,KUKA KR10,FANUC,4,13440,872849,E101,2026-12-22,Running
ROB0154,Yaskawa GP25,ABB,4,17481,47429,E310,2026-07-16,Stopped
ROB0155,FANUC M-20iD,FANUC,4,1746,883563,E310,2026-08-08,Idle
ROB0156,FANUC M-20iD,FANUC,4,14785,655210,E202,2026-08-04,Stopped
ROB0157,ABB IRB2600,Yaskawa,6,1845,705076,E101,2026-12-03,Idle
ROB0158,KUKA KR10,FANUC,6,965,170128,E202,2027-01-01,Maintenance
ROB0159,ABB IRB2600,KUKA,5,7074,685424,None,2026-08-25,Stopped
ROB0160,Yaskawa GP25,ABB,5,17067,76741,E101,2026-12-31,Idle
ROB0161,ABB IRB2600,KUKA,6,14880,36539,E310,2026-10-20,Running
ROB0162,ABB IRB2600,KUKA,6,5778,160327,E202,2026-12-06,Running
ROB0163,FANUC M-20iD,FANUC,5,17475,570226,None,2026-10-02,Idle
ROB0164,KUKA KR10,KUKA,4,5201,118834,E101,2026-09-03,Running
ROB0165,Yaskawa GP25,FANUC,6,2414,863232,E310,2026-10-03,Running
ROB0166,ABB IRB2600,FANUC,6,18377,87514,None,2026-07-17,Stopped
ROB0167,Yaskawa GP25,KUKA,6,13173,481514,E101,2027-01-05,Stopped
ROB0168,KUKA KR10,KUKA,6,15408,512403,E101,2026-08-28,Stopped
ROB0169,KUKA KR10,ABB,4,9899,678040,E101,2026-08-08,Stopped
ROB0170,KUKA KR10,ABB,5,1186,462708,E202,2026-07-28,Idle
ROB0171,FANUC M-20iD,Yaskawa,5,18243,248011,E310,2026-12-30,Idle
ROB0172,KUKA KR10,ABB,5,14299,448017,E310,2026-08-12,Stopped
ROB0173,Yaskawa GP25,Yaskawa,5,12413,364210,E202,2026-10-05,Stopped
ROB0174,ABB IRB2600,ABB,4,7609,757204,E101,2026-08-14,Idle
ROB0175,KUKA KR10,Yaskawa,6,13876,403023,E202,2026-08-28,Idle
ROB0176,Yaskawa GP25,ABB,5,4060,579197,E310,2026-12-26,Maintenance
ROB0177,Yaskawa GP25,FANUC,4,7616,364086,E101,2026-07-25,Stopped
ROB0178,Yaskawa GP25,ABB,5,1281,737679,E101,2026-09-07,Stopped
ROB0179,ABB IRB2600,KUKA,6,18960,816606,E101,2026-08-15,Stopped
ROB0180,ABB IRB2600,ABB,5,10870,501341,E101,2026-10-28,Idle
ROB0181,Yaskawa GP25,KUKA,6,17886,781036,None,2026-11-28,Running
ROB0182,FANUC M-20iD,FANUC,4,784,65315,E202,2026-10-15,Running
ROB0183,KUKA KR10,KUKA,4,5434,233359,E202,2026-10-31,Running
ROB0184,KUKA KR10,KUKA,6,15134,508165,E202,2026-11-01,Idle
ROB0185,KUKA KR10,KUKA,4,18911,177575,E101,2026-11-27,Idle
ROB0186,Yaskawa GP25,FANUC,6,13924,175969,E310,2026-07-21,Maintenance
ROB0187,ABB IRB2600,FANUC,6,5305,476515,None,2026-11-20,Running
ROB0188,ABB IRB2600,Yaskawa,5,12931,510044,E101,2026-08-24,Running
ROB0189,KUKA KR10,Yaskawa,6,19240,200666,E310,2026-07-19,Running
ROB0190,Yaskawa GP25,KUKA,5,3285,397939,None,2026-08-03,Idle
ROB0191,ABB IRB2600,KUKA,6,13398,166747,None,2027-01-04,Idle
ROB0192,KUKA KR10,KUKA,6,3222,381942,E310,2026-11-26,Running
ROB0193,Yaskawa GP25,ABB,5,8780,211350,E202,2026-08-31,Running
ROB0194,Yaskawa GP25,KUKA,4,2204,690950,E101,2026-09-23,Maintenance
ROB0195,KUKA KR10,Yaskawa,5,11559,52420,E202,2026-09-15,Stopped
ROB0196,FANUC M-20iD,KUKA,6,1528,146996,None,2026-08-24,Running
ROB0197,KUKA KR10,Yaskawa,4,15904,408476,E310,2026-10-31,Running
ROB0198,KUKA KR10,Yaskawa,5,12519,852159,E310,2026-07-31,Stopped
ROB0199,KUKA KR10,ABB,5,9071,589215,E101,2027-01-01,Stopped
ROB0200,KUKA KR10,KUKA,4,15241,714441,None,2026-08-06,Maintenance
ROB0201,FANUC M-20iD,FANUC,4,4007,264763,None,2026-09-19,Idle
ROB0202,KUKA KR10,FANUC,4,19240,850388,E101,2026-12-13,Running
ROB0203,FANUC M-20iD,FANUC,6,940,782279,E202,2026-09-22,Running
ROB0204,ABB IRB2600,Yaskawa,6,11342,834318,None,2026-09-10,Running
ROB0205,FANUC M-20iD,ABB,4,3159,204589,None,2026-10-21,Running
ROB0206,FANUC M-20iD,Yaskawa,6,8137,230430,None,2026-12-16,Running
ROB0207,Yaskawa GP25,KUKA,6,17845,211996,E310,2026-11-02,Idle
ROB0208,Yaskawa GP25,ABB,5,9939,777101,None,2026-12-29,Stopped
ROB0209,ABB IRB2600,FANUC,4,6262,217324,E202,2026-11-01,Idle
ROB0210,ABB IRB2600,FANUC,6,2983,207340,E101,2026-08-31,Maintenance
ROB0211,ABB IRB2600,ABB,5,19908,321132,E310,2026-11-09,Maintenance
ROB0212,ABB IRB2600,Yaskawa,5,11797,781168,E101,2026-11-30,Running
ROB0213,KUKA KR10,KUKA,4,2618,74612,None,2026-09-24,Stopped
ROB0214,KUKA KR10,FANUC,6,14593,93835,E310,2026-08-23,Running
ROB0215,FANUC M-20iD,KUKA,6,12344,741985,None,2026-12-06,Maintenance
ROB0216,KUKA KR10,Yaskawa,5,16243,398438,E310,2026-11-11,Maintenance
ROB0217,Yaskawa GP25,KUKA,6,6735,249192,E101,2026-10-08,Running
ROB0218,KUKA KR10,Yaskawa,5,15627,350124,E310,2026-12-02,Stopped
ROB0219,Yaskawa GP25,Yaskawa,4,5155,783701,E310,2026-07-31,Stopped
ROB0220,FANUC M-20iD,ABB,5,12999,672902,E101,2026-10-28,Stopped
ROB0221,KUKA KR10,FANUC,5,6161,168375,E101,2026-08-02,Idle
ROB0222,FANUC M-20iD,FANUC,5,15975,167181,E202,2026-12-18,Maintenance
ROB0223,ABB IRB2600,FANUC,5,13352,176006,E202,2026-08-03,Maintenance
ROB0224,ABB IRB2600,ABB,5,16855,463882,E310,2026-12-13,Idle
ROB0225,Yaskawa GP25,FANUC,5,3973,80156,E202,2026-08-01,Stopped
ROB0226,KUKA KR10,ABB,4,17498,528239,E101,2026-10-06,Stopped
ROB0227,Yaskawa GP25,FANUC,5,5697,365027,E202,2026-08-10,Stopped
ROB0228,FANUC M-20iD,ABB,6,9737,367666,E202,2026-12-17,Idle
ROB0229,KUKA KR10,Yaskawa,4,1080,478795,E202,2026-12-13,Stopped
ROB0230,ABB IRB2600,ABB,5,8149,337718,E310,2026-11-10,Maintenance
ROB0231,KUKA KR10,KUKA,6,6869,143308,E202,2026-08-25,Idle
ROB0232,ABB IRB2600,ABB,5,18958,502571,None,2026-11-05,Maintenance
ROB0233,FANUC M-20iD,Yaskawa,4,11039,95257,E310,2026-11-10,Stopped
ROB0234,KUKA KR10,FANUC,5,13265,825197,E101,2026-10-30,Maintenance
ROB0235,ABB IRB2600,KUKA,4,16023,268563,E101,2026-08-31,Running
ROB0236,KUKA KR10,KUKA,6,16312,599171,E101,2026-11-24,Maintenance
ROB0237,KUKA KR10,Yaskawa,5,18073,219776,E101,2026-12-01,Running
ROB0238,KUKA KR10,FANUC,6,6887,558931,E202,2026-12-05,Idle
ROB0239,Yaskawa GP25,Yaskawa,6,857,322661,E202,2026-10-03,Idle
ROB0240,ABB IRB2600,KUKA,4,1444,693288,E310,2026-12-26,Running
ROB0241,KUKA KR10,Yaskawa,4,15136,666293,E310,2026-11-06,Idle
ROB0242,Yaskawa GP25,KUKA,4,9463,488091,E202,2026-10-10,Idle
ROB0243,Yaskawa GP25,KUKA,4,19717,144779,E202,2026-11-01,Running
ROB0244,FANUC M-20iD,FANUC,5,18606,510277,E202,2026-11-24,Idle
ROB0245,KUKA KR10,Yaskawa,6,1334,669439,E310,2026-09-07,Maintenance
ROB0246,Yaskawa GP25,ABB,5,1631,684885,E202,2026-08-04,Maintenance
ROB0247,FANUC M-20iD,FANUC,6,4821,530803,None,2026-10-07,Running
ROB0248,ABB IRB2600,ABB,4,17630,181318,E101,2026-12-29,Running
ROB0249,KUKA KR10,KUKA,5,3159,442686,E202,2026-08-18,Running
ROB0250,Yaskawa GP25,Yaskawa,6,2536,560166,E310,2026-09-18,Stopped
ROB0251,ABB IRB2600,FANUC,4,15196,176786,None,2026-08-22,Maintenance
ROB0252,ABB IRB2600,ABB,4,18774,35401,None,2026-12-15,Idle
ROB0253,Yaskawa GP25,FANUC,4,7676,805373,E101,2026-08-19,Idle
ROB0254,ABB IRB2600,KUKA,5,13198,802684,E310,2026-12-19,Running
ROB0255,KUKA KR10,Yaskawa,4,14096,586749,None,2026-12-23,Running
ROB0256,ABB IRB2600,FANUC,4,8020,621046,E310,2026-08-16,Running
ROB0257,KUKA KR10,FANUC,6,12562,543881,E101,2026-10-05,Stopped
ROB0258,ABB IRB2600,ABB,6,740,668169,E202,2026-08-10,Maintenance
ROB0259,KUKA KR10,Yaskawa,4,7105,800806,E202,2026-08-23,Maintenance
ROB0260,ABB IRB2600,KUKA,5,13365,134956,E202,2026-10-29,Stopped
ROB0261,FANUC M-20iD,Yaskawa,6,17270,817420,E310,2026-07-27,Idle
ROB0262,ABB IRB2600,FANUC,4,13196,853721,None,2027-01-05,Idle
ROB0263,ABB IRB2600,KUKA,6,7523,632076,E202,2026-07-22,Maintenance
ROB0264,Yaskawa GP25,FANUC,6,8030,604381,E202,2026-10-29,Idle
ROB0265,FANUC M-20iD,KUKA,4,7591,879885,E101,2026-08-05,Maintenance
ROB0266,ABB IRB2600,Yaskawa,6,13232,764942,E202,2026-12-15,Stopped
ROB0267,Yaskawa GP25,ABB,5,16234,598072,E202,2026-08-29,Idle
ROB0268,FANUC M-20iD,FANUC,4,1522,659358,None,2026-07-27,Running
ROB0269,KUKA KR10,FANUC,5,15083,409948,E101,2026-11-03,Running
ROB0270,FANUC M-20iD,KUKA,4,6751,453721,E202,2026-09-26,Running
ROB0271,KUKA KR10,Yaskawa,6,1233,321919,None,2026-11-14,Running
ROB0272,KUKA KR10,ABB,5,15472,849444,E101,2026-09-16,Running
ROB0273,FANUC M-20iD,Yaskawa,4,970,128055,None,2026-12-03,Idle
ROB0274,Yaskawa GP25,KUKA,5,1239,747019,E310,2026-10-12,Running
ROB0275,ABB IRB2600,ABB,4,13526,720954,E310,2026-09-30,Running
ROB0276,FANUC M-20iD,Yaskawa,5,15760,442458,E101,2026-10-07,Running
ROB0277,FANUC M-20iD,FANUC,5,9726,763790,E310,2026-10-02,Idle
ROB0278,KUKA KR10,FANUC,6,9411,207205,E101,2026-12-25,Stopped
ROB0279,FANUC M-20iD,FANUC,6,14765,596095,E310,2026-12-06,Idle
ROB0280,FANUC M-20iD,KUKA,5,3397,637099,E202,2026-10-17,Stopped
ROB0281,Yaskawa GP25,ABB,5,12665,771474,E101,2026-12-08,Maintenance
ROB0282,KUKA KR10,Yaskawa,4,19512,431296,E202,2026-10-03,Stopped
ROB0283,KUKA KR10,KUKA,4,16704,718534,E310,2026-10-16,Maintenance
ROB0284,Yaskawa GP25,FANUC,6,8796,154327,E202,2026-08-22,Maintenance
ROB0285,Yaskawa GP25,Yaskawa,6,5883,54832,E202,2027-01-04,Idle
ROB0286,KUKA KR10,ABB,6,5071,865908,E101,2026-11-18,Stopped
ROB0287,FANUC M-20iD,Yaskawa,4,16929,580421,None,2026-07-14,Running
ROB0288,FANUC M-20iD,KUKA,6,5896,785643,E101,2026-07-17,Maintenance
ROB0289,Yaskawa GP25,FANUC,5,12733,585092,E310,2026-11-20,Stopped
ROB0290,ABB IRB2600,KUKA,6,13869,731211,None,2026-12-02,Idle
ROB0291,Yaskawa GP25,ABB,6,6671,760992,None,2026-12-07,Running
ROB0292,Yaskawa GP25,ABB,4,10545,263580,E310,2026-09-18,Maintenance
ROB0293,ABB IRB2600,FANUC,4,1270,27007,None,2026-12-27,Maintenance
ROB0294,FANUC M-20iD,ABB,4,2837,80277,E202,2026-12-14,Stopped
ROB0295,FANUC M-20iD,Yaskawa,5,13705,21081,E202,2026-12-26,Maintenance
ROB0296,Yaskawa GP25,KUKA,4,10454,459339,E310,2026-08-08,Running
ROB0297,Yaskawa GP25,FANUC,5,10973,378571,None,2026-07-26,Maintenance
ROB0298,Yaskawa GP25,Yaskawa,6,3711,453234,E202,2026-07-25,Stopped
ROB0299,FANUC M-20iD,Yaskawa,4,16472,805921,None,2026-07-21,Stopped
ROB0300,KUKA KR10,FANUC,4,8540,769461,None,2026-07-27,Stopped
ROB0301,Yaskawa GP25,KUKA,4,15877,46010,E202,2026-12-12,Maintenance
ROB0302,Yaskawa GP25,ABB,6,13954,109566,None,2026-12-01,Idle
ROB0303,FANUC M-20iD,Yaskawa,4,16951,200036,E310,2026-11-05,Maintenance
ROB0304,Yaskawa GP25,FANUC,5,19690,133384,E310,2026-07-26,Idle
ROB0305,Yaskawa GP25,KUKA,4,1804,314387,E202,2026-10-13,Stopped
ROB0306,FANUC M-20iD,ABB,4,7024,515566,E310,2026-12-11,Idle
ROB0307,FANUC M-20iD,Yaskawa,6,6287,819985,E310,2026-12-16,Running
ROB0308,KUKA KR10,ABB,4,11643,726212,E310,2026-08-20,Idle
ROB0309,Yaskawa GP25,FANUC,4,5888,155967,E101,2026-11-20,Running
ROB0310,Yaskawa GP25,Yaskawa,5,14589,31535,E202,2026-08-16,Running
ROB0311,Yaskawa GP25,Yaskawa,4,9639,467484,E310,2026-08-21,Running
ROB0312,FANUC M-20iD,FANUC,5,12219,507680,E310,2026-09-26,Idle
ROB0313,ABB IRB2600,FANUC,4,5808,100573,E101,2026-11-29,Idle
ROB0314,Yaskawa GP25,KUKA,6,9118,511093,None,2026-07-25,Idle
ROB0315,Yaskawa GP25,FANUC,6,1802,253529,E101,2026-11-03,Idle
ROB0316,KUKA KR10,ABB,6,13302,21737,E202,2026-09-17,Running
ROB0317,FANUC M-20iD,FANUC,6,9212,624017,None,2027-01-05,Maintenance
ROB0318,ABB IRB2600,KUKA,4,16241,850145,E101,2026-10-27,Idle
ROB0319,Yaskawa GP25,Yaskawa,5,7516,113858,E101,2026-09-28,Stopped
ROB0320,FANUC M-20iD,ABB,6,4660,544635,E101,2026-07-20,Running
ROB0321,Yaskawa GP25,FANUC,6,5897,269069,E310,2026-09-08,Maintenance
ROB0322,ABB IRB2600,KUKA,5,2455,798918,E310,2026-08-07,Running
ROB0323,KUKA KR10,Yaskawa,4,6811,714282,E202,2026-07-18,Stopped
ROB0324,Yaskawa GP25,ABB,6,4672,512651,E310,2026-07-14,Idle
