PO_Number,Supplier_ID,Material,Order_Date,Expected_Delivery,Quantity,Unit_Price,PO_Amount,Status
PO0069,SUP041,Copper Wire,2025-07-23,2025-08-09,142,160,22720,Cancelled
PO0070,SUP019,Sensor,2025-12-18,2025-12-31,140,159,22260,Cancelled
PO0071,SUP006,Bearing,2026-06-11,2026-06-21,90,97,8730,Cancelled
PO0072,SUP010,Bearing,2025-11-25,2025-11-30,381,129,49149,Closed
PO0073,SUP022,Steel Rod,2026-03-04,2026-03-20,297,258,76626,Open
PO0074,SUP027,Transformer,2026-06-27,2026-06-30,219,483,105777,Closed
PO0075,SUP031,Bearing,2026-06-17,2026-06-29,23,200,4600,Closed
PO0076,SUP035,Transformer,2026-04-22,2026-05-12,402,396,159192,Open
PO0077,SUP032,Aluminum Plate,2025-09-25,2025-10-11,132,159,20988,Open
PO0078,SUP025,Plastic Sheet,2026-03-06,2026-03-21,192,362,69504,Closed
PO0079,SUP009,Bearing,2025-11-26,2025-11-29,338,293,99034,Cancelled
PO0080,SUP037,Bearing,2025-08-13,2025-08-18,359,33,11847,Open
PO0081,SUP030,Bearing,2026-01-06,2026-01-17,113,45,5085,Closed
PO0082,SUP014,Bearing,2026-05-21,2026-06-03,252,187,47124,Closed
PO0083,SUP049,Copper Wire,2026-05-06,2026-05-17,445,235,104575,Closed
PO0084,SUP002,Sensor,2026-04-28,2026-05-02,403,296,119288,Open
PO0085,SUP042,Steel Rod,2026-02-12,2026-02-16,55,419,23045,Open
PO0086,SUP013,Motor,2026-06-02,2026-06-09,449,30,13470,Open
PO0087,SUP031,Aluminum Plate,2026-02-02,2026-02-11,362,78,28236,Cancelled
PO0088,SUP017,Transformer,2025-09-26,2025-10-04,412,208,85696,Cancelled
PO0089,SUP048,Circuit Board,2026-02-06,2026-02-14,387,78,30186,Open
PO0090,SUP038,Transformer,2025-12-02,2025-12-14,33,495,16335,Cancelled
PO0091,SUP025,Copper Wire,2025-07-15,2025-07-24,223,386,86078,Cancelled
PO0092,SUP045,Copper Wire,2026-04-21,2026-05-01,445,341,151745,Cancelled
PO0093,SUP050,Transformer,2026-01-26,2026-02-01,174,455,79170,Open
PO0094,SUP023,Copper Wire,2025-12-12,2025-12-26,292,239,69788,Cancelled
PO0095,SUP042,Aluminum Plate,2026-01-20,2026-02-05,194,26,5044,Open
PO0096,SUP028,Plastic Sheet,2025-09-15,2025-10-02,205,345,70725,Closed
PO0097,SUP012,Transformer,2026-06-01,2026-06-12,395,287,113365,Cancelled
PO0098,SUP050,Transformer,2026-06-09,2026-06-25,267,258,68886,Closed
PO0099,SUP021,Circuit Board,2025-08-09,2025-08-14,456,145,66120,Closed
PO0100,SUP016,Sensor,2026-04-03,2026-04-18,404,257,103828,Open
PO0101,SUP032,Aluminum Plate,2026-05-28,2026-06-05,455,186,84630,Open
PO0102,SUP023,Circuit Board,2026-06-06,2026-06-19,428,152,65056,Cancelled
PO0103,SUP045,Steel Rod,2025-09-11,2025-10-01,470,161,75670,Cancelled
PO0104,SUP013,Aluminum Plate,2026-05-05,2026-05-21,63,143,9009,Cancelled
PO0105,SUP049,Aluminum Plate,2025-07-09,2025-07-27,143,373,53339,Closed
PO0106,SUP002,Bearing,2026-02-10,2026-02-20,67,170,11390,Cancelled
PO0107,SUP016,Aluminum Plate,2025-11-06,2025-11-20,176,359,63184,Cancelled
PO0108,SUP034,Sensor,2026-06-01,2026-06-21,196,237,46452,Closed
PO0109,SUP045,Circuit Board,2025-09-02,2025-09-14,252,158,39816,Open
PO0110,SUP008,Copper Wire,2026-01-02,2026-01-15,389,118,45902,Cancelled
PO0111,SUP035,Motor,2026-02-23,2026-03-03,410,373,152930,Open
PO0112,SUP048,Transformer,2026-02-01,2026-02-20,267,161,42987,Closed
PO0113,SUP007,Motor,2025-07-01,2025-07-13,446,119,53074,Closed
PO0114,SUP012,Plastic Sheet,2025-07-25,2025-08-14,174,27,4698,Closed
PO0115,SUP003,Plastic Sheet,2026-04-29,2026-05-11,47,303,14241,Cancelled
PO0116,SUP049,Transformer,2026-02-22,2026-02-25,271,72,19512,Closed
PO0117,SUP031,Plastic Sheet,2025-07-26,2025-08-08,265,245,64925,Open
PO0118,SUP017,Copper Wire,2026-05-21,2026-05-27,461,264,121704,Closed
PO0119,SUP032,Plastic Sheet,2025-07-12,2025-07-16,57,315,17955,Open
PO0120,SUP037,Copper Wire,2026-04-15,2026-04-25,175,63,11025,Cancelled
PO0121,SUP049,Rubber Seal,2025-10-28,2025-11-07,233,330,76890,Closed
PO0122,SUP029,Transformer,2025-10-05,2025-10-17,485,246,119310,Closed
PO0123,SUP020,Transformer,2025-08-02,2025-08-06,311,337,104807,Cancelled
PO0124,SUP007,Circuit Board,2026-05-29,2026-06-07,410,126,51660,Cancelled
PO0125,SUP006,Rubber Seal,2026-04-13,2026-04-21,100,142,14200,Open
PO0126,SUP011,Transformer,2025-09-13,2025-09-30,21,229,4809,Closed
PO0127,SUP019,Circuit Board,2025-07-26,2025-08-07,36,138,4968,Cancelled
PO0128,SUP030,Circuit Board,2026-04-29,2026-05-09,56,371,20776,Cancelled
PO0129,SUP038,Bearing,2025-11-22,2025-12-01,358,431,154298,Open
PO0130,SUP035,Circuit Board,2026-05-02,2026-05-09,135,351,47385,Open
PO0131,SUP005,Transformer,2025-08-22,2025-09-03,50,104,5200,Cancelled
PO0132,SUP037,Copper Wire,2025-10-20,2025-11-06,491,167,81997,Closed
PO0133,SUP045,Circuit Board,2026-05-28,2026-06-12,175,378,66150,Cancelled
PO0134,SUP035,Transformer,2025-07-30,2025-08-04,272,244,66368,Open
PO0135,SUP028,Steel Rod,2026-01-02,2026-01-13,396,185,73260,Open
PO0136,SUP015,Circuit Board,2026-01-23,2026-01-26,365,448,163520,Cancelled
PO0137,SUP003,Aluminum Plate,2025-07-20,2025-07-28,410,407,166870,Cancelled
PO0138,SUP042,Plastic Sheet,2026-06-17,2026-06-28,246,489,120294,Cancelled
PO0139,SUP028,Copper Wire,2025-11-03,2025-11-21,345,436,150420,Closed
PO0140,SUP023,Copper Wire,2026-06-25,2026-07-08,229,190,43510,Open
PO0141,SUP022,Circuit Board,2026-03-04,2026-03-22,230,375,86250,Cancelled
PO0142,SUP026,Steel Rod,2026-01-03,2026-01-23,436,409,178324,Closed
PO0143,SUP006,Copper Wire,2026-06-24,2026-07-07,181,149,26969,Closed
PO0144,SUP033,Aluminum Plate,2026-06-25,2026-07-15,442,20,8840,Closed
PO0145,SUP004,Transformer,2025-11-28,2025-12-12,116,285,33060,Closed
PO0146,SUP041,Motor,2025-11-22,2025-11-26,246,409,100614,Closed
PO0147,SUP036,Aluminum Plate,2025-07-05,2025-07-17,87,494,42978,Cancelled
PO0148,SUP032,Plastic Sheet,2026-05-30,2026-06-09,82,34,2788,Closed
PO0149,SUP036,Copper Wire,2026-01-25,2026-02-10,27,302,8154,Open
PO0150,SUP008,Aluminum Plate,2026-01-28,2026-02-04,256,80,20480,Cancelled
PO0151,SUP019,Bearing,2026-01-10,2026-01-21,280,381,106680,Closed
PO0152,SUP031,Plastic Sheet,2025-08-20,2025-09-09,144,253,36432,Closed
PO0153,SUP013,Plastic Sheet,2025-08-20,2025-09-08,491,326,160066,Open
PO0154,SUP018,Sensor,2026-06-16,2026-07-02,415,424,175960,Cancelled
PO0155,SUP018,Circuit Board,2026-01-07,2026-01-19,440,21,9240,Cancelled
PO0156,SUP038,Aluminum Plate,2026-05-02,2026-05-09,357,270,96390,Cancelled
PO0157,SUP031,Rubber Seal,2026-01-12,2026-02-01,196,190,37240,Closed
PO0158,SUP030,Motor,2025-11-18,2025-11-27,497,184,91448,Cancelled
PO0159,SUP025,Steel Rod,2025-09-14,2025-09-30,139,458,63662,Closed
PO0160,SUP048,Bearing,2026-01-23,2026-02-07,262,381,99822,Cancelled
PO0161,SUP042,Plastic Sheet,2025-09-01,2025-09-05,97,273,26481,Cancelled
PO0162,SUP038,Aluminum Plate,2025-07-13,2025-07-19,189,465,87885,Open
PO0163,SUP034,Plastic Sheet,2025-09-26,2025-09-29,486,253,122958,Closed
PO0164,SUP042,Circuit Board,2025-12-28,2026-01-15,99,58,5742,Closed
PO0165,SUP040,Sensor,2025-12-16,2025-12-21,374,223,83402,Cancelled
PO0166,SUP035,Rubber Seal,2025-10-26,2025-11-13,214,182,38948,Open
PO0167,SUP040,Motor,2026-02-25,2026-03-09,55,140,7700,Cancelled
PO0168,SUP006,Aluminum Plate,2025-11-30,2025-12-06,242,70,16940,Open
PO0169,SUP045,Steel Rod,2025-07-16,2025-07-19,173,482,83386,Closed
PO0170,SUP004,Bearing,2026-01-19,2026-02-02,170,203,34510,Open
PO0171,SUP016,Plastic Sheet,2026-06-06,2026-06-14,291,230,66930,Open
PO0172,SUP006,Transformer,2025-08-31,2025-09-15,332,465,154380,Cancelled
PO0173,SUP016,Motor,2026-05-30,2026-06-06,274,487,133438,Closed
PO0174,SUP041,Steel Rod,2025-07-26,2025-08-06,150,255,38250,Closed
PO0175,SUP019,Copper Wire,2025-07-14,2025-07-22,366,299,109434,Closed
PO0176,SUP023,Circuit Board,2026-01-07,2026-01-23,320,173,55360,Closed
PO0177,SUP020,Copper Wire,2026-01-16,2026-02-03,121,216,26136,Open
PO0178,SUP025,Circuit Board,2026-02-13,2026-02-25,312,203,63336,Open
PO0179,SUP043,Transformer,2025-12-11,2025-12-14,222,160,35520,Cancelled
PO0180,SUP050,Circuit Board,2025-07-26,2025-08-13,401,45,18045,Open
PO0181,SUP039,Motor,2026-05-20,2026-05-30,430,200,86000,Cancelled
PO0182,SUP017,Copper Wire,2026-03-27,2026-04-03,367,406,149002,Cancelled
PO0183,SUP042,Steel Rod,2026-04-18,2026-05-05,40,178,7120,Cancelled
PO0184,SUP024,Circuit Board,2025-08-16,2025-08-21,394,87,34278,Closed
PO0185,SUP048,Plastic Sheet,2026-06-05,2026-06-14,232,109,25288,Cancelled
PO0186,SUP024,Plastic Sheet,2025-10-09,2025-10-20,291,276,80316,Closed
PO0187,SUP031,Copper Wire,2025-09-05,2025-09-18,432,171,73872,Closed
PO0188,SUP005,Bearing,2026-05-26,2026-06-05,92,406,37352,Cancelled
PO0189,SUP024,Steel Rod,2026-04-22,2026-05-07,66,424,27984,Closed
PO0190,SUP035,Circuit Board,2025-07-31,2025-08-14,83,252,20916,Cancelled
PO0191,SUP025,Copper Wire,2026-03-20,2026-04-03,441,346,152586,Cancelled
PO0192,SUP015,Sensor,2025-12-29,2026-01-18,261,32,8352,Cancelled
PO0193,SUP015,Circuit Board,2025-11-21,2025-12-08,351,52,18252,Cancelled
PO0194,SUP027,Steel Rod,2025-12-27,2025-12-31,79,91,7189,Closed
PO0195,SUP032,Rubber Seal,2025-12-08,2025-12-18,79,69,5451,Open
PO0196,SUP025,Bearing,2025-08-31,2025-09-20,252,209,52668,Cancelled
PO0197,SUP048,Copper Wire,2025-10-05,2025-10-21,392,99,38808,Closed
PO0198,SUP040,Steel Rod,2025-09-19,2025-09-30,228,500,114000,Cancelled
PO0199,SUP024,Motor,2026-03-12,2026-03-29,131,247,32357,Closed
PO0200,SUP007,Sensor,2025-10-04,2025-10-24,371,208,77168,Open
