Invoice_ID,PO_Number,Invoice_Date,Invoice_Amount,Tax,Discount,Final_Amount,Payment_Status,Calculated_Total,Invoice_Discrepancy
INV0111,PO0111,2026-02-28,152930,12234.4,50,165114.4,Paid,165114.4,False
INV0112,PO0112,2026-02-03,42987,3438.96,150,46707.96,Pending,46275.96,True
INV0113,PO0113,2025-07-05,53074,4245.92,100,57219.92,Paid,57219.92,False
INV0114,PO0114,2025-07-27,4698,375.84,150,4923.84,Pending,4923.84,False
INV0115,PO0115,2026-04-30,14241,1139.28,0,15380.28,Pending,15380.28,False
INV0116,PO0116,2026-02-25,19512,1560.96,0,21072.96,Paid,21072.96,False
INV0117,PO0117,2025-07-30,64925,5194.0,50,70508.0,Overdue,70069.0,True
INV0118,PO0118,2026-05-25,121704,9736.32,50,131390.32,Pending,131390.32,False
INV0119,PO0119,2025-07-13,17955,1436.4,200,18772.4,Pending,19191.4,True
INV0120,PO0120,2026-04-20,11025,882.0,50,11857.0,Overdue,11857.0,False
INV0121,PO0121,2025-10-29,76890,6151.2,200,82841.2,Pending,82841.2,False
INV0122,PO0122,2025-10-06,119310,9544.8,50,128804.8,Paid,128804.8,False
INV0123,PO0123,2025-08-07,104807,8384.56,150,113041.56,Pending,113041.56,False
INV0124,PO0124,2026-06-02,51660,4132.8,0,56218.8,Overdue,55792.8,True
INV0125,PO0125,2026-04-18,14200,1136.0,200,15163.0,Paid,15136.0,True
INV0126,PO0126,2025-09-14,4809,384.72,50,5143.72,Overdue,5143.72,False
INV0127,PO0127,2025-07-30,4968,397.44,100,5265.44,Paid,5265.44,False
INV0128,PO0128,2026-05-02,20776,1662.08,0,22438.08,Paid,22438.08,False
INV0129,PO0129,2025-11-27,154298,12343.84,200,166441.84,Overdue,166441.84,False
INV0130,PO0130,2026-05-06,47385,3790.8,0,51175.8,Paid,51175.8,False
INV0131,PO0131,2025-08-25,5200,416.0,150,5466.0,Overdue,5466.0,False
INV0132,PO0132,2025-10-21,81997,6559.76,0,88556.76,Pending,88556.76,False
INV0133,PO0133,2026-05-29,66150,5292.0,50,71392.0,Overdue,71392.0,False
INV0134,PO0134,2025-08-04,66368,5309.44,100,71437.44,Pending,71577.44,True
INV0135,PO0135,2026-01-06,73260,5860.8,50,79070.8,Overdue,79070.8,False
INV0136,PO0136,2026-01-25,163520,13081.6,150,176451.6,Paid,176451.6,False
INV0137,PO0137,2025-07-21,166870,13349.6,150,179775.6,Paid,180069.6,True
INV0138,PO0138,2026-06-20,120294,9623.52,0,129917.52,Overdue,129917.52,False
INV0139,PO0139,2025-11-08,150420,12033.6,150,162303.6,Pending,162303.6,False
INV0140,PO0140,2026-06-27,43510,3480.8,100,47052.8,Pending,46890.8,True
INV0141,PO0141,2026-03-05,86250,6900.0,100,93050.0,Overdue,93050.0,False
INV0142,PO0142,2026-01-06,178324,14265.92,100,192489.92,Pending,192489.92,False
INV0143,PO0143,2026-06-28,26969,2157.52,150,28976.52,Pending,28976.52,False
INV0144,PO0144,2026-06-29,8840,707.2,50,9497.2,Pending,9497.2,False
INV0145,PO0145,2025-11-29,33060,2644.8,200,35504.8,Overdue,35504.8,False
INV0146,PO0146,2025-11-24,100614,8049.12,150,108629.12,Overdue,108513.12,True
INV0147,PO0147,2025-07-06,42978,3438.24,100,46316.24,Pending,46316.24,False
INV0148,PO0148,2026-06-04,2788,223.04,100,2911.04,Overdue,2911.04,False
INV0149,PO0149,2026-01-29,8154,652.32,150,8656.32,Pending,8656.32,False
INV0150,PO0150,2026-01-31,20480,1638.4,150,22358.4,Overdue,21968.4,True
INV0151,PO0151,2026-01-11,106680,8534.4,150,115064.4,Paid,115064.4,False
INV0152,PO0152,2025-08-22,36432,2914.56,150,39196.56,Paid,39196.56,False
INV0153,PO0153,2025-08-24,160066,12805.28,50,172821.28,Paid,172821.28,False
INV0154,PO0154,2026-06-19,175960,14076.8,50,190283.8,Pending,189986.8,True
INV0155,PO0155,2026-01-08,9240,739.2,150,9829.2,Overdue,9829.2,False
INV0156,PO0156,2026-05-05,96390,7711.2,50,104051.2,Pending,104051.2,False
INV0157,PO0157,2026-01-17,37240,2979.2,150,40069.2,Paid,40069.2,False
INV0158,PO0158,2025-11-21,91448,7315.84,200,98563.84,Overdue,98563.84,False
INV0159,PO0159,2025-09-15,63662,5092.96,100,68654.96,Paid,68654.96,False
INV0160,PO0160,2026-01-27,99822,7985.76,50,107757.76,Overdue,107757.76,False
INV0161,PO0161,2025-09-04,26481,2118.48,0,28599.48,Overdue,28599.48,False
INV0162,PO0162,2025-07-18,87885,7030.8,150,94765.8,Pending,94765.8,False
INV0163,PO0163,2025-09-28,122958,9836.64,150,132644.64,Paid,132644.64,False
INV0164,PO0164,2026-01-01,5742,459.36,150,6051.36,Paid,6051.36,False
INV0165,PO0165,2025-12-17,83402,6672.16,100,89974.16,Overdue,89974.16,False
INV0166,PO0166,2025-10-29,38948,3115.84,200,41863.84,Paid,41863.84,False
INV0167,PO0167,2026-03-02,7700,616.0,50,8266.0,Paid,8266.0,False
INV0168,PO0168,2025-12-02,16940,1355.2,0,18295.2,Paid,18295.2,False
INV0169,PO0169,2025-07-21,83386,6670.88,150,89973.88,Pending,89906.88,True
INV0170,PO0170,2026-01-24,34510,2760.8,150,37120.8,Paid,37120.8,False
INV0171,PO0171,2026-06-07,66930,5354.4,200,72084.4,Pending,72084.4,False
INV0172,PO0172,2025-09-04,154380,12350.4,150,166580.4,Overdue,166580.4,False
INV0173,PO0173,2026-06-04,133438,10675.04,150,143963.04,Paid,143963.04,False
INV0174,PO0174,2025-07-27,38250,3060.0,50,41260.0,Pending,41260.0,False
INV0175,PO0175,2025-07-17,109434,8754.72,150,118038.72,Paid,118038.72,False
INV0176,PO0176,2026-01-09,55360,4428.8,200,59588.8,Paid,59588.8,False
INV0177,PO0177,2026-01-17,26136,2090.88,150,28076.88,Paid,28076.88,False
INV0178,PO0178,2026-02-15,63336,5066.88,200,68202.88,Paid,68202.88,False
INV0179,PO0179,2025-12-13,35520,2841.6,100,38261.6,Pending,38261.6,False
INV0180,PO0180,2025-07-27,18045,1443.6,200,19288.6,Pending,19288.6,False
INV0181,PO0181,2026-05-25,86000,6880.0,50,92830.0,Pending,92830.0,False
INV0182,PO0182,2026-04-01,149002,11920.16,50,160872.16,Overdue,160872.16,False
INV0183,PO0183,2026-04-20,7120,569.6,0,7689.6,Overdue,7689.6,False
INV0184,PO0184,2025-08-21,34278,2742.24,200,36820.24,Overdue,36820.24,False
INV0185,PO0185,2026-06-10,25288,2023.04,200,27111.04,Paid,27111.04,False
INV0186,PO0186,2025-10-14,80316,6425.28,0,87212.28,Pending,86741.28,True
INV0187,PO0187,2025-09-09,73872,5909.76,50,79731.76,Overdue,79731.76,False
INV0188,PO0188,2026-05-31,37352,2988.16,0,40340.16,Pending,40340.16,False
INV0189,PO0189,2026-04-26,27984,2238.72,100,30122.72,Pending,30122.72,False
INV0190,PO0190,2025-08-02,20916,1673.28,150,22000.28,Pending,22439.28,True
INV0191,PO0191,2026-03-22,152586,12206.88,150,164642.88,Pending,164642.88,False
INV0192,PO0192,2026-01-01,8352,668.16,200,9202.16,Overdue,8820.16,True
INV0193,PO0193,2025-11-23,18252,1460.16,100,19612.16,Pending,19612.16,False
INV0194,PO0194,2025-12-30,7189,575.12,200,7564.12,Paid,7564.12,False
INV0195,PO0195,2025-12-10,5451,436.08,150,5697.08,Paid,5737.08,True
INV0196,PO0196,2025-09-04,52668,4213.44,0,57349.44,Overdue,56881.44,True
INV0197,PO0197,2025-10-07,38808,3104.64,150,41762.64,Pending,41762.64,False
INV0198,PO0198,2025-09-21,114000,9120.0,200,122920.0,Paid,122920.0,False
INV0199,PO0199,2026-03-16,32357,2588.56,150,34795.56,Pending,34795.56,False
INV0200,PO0200,2025-10-05,77168,6173.44,100,83241.44,Pending,83241.44,False
