Shipment_ID,PO_Number,Dispatch_Date,Delivery_Date,Delay_Days,Shipment_Status
SHP0141,PO0141,2026-03-05,2026-03-30,8,Delivered
SHP0142,PO0142,2026-01-04,2026-01-22,-1,Delivered
SHP0143,PO0143,2026-06-25,2026-07-08,1,Delayed
SHP0144,PO0144,2026-06-26,2026-07-14,-1,Delivered
SHP0145,PO0145,2025-11-29,2025-12-19,7,Delivered
SHP0146,PO0146,2025-11-23,2025-12-02,6,In Transit
SHP0147,PO0147,2025-07-06,2025-07-22,5,Delivered
SHP0148,PO0148,2026-05-31,2026-06-07,-2,In Transit
SHP0149,PO0149,2026-01-26,2026-02-13,3,Delivered
SHP0150,PO0150,2026-01-29,2026-02-08,4,In Transit
SHP0151,PO0151,2026-01-11,2026-01-21,0,Delayed
SHP0152,PO0152,2025-08-21,2025-09-08,-1,Delivered
SHP0153,PO0153,2025-08-21,2025-09-12,4,Delivered
SHP0154,PO0154,2026-06-17,2026-07-01,-1,Delivered
SHP0155,PO0155,2026-01-08,2026-01-22,3,Delayed
SHP0156,PO0156,2026-05-03,2026-05-11,2,Delivered
SHP0157,PO0157,2026-01-13,2026-02-05,4,Delivered
SHP0158,PO0158,2025-11-19,2025-12-05,8,In Transit
SHP0159,PO0159,2025-09-15,2025-09-30,0,Delivered
SHP0160,PO0160,2026-01-24,2026-02-13,6,In Transit
SHP0161,PO0161,2025-09-02,2025-09-03,-2,In Transit
SHP0162,PO0162,2025-07-14,2025-07-27,8,Delivered
SHP0163,PO0163,2025-09-27,2025-10-04,5,Delayed
SHP0164,PO0164,2025-12-29,2026-01-16,1,In Transit
SHP0165,PO0165,2025-12-17,2025-12-21,0,Delayed
SHP0166,PO0166,2025-10-27,2025-11-20,7,In Transit
SHP0167,PO0167,2026-02-26,2026-03-14,5,Delivered
SHP0168,PO0168,2025-12-01,2025-12-05,-1,Delivered
SHP0169,PO0169,2025-07-17,2025-07-19,0,Delivered
SHP0170,PO0170,2026-01-20,2026-02-09,7,In Transit
SHP0171,PO0171,2026-06-07,2026-06-18,4,Delayed
SHP0172,PO0172,2025-09-01,2025-09-19,4,Delayed
SHP0173,PO0173,2026-05-31,2026-06-06,0,Delivered
SHP0174,PO0174,2025-07-27,2025-08-08,2,In Transit
SHP0175,PO0175,2025-07-15,2025-07-21,-1,Delivered
SHP0176,PO0176,2026-01-08,2026-01-29,6,In Transit
SHP0177,PO0177,2026-01-17,2026-02-10,7,In Transit
SHP0178,PO0178,2026-02-14,2026-03-04,7,Delayed
SHP0179,PO0179,2025-12-12,2025-12-12,-2,In Transit
SHP0180,PO0180,2025-07-27,2025-08-15,2,Delivered
SHP0181,PO0181,2026-05-21,2026-06-05,6,In Transit
SHP0182,PO0182,2026-03-28,2026-04-09,6,Delivered
SHP0183,PO0183,2026-04-19,2026-05-09,4,Delayed
SHP0184,PO0184,2025-08-17,2025-08-29,8,Delivered
SHP0185,PO0185,2026-06-06,2026-06-15,1,Delayed
SHP0186,PO0186,2025-10-10,2025-10-24,4,Delivered
SHP0187,PO0187,2025-09-06,2025-09-19,1,Delayed
SHP0188,PO0188,2026-05-27,2026-06-13,8,In Transit
SHP0189,PO0189,2026-04-23,2026-05-06,-1,In Transit
SHP0190,PO0190,2025-08-01,2025-08-12,-2,Delayed
SHP0191,PO0191,2026-03-21,2026-04-06,3,Delivered
SHP0192,PO0192,2025-12-30,2026-01-22,4,In Transit
SHP0193,PO0193,2025-11-22,2025-12-12,4,Delayed
SHP0194,PO0194,2025-12-28,2026-01-06,6,In Transit
SHP0195,PO0195,2025-12-09,2025-12-18,0,Delayed
SHP0196,PO0196,2025-09-01,2025-09-19,-1,Delivered
SHP0197,PO0197,2025-10-06,2025-10-28,7,Delivered
SHP0198,PO0198,2025-09-20,2025-09-28,-2,Delayed
SHP0199,PO0199,2026-03-13,2026-03-30,1,Delivered
SHP0200,PO0200,2025-10-05,2025-10-22,-2,Delayed
