Item_ID,Material,Warehouse,Stock,Reorder_Level,Inventory_Value,Low_Stock
ITM0114,Rubber Seal,New York,684,141,114228,False
ITM0115,Sensor,Dallas,545,177,135160,False
ITM0116,Aluminum Plate,Chicago,799,131,381922,False
ITM0117,Sensor,Phoenix,340,155,11220,False
ITM0118,Motor,New York,779,87,14022,False
ITM0119,Rubber Seal,Atlanta,977,199,298962,False
ITM0120,Circuit Board,Chicago,176,100,31328,False
ITM0121,Bearing,Phoenix,603,112,159795,False
ITM0122,Sensor,Atlanta,283,175,107540,False
ITM0123,Aluminum Plate,Chicago,192,140,18432,False
ITM0124,Rubber Seal,Phoenix,520,97,249080,False
ITM0125,Steel Rod,Dallas,556,58,244084,False
ITM0126,Steel Rod,Chicago,802,51,177242,False
ITM0127,Motor,Chicago,89,88,1246,False
ITM0128,Rubber Seal,Phoenix,486,145,19440,False
ITM0129,Transformer,Atlanta,954,173,331038,False
ITM0130,Steel Rod,Atlanta,26,186,7592,True
ITM0131,Steel Rod,New York,37,185,14023,True
ITM0132,Rubber Seal,Atlanta,313,54,83571,False
ITM0133,Plastic Sheet,Chicago,129,74,35862,False
ITM0134,Motor,New York,216,184,30024,False
ITM0135,Circuit Board,New York,834,151,41700,False
ITM0136,Bearing,Chicago,490,194,65660,False
ITM0137,Circuit Board,Dallas,720,70,247680,False
ITM0138,Copper Wire,Phoenix,435,147,88305,False
ITM0139,Aluminum Plate,Chicago,77,52,28413,False
ITM0140,Copper Wire,New York,531,161,180540,False
ITM0141,Transformer,Phoenix,898,74,420264,False
ITM0142,Steel Rod,Phoenix,255,104,120105,False
ITM0143,Aluminum Plate,Dallas,297,61,143451,False
ITM0144,Circuit Board,Dallas,940,189,280120,False
ITM0145,Plastic Sheet,Chicago,971,130,17478,False
ITM0146,Transformer,Dallas,167,151,80995,False
ITM0147,Circuit Board,Phoenix,186,194,24738,True
ITM0148,Bearing,Atlanta,713,188,127627,False
ITM0149,Plastic Sheet,New York,829,70,220514,False
ITM0150,Steel Rod,Dallas,120,161,15360,True
ITM0151,Sensor,New York,639,151,259434,False
ITM0152,Steel Rod,Atlanta,669,119,274959,False
ITM0153,Aluminum Plate,Atlanta,253,141,74129,False
ITM0154,Bearing,Atlanta,210,199,73080,False
ITM0155,Copper Wire,Chicago,810,125,338580,False
ITM0156,Copper Wire,Atlanta,104,118,9152,True
ITM0157,Plastic Sheet,New York,777,149,133644,False
ITM0158,Copper Wire,New York,113,51,55596,False
ITM0159,Aluminum Plate,Chicago,388,119,24056,False
ITM0160,Copper Wire,Phoenix,211,160,50429,False
ITM0161,Rubber Seal,Dallas,544,154,33728,False
ITM0162,Copper Wire,Phoenix,382,191,21774,False
ITM0163,Transformer,Atlanta,823,133,371996,False
ITM0164,Steel Rod,Dallas,318,155,66144,False
ITM0165,Rubber Seal,Phoenix,946,112,285692,False
ITM0166,Plastic Sheet,Chicago,721,147,69216,False
ITM0167,Circuit Board,Chicago,328,118,85936,False
ITM0168,Copper Wire,Atlanta,191,161,28841,False
ITM0169,Circuit Board,New York,515,69,99910,False
ITM0170,Motor,Phoenix,758,176,238012,False
ITM0171,Motor,New York,488,77,38552,False
ITM0172,Steel Rod,Phoenix,991,151,178380,False
ITM0173,Bearing,New York,843,134,198105,False
ITM0174,Bearing,New York,855,84,139365,False
ITM0175,Transformer,New York,990,101,252450,False
ITM0176,Plastic Sheet,Atlanta,427,131,67893,False
ITM0177,Transformer,Atlanta,820,112,144320,False
ITM0178,Circuit Board,Dallas,856,150,167776,False
ITM0179,Transformer,Phoenix,224,189,22848,False
ITM0180,Steel Rod,Chicago,995,168,489540,False
ITM0181,Aluminum Plate,Dallas,836,124,363660,False
ITM0182,Bearing,New York,709,177,57429,False
ITM0183,Motor,Atlanta,278,89,104528,False
ITM0184,Bearing,Atlanta,95,164,30020,True
ITM0185,Transformer,Atlanta,430,186,115670,False
ITM0186,Rubber Seal,Phoenix,57,142,21033,True
ITM0187,Transformer,Chicago,673,71,43745,False
ITM0188,Sensor,Atlanta,190,61,56620,False
ITM0189,Sensor,Dallas,835,160,53440,False
ITM0190,Copper Wire,Phoenix,284,106,76964,False
ITM0191,Rubber Seal,Atlanta,614,197,75522,False
ITM0192,Sensor,Phoenix,420,168,170100,False
ITM0193,Rubber Seal,Atlanta,174,138,3828,False
ITM0194,Copper Wire,Dallas,322,156,154882,False
ITM0195,Copper Wire,New York,871,86,163748,False
ITM0196,Sensor,Atlanta,486,102,134136,False
ITM0197,Sensor,Atlanta,507,74,118638,False
ITM0198,Sensor,Dallas,88,126,2816,True
ITM0199,Steel Rod,Dallas,889,137,303149,False
ITM0200,Plastic Sheet,Chicago,972,112,266328,False
