Invoice_ID,PO_Number,Invoice_Date,Invoice_Amount,Tax,Discount,Final_Amount,Payment_Status
INV0030,PO0030,2025-10-26,23048,1843.84,200,25170.84,Overdue
INV0031,PO0031,2025-09-25,78660,6292.8,100,84852.8,Pending
INV0032,PO0032,2026-02-08,74292,5943.36,150,80085.36,Pending
INV0033,PO0033,2026-01-12,27376,2190.08,200,29366.08,Overdue
INV0034,PO0034,2025-09-28,96036,7682.88,200,103518.88,Paid
INV0035,PO0035,2026-04-03,36462,2916.96,0,39378.96,Pending
INV0036,PO0036,2026-01-14,53067,4245.36,0,57312.36,Paid
INV0037,PO0037,2026-05-10,135811,10864.88,150,146525.88,Overdue
INV0038,PO0038,2025-10-27,108801,8704.08,200,117756.08,Paid
INV0039,PO0039,2026-02-26,208320,16665.6,50,224935.6,Pending
INV0040,PO0040,2026-01-26,160317,12825.36,100,173432.36,Overdue
INV0041,PO0041,2026-01-05,16226,1298.08,150,17632.08,Paid
INV0042,PO0042,2026-05-25,4288,343.04,200,4431.04,Pending
INV0043,PO0043,2026-02-11,25410,2032.8,100,27342.8,Overdue
INV0044,PO0044,2026-04-08,82208,6576.64,100,88684.64,Overdue
INV0045,PO0045,2025-11-19,71757,5740.56,0,77497.56,Paid
INV0046,PO0046,2026-01-23,24375,1950.0,200,25708.0,Pending
INV0047,PO0047,2025-10-20,80190,6415.2,150,86455.2,Pending
INV0048,PO0048,2026-07-06,17550,1404.0,100,18854.0,Paid
INV0049,PO0049,2026-01-19,212976,17038.08,100,229914.08,Overdue
INV0050,PO0050,2025-08-31,19800,1584.0,200,21184.0,Paid
INV0051,PO0051,2025-12-14,37682,3014.56,50,40646.56,Paid
INV0052,PO0052,2025-08-17,42823,3425.84,0,46248.84,Paid
INV0053,PO0053,2025-09-25,27730,2218.4,100,29848.4,Paid
INV0054,PO0054,2026-05-02,39498,3159.84,150,42507.84,Paid
INV0055,PO0055,2026-06-20,30480,2438.4,150,32768.4,Overdue
INV0056,PO0056,2026-06-06,47085,3766.8,200,50651.8,Paid
INV0057,PO0057,2025-09-20,22491,1799.28,150,24140.28,Pending
INV0058,PO0058,2025-11-01,64367,5149.36,0,69516.36,Pending
INV0059,PO0059,2025-11-15,58320,4665.6,200,62785.6,Overdue
INV0060,PO0060,2026-02-09,38135,3050.8,150,41035.8,Paid
INV0061,PO0061,2025-11-26,37366,2989.28,100,40255.28,Pending
INV0062,PO0062,2025-07-28,33725,2698.0,100,36687.0,Paid
INV0063,PO0063,2026-05-13,47410,3792.8,150,51052.8,Paid
INV0064,PO0064,2026-05-07,71883,5750.64,150,77483.64,Paid
INV0065,PO0065,2026-05-09,105051,8404.08,100,113355.08,Overdue
INV0066,PO0066,2026-01-12,117096,9367.68,0,126463.68,Pending
INV0067,PO0067,2025-07-21,48379,3870.32,100,52149.32,Paid
INV0068,PO0068,2025-09-16,65700,5256.0,0,70658.0,Overdue
INV0069,PO0069,2025-07-24,22720,1817.6,50,24487.6,Paid
INV0070,PO0070,2025-12-23,22260,1780.8,150,23890.8,Overdue
INV0071,PO0071,2026-06-16,8730,698.4,150,9278.4,Overdue
INV0072,PO0072,2025-11-28,49149,3931.92,200,52880.92,Paid
INV0073,PO0073,2026-03-07,76626,6130.08,150,82558.08,Pending
INV0074,PO0074,2026-06-28,105777,8462.16,200,114058.16,Pending
INV0075,PO0075,2026-06-18,4600,368.0,150,4818.0,Pending
INV0076,PO0076,2026-04-23,159192,12735.36,100,172211.36,Overdue
INV0077,PO0077,2025-09-29,20988,1679.04,200,22467.04,Overdue
INV0078,PO0078,2026-03-07,69504,5560.32,200,74864.32,Pending
INV0079,PO0079,2025-11-29,99034,7922.72,200,106756.72,Overdue
INV0080,PO0080,2025-08-14,11847,947.76,150,12644.76,Pending
INV0081,PO0081,2026-01-09,5085,406.8,0,5491.8,Overdue
INV0082,PO0082,2026-05-23,47124,3769.92,0,50893.92,Paid
INV0083,PO0083,2026-05-10,104575,8366.0,50,112891.0,Overdue
INV0084,PO0084,2026-05-01,119288,9543.04,200,128631.04,Pending
INV0085,PO0085,2026-02-15,23045,1843.6,100,24788.6,Overdue
INV0086,PO0086,2026-06-05,13470,1077.6,200,14493.6,Paid
INV0087,PO0087,2026-02-06,28236,2258.88,100,30588.88,Pending
INV0088,PO0088,2025-10-01,85696,6855.68,100,92451.68,Paid
INV0089,PO0089,2026-02-08,30186,2414.88,100,32679.88,Pending
INV0090,PO0090,2025-12-06,16335,1306.8,100,17541.8,Paid
INV0091,PO0091,2025-07-16,86078,6886.24,200,92764.24,Pending
INV0092,PO0092,2026-04-24,151745,12139.6,200,163684.6,Paid
INV0093,PO0093,2026-01-30,79170,6333.6,200,85489.6,Overdue
INV0094,PO0094,2025-12-14,69788,5583.04,100,75087.04,Paid
INV0095,PO0095,2026-01-24,5044,403.52,100,5347.52,Paid
INV0096,PO0096,2025-09-17,70725,5658.0,50,76333.0,Paid
INV0097,PO0097,2026-06-02,113365,9069.2,100,122334.2,Overdue
INV0098,PO0098,2026-06-14,68886,5510.88,200,74196.88,Paid
INV0099,PO0099,2025-08-14,66120,5289.6,100,71309.6,Paid
INV0100,PO0100,2026-04-05,103828,8306.24,200,111934.24,Paid
INV0101,PO0101,2026-05-30,84630,6770.4,200,91200.4,Overdue
INV0102,PO0102,2026-06-08,65056,5204.48,150,69983.48,Pending
INV0103,PO0103,2025-09-15,75670,6053.6,200,81523.6,Paid
INV0104,PO0104,2026-05-09,9009,720.72,200,9529.72,Paid
INV0105,PO0105,2025-07-14,53339,4267.12,100,57506.12,Pending
INV0106,PO0106,2026-02-14,11390,911.2,150,12151.2,Overdue
INV0107,PO0107,2025-11-08,63184,5054.72,200,68038.72,Paid
INV0108,PO0108,2026-06-02,46452,3716.16,200,49724.16,Overdue
INV0109,PO0109,2025-09-07,39816,3185.28,150,42851.28,Paid
INV0110,PO0110,2026-01-05,45902,3672.16,200,49374.16,Paid
INV0111,PO0111,2026-02-28,152930,12234.4,50,165114.4,Paid
INV0112,PO0112,2026-02-03,42987,3438.96,150,46707.96,Pending
INV0113,PO0113,2025-07-05,53074,4245.92,100,57219.92,Paid
INV0114,PO0114,2025-07-27,4698,375.84,150,4923.84,Pending
INV0115,PO0115,2026-04-30,14241,1139.28,0,15380.28,Pending
INV0116,PO0116,2026-02-25,19512,1560.96,0,21072.96,Paid
INV0117,PO0117,2025-07-30,64925,5194.0,50,70508.0,Overdue
INV0118,PO0118,2026-05-25,121704,9736.32,50,131390.32,Pending
INV0119,PO0119,2025-07-13,17955,1436.4,200,18772.4,Pending
INV0120,PO0120,2026-04-20,11025,882.0,50,11857.0,Overdue
INV0121,PO0121,2025-10-29,76890,6151.2,200,82841.2,Pending
INV0122,PO0122,2025-10-06,119310,9544.8,50,128804.8,Paid
INV0123,PO0123,2025-08-07,104807,8384.56,150,113041.56,Pending
INV0124,PO0124,2026-06-02,51660,4132.8,0,56218.8,Overdue
INV0125,PO0125,2026-04-18,14200,1136.0,200,15163.0,Paid
INV0126,PO0126,2025-09-14,4809,384.72,50,5143.72,Overdue
INV0127,PO0127,2025-07-30,4968,397.44,100,5265.44,Paid
INV0128,PO0128,2026-05-02,20776,1662.08,0,22438.08,Paid
INV0129,PO0129,2025-11-27,154298,12343.84,200,166441.84,Overdue
INV0130,PO0130,2026-05-06,47385,3790.8,0,51175.8,Paid
INV0131,PO0131,2025-08-25,5200,416.0,150,5466.0,Overdue
INV0132,PO0132,2025-10-21,81997,6559.76,0,88556.76,Pending
INV0133,PO0133,2026-05-29,66150,5292.0,50,71392.0,Overdue
INV0134,PO0134,2025-08-04,66368,5309.44,100,71437.44,Pending
INV0135,PO0135,2026-01-06,73260,5860.8,50,79070.8,Overdue
INV0136,PO0136,2026-01-25,163520,13081.6,150,176451.6,Paid
INV0137,PO0137,2025-07-21,166870,13349.6,150,179775.6,Paid
INV0138,PO0138,2026-06-20,120294,9623.52,0,129917.52,Overdue
INV0139,PO0139,2025-11-08,150420,12033.6,150,162303.6,Pending
INV0140,PO0140,2026-06-27,43510,3480.8,100,47052.8,Pending
INV0141,PO0141,2026-03-05,86250,6900.0,100,93050.0,Overdue
INV0142,PO0142,2026-01-06,178324,14265.92,100,192489.92,Pending
INV0143,PO0143,2026-06-28,26969,2157.52,150,28976.52,Pending
INV0144,PO0144,2026-06-29,8840,707.2,50,9497.2,Pending
INV0145,PO0145,2025-11-29,33060,2644.8,200,35504.8,Overdue
INV0146,PO0146,2025-11-24,100614,8049.12,150,108629.12,Overdue
INV0147,PO0147,2025-07-06,42978,3438.24,100,46316.24,Pending
INV0148,PO0148,2026-06-04,2788,223.04,100,2911.04,Overdue
INV0149,PO0149,2026-01-29,8154,652.32,150,8656.32,Pending
INV0150,PO0150,2026-01-31,20480,1638.4,150,22358.4,Overdue
INV0151,PO0151,2026-01-11,106680,8534.4,150,115064.4,Paid
INV0152,PO0152,2025-08-22,36432,2914.56,150,39196.56,Paid
INV0153,PO0153,2025-08-24,160066,12805.28,50,172821.28,Paid
INV0154,PO0154,2026-06-19,175960,14076.8,50,190283.8,Pending
INV0155,PO0155,2026-01-08,9240,739.2,150,9829.2,Overdue
INV0156,PO0156,2026-05-05,96390,7711.2,50,104051.2,Pending
INV0157,PO0157,2026-01-17,37240,2979.2,150,40069.2,Paid
INV0158,PO0158,2025-11-21,91448,7315.84,200,98563.84,Overdue
INV0159,PO0159,2025-09-15,63662,5092.96,100,68654.96,Paid
INV0160,PO0160,2026-01-27,99822,7985.76,50,107757.76,Overdue
INV0161,PO0161,2025-09-04,26481,2118.48,0,28599.48,Overdue
INV0162,PO0162,2025-07-18,87885,7030.8,150,94765.8,Pending
INV0163,PO0163,2025-09-28,122958,9836.64,150,132644.64,Paid
INV0164,PO0164,2026-01-01,5742,459.36,150,6051.36,Paid
INV0165,PO0165,2025-12-17,83402,6672.16,100,89974.16,Overdue
INV0166,PO0166,2025-10-29,38948,3115.84,200,41863.84,Paid
INV0167,PO0167,2026-03-02,7700,616.0,50,8266.0,Paid
INV0168,PO0168,2025-12-02,16940,1355.2,0,18295.2,Paid
INV0169,PO0169,2025-07-21,83386,6670.88,150,89973.88,Pending
INV0170,PO0170,2026-01-24,34510,2760.8,150,37120.8,Paid
INV0171,PO0171,2026-06-07,66930,5354.4,200,72084.4,Pending
INV0172,PO0172,2025-09-04,154380,12350.4,150,166580.4,Overdue
INV0173,PO0173,2026-06-04,133438,10675.04,150,143963.04,Paid
INV0174,PO0174,2025-07-27,38250,3060.0,50,41260.0,Pending
INV0175,PO0175,2025-07-17,109434,8754.72,150,118038.72,Paid
INV0176,PO0176,2026-01-09,55360,4428.8,200,59588.8,Paid
INV0177,PO0177,2026-01-17,26136,2090.88,150,28076.88,Paid
INV0178,PO0178,2026-02-15,63336,5066.88,200,68202.88,Paid
INV0179,PO0179,2025-12-13,35520,2841.6,100,38261.6,Pending
INV0180,PO0180,2025-07-27,18045,1443.6,200,19288.6,Pending
INV0181,PO0181,2026-05-25,86000,6880.0,50,92830.0,Pending
INV0182,PO0182,2026-04-01,149002,11920.16,50,160872.16,Overdue
INV0183,PO0183,2026-04-20,7120,569.6,0,7689.6,Overdue
INV0184,PO0184,2025-08-21,34278,2742.24,200,36820.24,Overdue
INV0185,PO0185,2026-06-10,25288,2023.04,200,27111.04,Paid
INV0186,PO0186,2025-10-14,80316,6425.28,0,87212.28,Pending
INV0187,PO0187,2025-09-09,73872,5909.76,50,79731.76,Overdue
INV0188,PO0188,2026-05-31,37352,2988.16,0,40340.16,Pending
INV0189,PO0189,2026-04-26,27984,2238.72,100,30122.72,Pending
INV0190,PO0190,2025-08-02,20916,1673.28,150,22000.28,Pending
INV0191,PO0191,2026-03-22,152586,12206.88,150,164642.88,Pending
INV0192,PO0192,2026-01-01,8352,668.16,200,9202.16,Overdue
INV0193,PO0193,2025-11-23,18252,1460.16,100,19612.16,Pending
INV0194,PO0194,2025-12-30,7189,575.12,200,7564.12,Paid
INV0195,PO0195,2025-12-10,5451,436.08,150,5697.08,Paid
INV0196,PO0196,2025-09-04,52668,4213.44,0,57349.44,Overdue
INV0197,PO0197,2025-10-07,38808,3104.64,150,41762.64,Pending
INV0198,PO0198,2025-09-21,114000,9120.0,200,122920.0,Paid
INV0199,PO0199,2026-03-16,32357,2588.56,150,34795.56,Pending
INV0200,PO0200,2025-10-05,77168,6173.44,100,83241.44,Pending
