PO_Number,Supplier,PO_Date,Item,Ordered_Qty,Received_Qty,PO_Amount,Buyer,PO_Status
PO0132,Rapid Components,2025-10-03,Workbench,479,148,20118,James,Open
PO0133,Prime Industries,2025-08-12,Wooden Table,420,44,16380,Linda,Open
PO0134,Prime Industries,2026-04-26,Office Chair,364,266,40404,Linda,Open
PO0135,Rapid Components,2025-11-14,Tool Box,80,56,9360,Daniel,Open
PO0136,Titan Supply,2026-05-30,Wooden Table,330,63,10230,Alice,Partial
PO0137,Vertex Industries,2026-06-03,Filing Cabinet,199,88,11741,Daniel,Closed
PO0138,Industrial Parts,2026-01-15,Storage Rack,256,166,15616,Robert,Partial
PO0139,Rapid Components,2025-09-20,Steel Cabinet,237,31,25833,James,Partial
PO0140,Prime Industries,2025-07-20,Wooden Table,65,49,7280,Robert,Partial
PO0141,United Supplies,2025-09-13,Storage Rack,167,43,4509,James,Closed
PO0142,United Supplies,2026-03-17,Steel Cabinet,210,84,7770,Alice,Open
PO0143,Future Materials,2026-04-27,Workbench,379,279,21603,James,Closed
PO0144,Blue Manufacturing,2025-09-15,Steel Cabinet,273,263,27573,James,Open
PO0145,Global Steel,2026-06-27,Tool Box,247,149,7163,Alice,Open
PO0146,ABC Metals,2025-08-07,Filing Cabinet,465,287,55800,Robert,Closed
PO0147,Vertex Industries,2025-08-07,Computer Desk,120,104,6360,James,Open
PO0148,Industrial Parts,2025-12-03,Steel Cabinet,209,166,9405,Robert,Closed
PO0149,Blue Manufacturing,2026-06-26,Steel Cabinet,70,60,2730,Linda,Open
PO0150,Vertex Industries,2025-10-09,Office Chair,339,77,18645,Alice,Open
PO0151,Vertex Industries,2025-10-03,Office Chair,458,242,50380,Linda,Partial
PO0152,Titan Supply,2026-02-16,Storage Rack,190,175,10070,Robert,Partial
PO0153,Titan Supply,2025-09-21,Office Chair,365,223,14235,Linda,Closed
PO0154,ABC Metals,2025-07-07,Storage Rack,407,60,16687,Daniel,Partial
PO0155,Future Materials,2025-07-19,Tool Box,53,30,2438,Daniel,Closed
PO0156,Industrial Parts,2026-06-11,Computer Desk,186,131,21762,James,Partial
PO0157,Global Steel,2026-06-02,Steel Cabinet,485,109,42680,Alice,Closed
PO0158,Titan Supply,2026-01-30,Office Chair,199,135,22686,Daniel,Open
PO0159,Blue Manufacturing,2026-03-07,Steel Cabinet,448,103,33152,Robert,Partial
PO0160,Blue Manufacturing,2026-03-22,Steel Cabinet,487,88,46265,Linda,Closed
PO0161,United Supplies,2025-08-20,Filing Cabinet,181,3,8326,Linda,Closed
PO0162,Future Materials,2026-05-28,Locker,346,181,16608,Linda,Open
PO0163,Prime Industries,2025-12-24,Tool Box,320,101,7680,James,Open
PO0164,United Supplies,2026-03-16,Storage Rack,363,30,28314,James,Closed
PO0165,Rapid Components,2026-01-18,Steel Cabinet,438,154,23652,Linda,Partial
PO0166,Rapid Components,2025-11-18,Locker,443,189,38984,Alice,Partial
PO0167,Blue Manufacturing,2026-06-02,Tool Box,219,58,24528,James,Partial
PO0168,Global Steel,2025-08-12,Metal Shelf,55,52,3410,Alice,Partial
PO0169,Titan Supply,2026-03-21,Steel Cabinet,458,199,44426,Linda,Open
PO0170,ABC Metals,2025-09-27,Workbench,456,283,36936,Daniel,Closed
PO0171,Industrial Parts,2025-08-10,Computer Desk,263,20,26826,Robert,Partial
PO0172,Rapid Components,2026-01-25,Wooden Table,458,55,47632,James,Closed
PO0173,ABC Metals,2026-02-19,Computer Desk,476,114,44744,Daniel,Closed
PO0174,Vertex Industries,2025-10-25,Tool Box,431,338,25429,Alice,Partial
PO0175,Future Materials,2025-12-17,Tool Box,306,68,16524,Robert,Closed
PO0176,ABC Metals,2025-07-28,Wooden Table,473,173,25069,Alice,Closed
PO0177,United Supplies,2025-11-15,Steel Cabinet,191,53,5921,Daniel,Closed
PO0178,Rapid Components,2026-01-24,Tool Box,151,91,6040,Linda,Open
PO0179,ABC Metals,2025-09-12,Wooden Table,132,16,5148,James,Partial
PO0180,Titan Supply,2026-03-26,Filing Cabinet,108,20,8640,Alice,Partial
PO0181,ABC Metals,2025-09-03,Locker,297,295,12177,Robert,Closed
PO0182,ABC Metals,2026-06-09,Wooden Table,422,355,14348,Alice,Partial
PO0183,Prime Industries,2025-12-29,Locker,194,45,9506,Robert,Open
PO0184,Future Materials,2025-10-17,Steel Cabinet,50,48,1550,Linda,Open
PO0185,United Supplies,2026-04-17,Storage Rack,100,40,7300,Daniel,Partial
PO0186,Industrial Parts,2026-04-11,Tool Box,134,94,3886,Alice,Closed
PO0187,Titan Supply,2026-02-01,Locker,175,30,19250,Linda,Open
PO0188,ABC Metals,2025-12-14,Steel Cabinet,433,176,11258,Daniel,Open
PO0189,Blue Manufacturing,2025-10-14,Steel Cabinet,258,172,17802,James,Partial
PO0190,Global Steel,2026-05-25,Storage Rack,130,13,11700,Robert,Partial
PO0191,Blue Manufacturing,2026-04-26,Wooden Table,401,49,11629,Daniel,Partial
PO0192,Blue Manufacturing,2026-06-05,Workbench,422,362,27430,Alice,Open
PO0193,Vertex Industries,2026-06-25,Wooden Table,439,24,24584,Alice,Partial
PO0194,Blue Manufacturing,2025-08-29,Locker,288,120,15552,Alice,Open
PO0195,Future Materials,2026-03-11,Tool Box,415,333,40255,James,Open
PO0196,Global Steel,2026-01-30,Steel Cabinet,270,224,25380,Linda,Partial
PO0197,ABC Metals,2026-06-23,Computer Desk,96,5,10944,Daniel,Partial
PO0198,Prime Industries,2025-07-19,Locker,447,10,36207,Alice,Open
PO0199,Industrial Parts,2025-12-08,Tool Box,51,43,1326,Alice,Closed
PO0200,Titan Supply,2025-08-21,Filing Cabinet,432,402,31536,Daniel,Open
PO0201,ABC Metals,2026-03-19,Locker,234,44,10062,Alice,Open
PO0202,ABC Metals,2025-11-02,Tool Box,294,156,25578,Daniel,Partial
PO0203,Blue Manufacturing,2025-09-10,Steel Cabinet,58,33,3480,Linda,Open
PO0204,ABC Metals,2026-05-02,Computer Desk,137,25,15755,Alice,Closed
PO0205,Global Steel,2025-09-01,Locker,423,279,9729,Robert,Closed
PO0206,Prime Industries,2026-02-04,Filing Cabinet,488,393,53680,Daniel,Closed
PO0207,United Supplies,2025-12-26,Tool Box,301,278,9030,Robert,Open
PO0208,Vertex Industries,2025-08-16,Workbench,163,28,11247,James,Partial
PO0209,Global Steel,2025-10-02,Metal Shelf,374,311,10472,Alice,Closed
PO0210,Industrial Parts,2025-08-26,Storage Rack,498,51,32370,Linda,Partial
PO0211,Titan Supply,2025-08-14,Locker,59,27,4838,Robert,Partial
PO0212,Prime Industries,2026-03-26,Workbench,338,64,12506,Daniel,Partial
PO0213,Vertex Industries,2026-06-30,Metal Shelf,451,241,50963,Robert,Open
PO0214,Future Materials,2025-11-28,Filing Cabinet,177,164,20178,Daniel,Open
PO0215,ABC Metals,2025-10-09,Computer Desk,145,103,5800,Robert,Partial
PO0216,Future Materials,2026-01-11,Tool Box,252,94,17640,Linda,Partial
PO0217,Industrial Parts,2025-09-18,Steel Cabinet,219,28,20367,Robert,Open
PO0218,Titan Supply,2026-05-24,Tool Box,88,62,6952,James,Open
PO0219,Industrial Parts,2026-07-02,Office Chair,173,124,19895,James,Partial
PO0220,Future Materials,2026-04-07,Wooden Table,479,340,43110,Daniel,Closed
PO0221,Future Materials,2025-11-28,Filing Cabinet,377,271,39208,James,Closed
PO0222,Global Steel,2025-11-07,Storage Rack,270,200,13500,Robert,Partial
PO0223,ABC Metals,2026-07-02,Office Chair,399,156,21147,James,Closed
PO0224,Titan Supply,2025-10-18,Locker,158,140,10744,James,Closed
PO0225,Global Steel,2026-04-15,Storage Rack,454,303,13620,Linda,Closed
PO0226,Global Steel,2025-11-14,Tool Box,499,163,22455,Alice,Closed
PO0227,Industrial Parts,2025-07-04,Tool Box,147,82,7203,James,Closed
PO0228,Future Materials,2026-06-21,Steel Cabinet,263,105,23933,Linda,Open
PO0229,Global Steel,2026-04-28,Steel Cabinet,301,271,16856,Robert,Partial
PO0230,ABC Metals,2025-10-13,Tool Box,96,92,9312,Daniel,Closed
PO0231,Future Materials,2025-07-11,Wooden Table,475,409,56525,Daniel,Open
PO0232,Blue Manufacturing,2025-10-01,Steel Cabinet,96,64,6528,Alice,Open
PO0233,Blue Manufacturing,2025-11-15,Locker,474,392,49770,James,Closed
PO0234,Titan Supply,2025-12-22,Steel Cabinet,213,198,22365,James,Closed
PO0235,Global Steel,2026-02-07,Office Chair,368,192,33856,James,Open
PO0236,Prime Industries,2026-04-07,Metal Shelf,194,132,22310,Alice,Open
PO0237,Titan Supply,2026-03-28,Workbench,400,325,32400,Daniel,Open
PO0238,United Supplies,2025-07-03,Storage Rack,280,278,24920,Robert,Open
PO0239,United Supplies,2025-07-31,Locker,497,319,36778,Linda,Partial
PO0240,Future Materials,2026-05-05,Office Chair,63,21,4599,Robert,Partial
PO0241,Prime Industries,2025-11-20,Metal Shelf,211,188,17935,Robert,Closed
PO0242,ABC Metals,2026-01-29,Storage Rack,349,281,33853,James,Open
PO0243,Vertex Industries,2025-09-15,Tool Box,166,138,3984,Linda,Closed
PO0244,ABC Metals,2025-09-12,Locker,355,291,28755,Robert,Open
PO0245,Vertex Industries,2025-08-06,Metal Shelf,469,182,18760,Alice,Open
PO0246,Rapid Components,2025-10-31,Wooden Table,467,419,49502,Alice,Partial
PO0247,United Supplies,2026-03-07,Tool Box,395,267,26860,Alice,Open
PO0248,Prime Industries,2025-09-12,Metal Shelf,119,38,4522,Robert,Closed
PO0249,United Supplies,2025-12-25,Metal Shelf,338,170,29406,Daniel,Partial
PO0250,Future Materials,2026-02-15,Office Chair,467,348,46233,Alice,Partial
PO0251,Future Materials,2026-01-22,Storage Rack,462,327,20790,Daniel,Partial
PO0252,United Supplies,2025-11-02,Workbench,353,330,12002,Robert,Open
PO0253,Blue Manufacturing,2026-06-06,Filing Cabinet,238,73,24514,James,Closed
PO0254,United Supplies,2025-08-06,Wooden Table,233,158,8854,Robert,Open
PO0255,ABC Metals,2026-06-05,Tool Box,325,267,29900,Robert,Open
PO0256,ABC Metals,2026-03-19,Steel Cabinet,104,57,8320,James,Closed
PO0257,Blue Manufacturing,2025-08-27,Tool Box,462,138,54978,Alice,Partial
PO0258,Prime Industries,2025-09-07,Filing Cabinet,185,147,17945,Alice,Open
PO0259,Industrial Parts,2025-09-30,Metal Shelf,263,173,15517,Alice,Open
PO0260,Vertex Industries,2025-09-18,Workbench,401,100,37694,Alice,Closed
PO0261,Blue Manufacturing,2025-08-22,Computer Desk,340,117,24820,Daniel,Closed
PO0262,Global Steel,2026-02-28,Computer Desk,311,262,35454,Linda,Partial
PO0263,United Supplies,2025-08-04,Office Chair,219,199,22119,Linda,Partial
PO0264,Blue Manufacturing,2025-07-27,Wooden Table,325,251,11700,Daniel,Open
PO0265,Global Steel,2025-09-17,Steel Cabinet,409,207,39673,Linda,Open
PO0266,United Supplies,2025-12-09,Metal Shelf,255,158,29070,James,Partial
PO0267,Prime Industries,2025-07-15,Steel Cabinet,448,142,30464,James,Open
PO0268,Blue Manufacturing,2025-12-31,Tool Box,114,54,6612,Linda,Open
PO0269,Vertex Industries,2026-01-13,Metal Shelf,437,8,29279,Daniel,Open
PO0270,Rapid Components,2026-03-28,Computer Desk,387,179,42183,Alice,Open
PO0271,Prime Industries,2025-08-02,Computer Desk,324,292,12636,Linda,Partial
PO0272,Blue Manufacturing,2025-09-20,Tool Box,129,96,4773,Linda,Open
PO0273,Industrial Parts,2026-05-27,Locker,151,108,9060,James,Open
PO0274,Future Materials,2026-03-08,Storage Rack,463,307,48615,Linda,Open
PO0275,United Supplies,2026-05-27,Locker,62,3,1612,James,Open
PO0276,Titan Supply,2025-11-12,Storage Rack,172,171,12556,Robert,Open
PO0277,United Supplies,2025-09-15,Metal Shelf,463,240,38892,Daniel,Partial
PO0278,Prime Industries,2026-04-22,Metal Shelf,297,215,27027,James,Open
PO0279,Vertex Industries,2025-10-01,Computer Desk,394,389,40976,Linda,Partial
PO0280,Global Steel,2025-11-24,Storage Rack,221,165,8398,Alice,Partial
PO0281,Industrial Parts,2026-01-14,Workbench,325,82,13325,James,Partial
PO0282,Prime Industries,2025-09-19,Steel Cabinet,412,73,41612,James,Open
PO0283,Rapid Components,2026-01-23,Steel Cabinet,352,245,29920,James,Open
PO0284,Prime Industries,2025-07-06,Office Chair,125,69,4125,Linda,Partial
PO0285,Vertex Industries,2025-12-20,Storage Rack,107,76,7704,Daniel,Partial
PO0286,Blue Manufacturing,2025-08-03,Filing Cabinet,195,9,23400,Robert,Partial
PO0287,ABC Metals,2026-03-31,Computer Desk,393,64,24366,Robert,Open
PO0288,Rapid Components,2025-09-07,Computer Desk,56,0,2128,Robert,Partial
PO0289,Prime Industries,2026-05-11,Wooden Table,322,283,18032,Daniel,Closed
PO0290,United Supplies,2025-11-26,Wooden Table,432,191,34992,James,Open
PO0291,ABC Metals,2025-11-26,Metal Shelf,51,42,5253,James,Closed
PO0292,ABC Metals,2025-08-22,Computer Desk,130,73,4680,Daniel,Open
PO0293,ABC Metals,2025-08-12,Storage Rack,492,479,9840,Linda,Partial
PO0294,Rapid Components,2026-01-18,Steel Cabinet,372,150,39804,Alice,Closed
PO0295,Vertex Industries,2026-04-08,Wooden Table,415,203,11205,Alice,Open
PO0296,United Supplies,2026-05-23,Office Chair,426,45,18744,James,Partial
PO0297,Rapid Components,2025-08-05,Filing Cabinet,53,28,1802,Robert,Partial
PO0298,Vertex Industries,2026-01-04,Steel Cabinet,202,47,11716,Alice,Open
PO0299,Future Materials,2025-10-15,Metal Shelf,365,103,40515,Linda,Open
PO0300,Prime Industries,2025-11-18,Tool Box,178,118,17622,Daniel,Open
PO0301,Industrial Parts,2026-03-02,Filing Cabinet,409,341,42127,Alice,Partial
PO0302,Future Materials,2026-02-24,Locker,343,79,36358,James,Open
PO0303,Titan Supply,2026-03-10,Steel Cabinet,94,77,3008,Robert,Closed
PO0304,Blue Manufacturing,2025-08-26,Tool Box,298,138,31588,Daniel,Partial
PO0305,Titan Supply,2025-09-06,Filing Cabinet,272,207,31824,Robert,Partial
PO0306,Prime Industries,2025-10-28,Workbench,195,179,15990,Daniel,Partial
PO0307,Rapid Components,2026-05-07,Metal Shelf,462,52,36036,James,Partial
PO0308,Future Materials,2025-07-15,Workbench,270,249,12960,Daniel,Partial
PO0309,Vertex Industries,2025-10-26,Tool Box,259,146,10878,Alice,Closed
PO0310,Industrial Parts,2025-08-06,Filing Cabinet,161,59,17871,Robert,Partial
PO0311,Industrial Parts,2025-11-18,Metal Shelf,338,333,34476,Daniel,Closed
PO0312,Titan Supply,2026-02-27,Wooden Table,490,300,31360,James,Open
PO0313,Industrial Parts,2026-01-03,Office Chair,200,60,23800,Robert,Closed
PO0314,Blue Manufacturing,2025-10-19,Tool Box,434,27,39928,Daniel,Open
PO0315,Prime Industries,2025-10-08,Locker,499,2,16467,James,Closed
PO0316,Prime Industries,2025-11-13,Metal Shelf,193,53,7141,James,Partial
PO0317,Prime Industries,2025-07-19,Filing Cabinet,344,102,25456,James,Closed
PO0318,Blue Manufacturing,2026-03-02,Metal Shelf,61,59,6893,Linda,Closed
PO0319,Titan Supply,2025-12-03,Workbench,180,31,9540,Robert,Partial
PO0320,Titan Supply,2026-06-13,Metal Shelf,73,6,7446,Alice,Open
PO0321,Rapid Components,2025-11-09,Metal Shelf,388,326,12028,Alice,Closed
PO0322,ABC Metals,2025-12-23,Steel Cabinet,137,90,10275,Alice,Closed
PO0323,Industrial Parts,2026-06-01,Office Chair,456,71,20064,James,Closed
PO0324,Industrial Parts,2026-04-15,Wooden Table,113,102,13447,Alice,Open
PO0325,ABC Metals,2025-08-04,Metal Shelf,100,4,8700,Alice,Open
PO0326,United Supplies,2025-11-14,Tool Box,207,89,12420,Alice,Closed
PO0327,Titan Supply,2026-03-23,Steel Cabinet,496,357,30752,Daniel,Partial
PO0328,Rapid Components,2026-03-25,Wooden Table,351,341,8424,Alice,Partial
PO0329,Titan Supply,2026-06-03,Wooden Table,367,11,30461,Linda,Closed
PO0330,Future Materials,2026-04-12,Office Chair,371,259,24857,Robert,Closed
PO0331,Rapid Components,2026-02-08,Tool Box,275,43,12100,Linda,Closed
PO0332,Vertex Industries,2025-08-09,Wooden Table,450,322,17100,Alice,Open
PO0333,ABC Metals,2025-12-28,Tool Box,197,154,22064,Daniel,Partial
PO0334,Vertex Industries,2025-10-04,Locker,317,251,8559,Linda,Partial
PO0335,ABC Metals,2025-10-23,Computer Desk,209,71,9405,James,Partial
PO0336,Rapid Components,2025-11-04,Steel Cabinet,157,64,4710,Robert,Closed
PO0337,Blue Manufacturing,2026-02-08,Workbench,380,338,32300,Linda,Partial
PO0338,United Supplies,2026-06-16,Storage Rack,303,283,10302,Robert,Closed
PO0339,Future Materials,2026-03-17,Tool Box,153,147,5355,Alice,Closed
PO0340,Vertex Industries,2026-04-22,Locker,478,20,32026,Linda,Open
PO0341,Industrial Parts,2025-08-08,Tool Box,485,47,25220,Robert,Partial
PO0342,Rapid Components,2025-12-17,Steel Cabinet,340,99,32640,James,Partial
