Invoice_ID,Supplier,Invoice_Date,PO_Number,Invoice_Amount,PO_Amount,Difference,Validation_Status,Finance_Status
INV0077,United Supplies,2026-06-22,PO0077,27155,26988,167,Mismatch,Pending
INV0078,ABC Metals,2025-09-03,PO0078,16822,16698,124,Mismatch,Pending
INV0079,Global Steel,2025-08-08,PO0079,18142,17784,358,Mismatch,Approved
INV0080,Vertex Industries,2026-06-21,PO0080,34628,34170,458,Mismatch,Approved
INV0081,Global Steel,2025-12-31,PO0081,5394,5016,378,Mismatch,Pending
INV0082,Industrial Parts,2026-07-01,PO0082,21370,21318,52,Mismatch,Pending
INV0083,ABC Metals,2025-12-14,PO0083,39894,39676,218,Mismatch,Approved
INV0084,Prime Industries,2026-03-11,PO0084,3512,3250,262,Mismatch,Pending
INV0085,Industrial Parts,2026-06-27,PO0085,9835,9568,267,Mismatch,Pending
INV0086,Future Materials,2026-04-25,PO0086,11595,11480,115,Mismatch,Pending
INV0087,Vertex Industries,2025-07-17,PO0087,9480,9396,84,Mismatch,Pending
INV0088,Industrial Parts,2026-06-04,PO0088,6264,5887,377,Mismatch,Pending
INV0089,Global Steel,2025-12-02,PO0089,29246,28968,278,Mismatch,Approved
INV0090,Global Steel,2025-10-13,PO0090,44161,43710,451,Mismatch,Pending
INV0091,Future Materials,2026-04-17,PO0091,43182,42896,286,Mismatch,Pending
INV0092,Blue Manufacturing,2025-09-29,PO0092,11709,11526,183,Mismatch,Pending
INV0093,Vertex Industries,2026-02-03,PO0093,10885,10560,325,Mismatch,Pending
INV0094,Blue Manufacturing,2025-10-24,PO0094,58388,58000,388,Mismatch,Pending
INV0095,Blue Manufacturing,2025-08-21,PO0095,31539,31242,297,Mismatch,Approved
INV0096,Global Steel,2025-11-09,PO0096,39940,39456,484,Mismatch,Approved
INV0097,Future Materials,2026-04-12,PO0097,10403,9975,428,Mismatch,On Hold
INV0098,ABC Metals,2026-01-11,PO0098,37192,36696,496,Mismatch,Approved
INV0099,United Supplies,2025-08-06,PO0099,29491,29007,484,Mismatch,Pending
INV0100,Vertex Industries,2026-05-01,PO0100,21317,21195,122,Mismatch,Pending
INV0101,Blue Manufacturing,2026-04-03,PO0101,14553,14272,281,Mismatch,Approved
INV0102,ABC Metals,2025-12-14,PO0102,57315,57240,75,Mismatch,Approved
INV0103,United Supplies,2025-11-28,PO0103,5244,5184,60,Mismatch,Pending
INV0104,Future Materials,2026-05-09,PO0104,10615,10272,343,Mismatch,Pending
INV0105,Industrial Parts,2026-01-19,PO0105,8953,8874,79,Mismatch,Pending
INV0106,Vertex Industries,2026-03-29,PO0106,11260,11128,132,Mismatch,On Hold
INV0107,United Supplies,2026-04-11,PO0107,29251,28866,385,Mismatch,On Hold
INV0108,Prime Industries,2026-06-23,PO0108,9648,9510,138,Mismatch,Pending
INV0109,United Supplies,2026-06-01,PO0109,44012,43662,350,Mismatch,Approved
INV0110,Rapid Components,2026-04-24,PO0110,8729,8460,269,Mismatch,Pending
INV0111,Global Steel,2025-11-16,PO0111,14838,14550,288,Mismatch,Approved
INV0112,Vertex Industries,2025-09-18,PO0112,20051,19926,125,Mismatch,Approved
INV0113,United Supplies,2025-10-22,PO0113,17555,17277,278,Mismatch,On Hold
INV0114,Titan Supply,2025-09-15,PO0114,6242,5904,338,Mismatch,On Hold
INV0115,United Supplies,2025-12-10,PO0115,11613,11220,393,Mismatch,On Hold
INV0116,ABC Metals,2025-09-09,PO0116,27727,27240,487,Mismatch,On Hold
INV0117,Global Steel,2025-12-07,PO0117,3905,3626,279,Mismatch,On Hold
INV0118,Global Steel,2025-12-02,PO0118,18512,18018,494,Mismatch,Pending
INV0119,Titan Supply,2025-09-17,PO0119,32709,32634,75,Mismatch,Approved
INV0120,Blue Manufacturing,2026-06-09,PO0120,9680,9198,482,Mismatch,Approved
INV0121,Prime Industries,2025-09-29,PO0121,12656,12510,146,Mismatch,Approved
INV0122,Rapid Components,2026-03-19,PO0122,19337,19178,159,Mismatch,Pending
INV0123,Future Materials,2026-06-02,PO0123,11953,11750,203,Mismatch,On Hold
INV0124,Rapid Components,2025-08-24,PO0124,6720,6474,246,Mismatch,Pending
INV0125,United Supplies,2026-06-14,PO0125,59175,59000,175,Mismatch,Approved
INV0126,ABC Metals,2026-01-21,PO0126,19346,19040,306,Mismatch,Approved
INV0127,ABC Metals,2026-03-09,PO0127,18359,18278,81,Mismatch,Pending
INV0128,Rapid Components,2026-05-18,PO0128,36040,35552,488,Mismatch,Approved
INV0129,Rapid Components,2025-09-13,PO0129,17488,17113,375,Mismatch,Approved
INV0130,Rapid Components,2025-12-17,PO0130,5866,5428,438,Mismatch,Approved
INV0131,Vertex Industries,2025-07-27,PO0131,27677,27352,325,Mismatch,Pending
INV0132,Rapid Components,2025-10-20,PO0132,20521,20118,403,Mismatch,On Hold
INV0133,Prime Industries,2025-08-30,PO0133,16860,16380,480,Mismatch,Approved
INV0134,Prime Industries,2026-05-03,PO0134,40831,40404,427,Mismatch,Approved
INV0135,Rapid Components,2025-12-02,PO0135,9536,9360,176,Mismatch,Pending
INV0136,Titan Supply,2026-06-10,PO0136,10438,10230,208,Mismatch,Pending
INV0137,Vertex Industries,2026-06-21,PO0137,11960,11741,219,Mismatch,Approved
INV0138,Industrial Parts,2026-01-26,PO0138,16084,15616,468,Mismatch,Pending
INV0139,Rapid Components,2025-10-08,PO0139,26233,25833,400,Mismatch,Pending
INV0140,Prime Industries,2025-08-07,PO0140,7393,7280,113,Mismatch,On Hold
INV0141,United Supplies,2025-10-02,PO0141,4789,4509,280,Mismatch,Approved
INV0142,United Supplies,2026-04-06,PO0142,8042,7770,272,Mismatch,Pending
INV0143,Future Materials,2026-05-04,PO0143,21750,21603,147,Mismatch,Approved
INV0144,Blue Manufacturing,2025-10-02,PO0144,27920,27573,347,Mismatch,Approved
INV0145,Global Steel,2026-07-08,PO0145,7244,7163,81,Mismatch,On Hold
INV0146,ABC Metals,2025-08-10,PO0146,56033,55800,233,Mismatch,On Hold
INV0147,Vertex Industries,2025-08-23,PO0147,6537,6360,177,Mismatch,Pending
INV0148,Industrial Parts,2025-12-12,PO0148,9544,9405,139,Mismatch,On Hold
INV0149,Blue Manufacturing,2026-07-02,PO0149,3077,2730,347,Mismatch,On Hold
INV0150,Vertex Industries,2025-10-18,PO0150,19114,18645,469,Mismatch,Pending
INV0151,Vertex Industries,2025-10-06,PO0151,50775,50380,395,Mismatch,On Hold
INV0152,Titan Supply,2026-02-27,PO0152,10402,10070,332,Mismatch,Pending
INV0153,Titan Supply,2025-09-27,PO0153,14359,14235,124,Mismatch,On Hold
INV0154,ABC Metals,2025-07-24,PO0154,16991,16687,304,Mismatch,Pending
INV0155,Future Materials,2025-07-23,PO0155,2773,2438,335,Mismatch,On Hold
INV0156,Industrial Parts,2026-06-24,PO0156,22094,21762,332,Mismatch,On Hold
INV0157,Global Steel,2026-06-05,PO0157,42976,42680,296,Mismatch,On Hold
INV0158,Titan Supply,2026-02-13,PO0158,22941,22686,255,Mismatch,Approved
INV0159,Blue Manufacturing,2026-03-10,PO0159,33584,33152,432,Mismatch,Approved
INV0160,Blue Manufacturing,2026-04-09,PO0160,46659,46265,394,Mismatch,Approved
INV0161,United Supplies,2025-08-31,PO0161,8513,8326,187,Mismatch,On Hold
INV0162,Future Materials,2026-06-06,PO0162,16846,16608,238,Mismatch,On Hold
INV0163,Prime Industries,2026-01-03,PO0163,7776,7680,96,Mismatch,On Hold
INV0164,United Supplies,2026-03-25,PO0164,28447,28314,133,Mismatch,On Hold
INV0165,Rapid Components,2026-01-31,PO0165,24123,23652,471,Mismatch,On Hold
INV0166,Rapid Components,2025-11-29,PO0166,39296,38984,312,Mismatch,On Hold
INV0167,Blue Manufacturing,2026-06-20,PO0167,24598,24528,70,Mismatch,Approved
INV0168,Global Steel,2025-08-23,PO0168,3821,3410,411,Mismatch,Approved
INV0169,Titan Supply,2026-04-01,PO0169,44586,44426,160,Mismatch,On Hold
INV0170,ABC Metals,2025-10-02,PO0170,37361,36936,425,Mismatch,Pending
INV0171,Industrial Parts,2025-08-26,PO0171,27241,26826,415,Mismatch,On Hold
INV0172,Rapid Components,2026-02-09,PO0172,48032,47632,400,Mismatch,Approved
INV0173,ABC Metals,2026-03-03,PO0173,45166,44744,422,Mismatch,Approved
INV0174,Vertex Industries,2025-11-10,PO0174,25765,25429,336,Mismatch,Approved
INV0175,Future Materials,2026-01-02,PO0175,16666,16524,142,Mismatch,Pending
INV0176,ABC Metals,2025-08-10,PO0176,25169,25069,100,Mismatch,Approved
INV0177,United Supplies,2025-11-26,PO0177,6060,5921,139,Mismatch,Approved
INV0178,Rapid Components,2026-02-09,PO0178,6241,6040,201,Mismatch,On Hold
INV0179,ABC Metals,2025-09-29,PO0179,5464,5148,316,Mismatch,On Hold
INV0180,Titan Supply,2026-04-14,PO0180,8923,8640,283,Mismatch,Approved
INV0181,ABC Metals,2025-09-08,PO0181,12659,12177,482,Mismatch,Pending
INV0182,ABC Metals,2026-06-29,PO0182,14644,14348,296,Mismatch,Pending
INV0183,Prime Industries,2026-01-18,PO0183,9988,9506,482,Mismatch,On Hold
INV0184,Future Materials,2025-10-24,PO0184,1821,1550,271,Mismatch,On Hold
INV0185,United Supplies,2026-05-02,PO0185,7507,7300,207,Mismatch,Pending
INV0186,Industrial Parts,2026-04-27,PO0186,4096,3886,210,Mismatch,On Hold
INV0187,Titan Supply,2026-02-10,PO0187,19400,19250,150,Mismatch,Approved
INV0188,ABC Metals,2025-12-23,PO0188,11374,11258,116,Mismatch,Pending
INV0189,Blue Manufacturing,2025-10-26,PO0189,17933,17802,131,Mismatch,Pending
INV0190,Global Steel,2026-06-10,PO0190,12012,11700,312,Mismatch,Pending
INV0191,Blue Manufacturing,2026-04-30,PO0191,12118,11629,489,Mismatch,On Hold
INV0192,Blue Manufacturing,2026-06-09,PO0192,27919,27430,489,Mismatch,On Hold
INV0193,Vertex Industries,2026-07-13,PO0193,24889,24584,305,Mismatch,Pending
INV0194,Blue Manufacturing,2025-09-02,PO0194,15715,15552,163,Mismatch,Pending
INV0195,Future Materials,2026-03-14,PO0195,40485,40255,230,Mismatch,Approved
INV0196,Global Steel,2026-02-18,PO0196,25555,25380,175,Mismatch,On Hold
INV0197,ABC Metals,2026-06-26,PO0197,11048,10944,104,Mismatch,Pending
INV0198,Prime Industries,2025-07-22,PO0198,36532,36207,325,Mismatch,Pending
INV0199,Industrial Parts,2025-12-23,PO0199,1712,1326,386,Mismatch,Pending
INV0200,Titan Supply,2025-08-25,PO0200,32006,31536,470,Mismatch,Approved
INV0201,ABC Metals,2026-03-23,PO0201,10225,10062,163,Mismatch,Pending
INV0202,ABC Metals,2025-11-11,PO0202,25634,25578,56,Mismatch,Approved
INV0203,Blue Manufacturing,2025-09-16,PO0203,3623,3480,143,Mismatch,Approved
INV0204,ABC Metals,2026-05-08,PO0204,16084,15755,329,Mismatch,Approved
INV0205,Global Steel,2025-09-15,PO0205,9913,9729,184,Mismatch,Pending
INV0206,Prime Industries,2026-02-08,PO0206,53800,53680,120,Mismatch,Approved
INV0207,United Supplies,2026-01-06,PO0207,9423,9030,393,Mismatch,Approved
INV0208,Vertex Industries,2025-08-29,PO0208,11677,11247,430,Mismatch,On Hold
INV0209,Global Steel,2025-10-20,PO0209,10787,10472,315,Mismatch,Approved
INV0210,Industrial Parts,2025-09-02,PO0210,32737,32370,367,Mismatch,Pending
INV0211,Titan Supply,2025-08-21,PO0211,5310,4838,472,Mismatch,Approved
INV0212,Prime Industries,2026-04-03,PO0212,12985,12506,479,Mismatch,On Hold
INV0213,Vertex Industries,2026-07-16,PO0213,51129,50963,166,Mismatch,On Hold
INV0214,Future Materials,2025-12-05,PO0214,20421,20178,243,Mismatch,Pending
INV0215,ABC Metals,2025-10-12,PO0215,6236,5800,436,Mismatch,Pending
INV0216,Future Materials,2026-01-28,PO0216,17919,17640,279,Mismatch,Pending
INV0217,Industrial Parts,2025-09-30,PO0217,20824,20367,457,Mismatch,On Hold
INV0218,Titan Supply,2026-06-02,PO0218,7220,6952,268,Mismatch,Pending
INV0219,Industrial Parts,2026-07-05,PO0219,20311,19895,416,Mismatch,Approved
INV0220,Future Materials,2026-04-10,PO0220,43242,43110,132,Mismatch,On Hold
INV0221,Future Materials,2025-12-17,PO0221,39325,39208,117,Mismatch,On Hold
INV0222,Global Steel,2025-11-11,PO0222,13565,13500,65,Mismatch,Approved
INV0223,ABC Metals,2026-07-15,PO0223,21597,21147,450,Mismatch,On Hold
INV0224,Titan Supply,2025-10-25,PO0224,11083,10744,339,Mismatch,On Hold
INV0225,Global Steel,2026-05-03,PO0225,14075,13620,455,Mismatch,Approved
INV0226,Global Steel,2025-11-23,PO0226,22791,22455,336,Mismatch,Pending
INV0227,Industrial Parts,2025-07-11,PO0227,7594,7203,391,Mismatch,Approved
INV0228,Future Materials,2026-07-05,PO0228,24425,23933,492,Mismatch,Approved
INV0229,Global Steel,2026-05-07,PO0229,17187,16856,331,Mismatch,Approved
INV0230,ABC Metals,2025-10-22,PO0230,9433,9312,121,Mismatch,On Hold
INV0231,Future Materials,2025-07-16,PO0231,56648,56525,123,Mismatch,On Hold
INV0232,Blue Manufacturing,2025-10-13,PO0232,7026,6528,498,Mismatch,On Hold
INV0233,Blue Manufacturing,2025-12-05,PO0233,50046,49770,276,Mismatch,On Hold
INV0234,Titan Supply,2025-12-26,PO0234,22447,22365,82,Mismatch,On Hold
INV0235,Global Steel,2026-02-17,PO0235,33980,33856,124,Mismatch,Approved
INV0236,Prime Industries,2026-04-26,PO0236,22500,22310,190,Mismatch,On Hold
INV0237,Titan Supply,2026-04-01,PO0237,32690,32400,290,Mismatch,On Hold
INV0238,United Supplies,2025-07-11,PO0238,25104,24920,184,Mismatch,On Hold
INV0239,United Supplies,2025-08-14,PO0239,37089,36778,311,Mismatch,Approved
INV0240,Future Materials,2026-05-22,PO0240,4706,4599,107,Mismatch,On Hold
INV0241,Prime Industries,2025-11-27,PO0241,18187,17935,252,Mismatch,Approved
INV0242,ABC Metals,2026-02-11,PO0242,34243,33853,390,Mismatch,On Hold
INV0243,Vertex Industries,2025-10-01,PO0243,4141,3984,157,Mismatch,Pending
INV0244,ABC Metals,2025-09-24,PO0244,29023,28755,268,Mismatch,On Hold
INV0245,Vertex Industries,2025-08-20,PO0245,18945,18760,185,Mismatch,Pending
INV0246,Rapid Components,2025-11-18,PO0246,49580,49502,78,Mismatch,On Hold
INV0247,United Supplies,2026-03-18,PO0247,26988,26860,128,Mismatch,Approved
INV0248,Prime Industries,2025-09-24,PO0248,4743,4522,221,Mismatch,Pending
INV0249,United Supplies,2026-01-13,PO0249,29869,29406,463,Mismatch,Approved
INV0250,Future Materials,2026-02-28,PO0250,46707,46233,474,Mismatch,On Hold
INV0251,Future Materials,2026-02-07,PO0251,21157,20790,367,Mismatch,On Hold
INV0252,United Supplies,2025-11-08,PO0252,12227,12002,225,Mismatch,Approved
INV0253,Blue Manufacturing,2026-06-09,PO0253,24577,24514,63,Mismatch,Pending
INV0254,United Supplies,2025-08-21,PO0254,9119,8854,265,Mismatch,Pending
INV0255,ABC Metals,2026-06-19,PO0255,30285,29900,385,Mismatch,Pending
INV0256,ABC Metals,2026-04-08,PO0256,8453,8320,133,Mismatch,On Hold
INV0257,Blue Manufacturing,2025-09-14,PO0257,55209,54978,231,Mismatch,Approved
INV0258,Prime Industries,2025-09-12,PO0258,18194,17945,249,Mismatch,Pending
INV0259,Industrial Parts,2025-10-11,PO0259,15732,15517,215,Mismatch,Approved
INV0260,Vertex Industries,2025-09-21,PO0260,37894,37694,200,Mismatch,Approved
INV0261,Blue Manufacturing,2025-09-10,PO0261,25110,24820,290,Mismatch,Approved
INV0262,Global Steel,2026-03-14,PO0262,35529,35454,75,Mismatch,Approved
INV0263,United Supplies,2025-08-23,PO0263,22459,22119,340,Mismatch,On Hold
INV0264,Blue Manufacturing,2025-08-02,PO0264,11904,11700,204,Mismatch,Approved
INV0265,Global Steel,2025-10-06,PO0265,39725,39673,52,Mismatch,Pending
INV0266,United Supplies,2025-12-14,PO0266,29145,29070,75,Mismatch,On Hold
INV0267,Prime Industries,2025-07-23,PO0267,30766,30464,302,Mismatch,On Hold
INV0268,Blue Manufacturing,2026-01-10,PO0268,6977,6612,365,Mismatch,Pending
INV0269,Vertex Industries,2026-01-28,PO0269,29686,29279,407,Mismatch,Pending
INV0270,Rapid Components,2026-04-17,PO0270,42437,42183,254,Mismatch,Approved
INV0271,Prime Industries,2025-08-16,PO0271,13042,12636,406,Mismatch,On Hold
INV0272,Blue Manufacturing,2025-10-04,PO0272,4870,4773,97,Mismatch,On Hold
INV0273,Industrial Parts,2026-06-04,PO0273,9203,9060,143,Mismatch,Approved
INV0274,Future Materials,2026-03-21,PO0274,49026,48615,411,Mismatch,Pending
INV0275,United Supplies,2026-06-15,PO0275,2047,1612,435,Mismatch,On Hold
INV0276,Titan Supply,2025-11-16,PO0276,13045,12556,489,Mismatch,Approved
INV0277,United Supplies,2025-09-30,PO0277,39277,38892,385,Mismatch,Pending
INV0278,Prime Industries,2026-05-04,PO0278,27248,27027,221,Mismatch,On Hold
INV0279,Vertex Industries,2025-10-20,PO0279,41050,40976,74,Mismatch,On Hold
INV0280,Global Steel,2025-12-11,PO0280,8534,8398,136,Mismatch,Pending
INV0281,Industrial Parts,2026-01-24,PO0281,13434,13325,109,Mismatch,On Hold
INV0282,Prime Industries,2025-10-01,PO0282,41832,41612,220,Mismatch,Pending
INV0283,Rapid Components,2026-02-01,PO0283,30354,29920,434,Mismatch,Pending
INV0284,Prime Industries,2025-07-26,PO0284,4618,4125,493,Mismatch,Pending
INV0285,Vertex Industries,2026-01-03,PO0285,7771,7704,67,Mismatch,Pending
INV0286,Blue Manufacturing,2025-08-06,PO0286,23647,23400,247,Mismatch,Approved
INV0287,ABC Metals,2026-04-16,PO0287,24833,24366,467,Mismatch,On Hold
INV0288,Rapid Components,2025-09-23,PO0288,2307,2128,179,Mismatch,On Hold
INV0289,Prime Industries,2026-05-28,PO0289,18292,18032,260,Mismatch,Pending
INV0290,United Supplies,2025-11-30,PO0290,35079,34992,87,Mismatch,Pending
INV0291,ABC Metals,2025-12-12,PO0291,5674,5253,421,Mismatch,On Hold
INV0292,ABC Metals,2025-09-04,PO0292,4810,4680,130,Mismatch,On Hold
INV0293,ABC Metals,2025-08-17,PO0293,10019,9840,179,Mismatch,Pending
INV0294,Rapid Components,2026-01-22,PO0294,40202,39804,398,Mismatch,Pending
INV0295,Vertex Industries,2026-04-25,PO0295,11286,11205,81,Mismatch,On Hold
INV0296,United Supplies,2026-06-04,PO0296,19240,18744,496,Mismatch,Pending
INV0297,Rapid Components,2025-08-18,PO0297,2078,1802,276,Mismatch,On Hold
INV0298,Vertex Industries,2026-01-15,PO0298,11808,11716,92,Mismatch,Pending
INV0299,Future Materials,2025-10-20,PO0299,40728,40515,213,Mismatch,Approved
INV0300,Prime Industries,2025-12-07,PO0300,17702,17622,80,Mismatch,Approved
INV0301,Industrial Parts,2026-03-11,PO0301,42314,42127,187,Mismatch,On Hold
INV0302,Future Materials,2026-02-28,PO0302,36821,36358,463,Mismatch,On Hold
INV0303,Titan Supply,2026-03-22,PO0303,3385,3008,377,Mismatch,On Hold
INV0304,Blue Manufacturing,2025-09-06,PO0304,31881,31588,293,Mismatch,On Hold
INV0305,Titan Supply,2025-09-16,PO0305,31912,31824,88,Mismatch,Approved
INV0306,Prime Industries,2025-11-03,PO0306,16360,15990,370,Mismatch,Pending
INV0307,Rapid Components,2026-05-17,PO0307,36335,36036,299,Mismatch,On Hold
INV0308,Future Materials,2025-08-03,PO0308,13294,12960,334,Mismatch,On Hold
INV0309,Vertex Industries,2025-11-08,PO0309,11169,10878,291,Mismatch,On Hold
INV0310,Industrial Parts,2025-08-22,PO0310,18183,17871,312,Mismatch,Approved
INV0311,Industrial Parts,2025-12-04,PO0311,34810,34476,334,Mismatch,Pending
INV0312,Titan Supply,2026-03-08,PO0312,31723,31360,363,Mismatch,Pending
INV0313,Industrial Parts,2026-01-11,PO0313,23956,23800,156,Mismatch,Approved
INV0314,Blue Manufacturing,2025-10-25,PO0314,40078,39928,150,Mismatch,Approved
INV0315,Prime Industries,2025-10-12,PO0315,16843,16467,376,Mismatch,On Hold
INV0316,Prime Industries,2025-11-21,PO0316,7524,7141,383,Mismatch,Approved
INV0317,Prime Industries,2025-08-08,PO0317,25758,25456,302,Mismatch,Approved
INV0318,Blue Manufacturing,2026-03-12,PO0318,7053,6893,160,Mismatch,Approved
INV0319,Titan Supply,2025-12-09,PO0319,9766,9540,226,Mismatch,Pending
INV0320,Titan Supply,2026-06-16,PO0320,7562,7446,116,Mismatch,On Hold
INV0321,Rapid Components,2025-11-14,PO0321,12493,12028,465,Mismatch,Approved
INV0322,ABC Metals,2026-01-12,PO0322,10694,10275,419,Mismatch,Pending
INV0323,Industrial Parts,2026-06-12,PO0323,20161,20064,97,Mismatch,Pending
INV0324,Industrial Parts,2026-04-19,PO0324,13772,13447,325,Mismatch,On Hold
INV0325,ABC Metals,2025-08-08,PO0325,8775,8700,75,Mismatch,Approved
INV0326,United Supplies,2025-12-02,PO0326,12586,12420,166,Mismatch,Pending
