System_ID,Plant,Production_Line,Status,Efficiency,Cycle_Time,Energy_Consumption,Downtime_Minutes
Sys0053,Chicago Plant,Line C,Idle,82.57,32.29,2401.76,94
Sys0054,Chicago Plant,Line C,Maintenance,80.46,15.38,528.3,273
Sys0055,Dallas Plant,Assembly Line,Running,95.95,27.22,1438.79,225
Sys0056,Houston Plant,Line D,Running,88.85,30.59,803.45,288
Sys0057,Dallas Plant,Assembly Line,Stopped,96.8,18.92,1677.05,219
Sys0058,Dallas Plant,Assembly Line,Maintenance,90.85,14.71,847.63,38
Sys0059,Chicago Plant,Packaging Line,Idle,81.91,18.48,2219.21,36
Sys0060,Phoenix Plant,Packaging Line,Idle,96.8,34.8,642.82,84
Sys0061,Phoenix Plant,Line C,Stopped,97.62,25.01,1487.59,41
Sys0062,Houston Plant,Assembly Line,Running,98.99,30.17,1039.02,20
Sys0063,Chicago Plant,Line C,Running,86.28,22.25,1142.12,53
Sys0064,Chicago Plant,Line C,Stopped,77.11,17.57,731.84,206
Sys0065,Chicago Plant,Line D,Stopped,90.01,32.8,907.12,281
Sys0066,Chicago Plant,Line A,Maintenance,88.22,26.57,686.42,58
Sys0067,Austin Plant,Line D,Stopped,95.03,39.41,987.46,282
Sys0068,Phoenix Plant,Assembly Line,Stopped,83.16,33.63,1034.35,1
Sys0069,Phoenix Plant,Assembly Line,Stopped,83.28,26.56,1586.86,233
Sys0070,Austin Plant,Assembly Line,Maintenance,92.87,31.16,2122.82,197
Sys0071,Austin Plant,Assembly Line,Running,87.62,23.71,1944.89,209
Sys0072,Houston Plant,Line C,Maintenance,95.46,35.78,1260.02,162
Sys0073,Phoenix Plant,Line A,Stopped,98.48,32.81,1907.78,51
Sys0074,Houston Plant,Line A,Maintenance,84.0,14.37,1562.33,289
Sys0075,Dallas Plant,Assembly Line,Idle,86.07,17.62,1010.65,4
Sys0076,Phoenix Plant,Line B,Stopped,91.57,23.71,1104.24,196
Sys0077,Chicago Plant,Assembly Line,Running,98.47,29.75,1048.96,289
Sys0078,Chicago Plant,Line C,Maintenance,91.27,31.63,1818.36,70
Sys0079,Dallas Plant,Line C,Idle,77.16,18.85,1994.96,89
Sys0080,Houston Plant,Assembly Line,Stopped,98.22,18.85,2240.79,58
Sys0081,Austin Plant,Packaging Line,Running,93.98,10.42,1573.14,232
Sys0082,Houston Plant,Assembly Line,Stopped,75.6,36.53,1622.81,113
Sys0083,Houston Plant,Packaging Line,Running,82.3,24.78,694.38,275
Sys0084,Houston Plant,Packaging Line,Stopped,90.72,35.01,1731.3,143
Sys0085,Austin Plant,Line D,Maintenance,88.07,39.34,1217.35,203
Sys0086,Chicago Plant,Line A,Running,93.88,17.31,751.85,289
Sys0087,Austin Plant,Assembly Line,Running,81.65,39.52,2475.05,276
Sys0088,Dallas Plant,Line B,Running,79.18,11.57,1983.44,269
Sys0089,Chicago Plant,Line D,Running,92.45,37.26,1817.81,154
Sys0090,Dallas Plant,Line D,Stopped,92.1,23.31,2298.53,164
Sys0091,Houston Plant,Assembly Line,Stopped,87.13,22.91,2086.19,58
Sys0092,Austin Plant,Line D,Running,82.5,19.38,1009.78,78
Sys0093,Dallas Plant,Line A,Idle,88.35,27.59,1623.17,168
Sys0094,Chicago Plant,Packaging Line,Maintenance,77.49,25.22,809.46,246
Sys0095,Phoenix Plant,Line C,Stopped,95.28,39.24,2136.85,285
Sys0096,Houston Plant,Line A,Maintenance,83.42,15.44,786.5,205
Sys0097,Dallas Plant,Line A,Stopped,83.18,21.1,1943.19,290
Sys0098,Austin Plant,Assembly Line,Stopped,86.66,23.26,1046.33,262
Sys0099,Dallas Plant,Line C,Running,80.29,39.53,609.56,104
Sys0100,Houston Plant,Line C,Stopped,79.22,21.41,1907.34,256
Sys0101,Dallas Plant,Line D,Stopped,88.76,31.28,1335.39,58
Sys0102,Austin Plant,Assembly Line,Running,80.84,27.67,1547.93,202
Sys0103,Austin Plant,Line C,Idle,96.74,20.48,1954.76,75
Sys0104,Houston Plant,Line B,Idle,97.83,28.84,1427.91,288
Sys0105,Phoenix Plant,Line C,Running,86.25,28.94,2092.66,28
Sys0106,Houston Plant,Line D,Maintenance,76.84,35.93,2210.59,259
Sys0107,Phoenix Plant,Packaging Line,Maintenance,89.52,25.04,2415.44,230
Sys0108,Dallas Plant,Assembly Line,Stopped,98.78,25.72,1719.61,186
Sys0109,Chicago Plant,Line C,Running,82.91,26.74,1273.13,129
Sys0110,Phoenix Plant,Packaging Line,Idle,89.28,38.14,1119.16,192
Sys0111,Phoenix Plant,Line A,Running,83.7,15.41,928.39,248
Sys0112,Austin Plant,Line A,Maintenance,96.03,28.54,1694.49,78
Sys0113,Phoenix Plant,Line B,Maintenance,91.23,17.13,1388.4,145
Sys0114,Austin Plant,Line C,Stopped,93.47,33.34,1505.81,214
Sys0115,Austin Plant,Line C,Running,81.84,32.89,1045.58,262
Sys0116,Austin Plant,Line D,Stopped,87.05,17.07,2489.05,191
Sys0117,Dallas Plant,Packaging Line,Running,81.89,34.89,1892.14,71
Sys0118,Dallas Plant,Line A,Stopped,77.67,18.64,1102.3,24
Sys0119,Phoenix Plant,Line D,Idle,92.25,18.74,503.13,180
Sys0120,Austin Plant,Packaging Line,Running,97.88,26.32,2072.82,259
Sys0121,Dallas Plant,Packaging Line,Maintenance,93.92,20.34,1965.88,53
Sys0122,Houston Plant,Assembly Line,Stopped,90.16,34.34,626.2,234
Sys0123,Dallas Plant,Line B,Stopped,81.08,32.6,882.21,182
Sys0124,Houston Plant,Line A,Stopped,83.14,15.6,1884.14,188
Sys0125,Chicago Plant,Line A,Maintenance,77.46,19.84,1091.28,228
Sys0126,Chicago Plant,Line C,Stopped,81.59,39.4,2395.81,38
Sys0127,Austin Plant,Line A,Running,80.66,29.35,1224.3,290
Sys0128,Chicago Plant,Line C,Maintenance,84.55,29.49,999.22,58
Sys0129,Chicago Plant,Assembly Line,Stopped,80.15,28.36,1887.96,251
Sys0130,Dallas Plant,Line D,Maintenance,92.03,26.5,1080.72,153
Sys0131,Austin Plant,Line C,Idle,80.68,24.82,1221.79,293
Sys0132,Austin Plant,Assembly Line,Stopped,87.62,33.07,2146.68,37
Sys0133,Dallas Plant,Line D,Idle,85.38,37.32,610.83,63
Sys0134,Austin Plant,Line C,Running,81.01,29.05,1601.68,64
Sys0135,Dallas Plant,Assembly Line,Idle,90.81,31.62,1710.28,288
Sys0136,Dallas Plant,Packaging Line,Stopped,89.83,10.91,2277.99,279
Sys0137,Chicago Plant,Line B,Running,91.53,14.74,1331.24,237
Sys0138,Austin Plant,Line C,Stopped,78.14,21.12,1623.3,163
Sys0139,Houston Plant,Line D,Maintenance,97.69,35.92,1336.27,81
Sys0140,Houston Plant,Line B,Stopped,96.1,24.92,680.1,201
Sys0141,Phoenix Plant,Line C,Stopped,81.86,10.25,714.99,68
Sys0142,Chicago Plant,Line C,Maintenance,88.28,12.21,1508.51,281
Sys0143,Phoenix Plant,Line A,Maintenance,88.39,20.97,788.53,260
Sys0144,Dallas Plant,Line A,Idle,89.55,25.47,1155.93,163
Sys0145,Houston Plant,Assembly Line,Stopped,94.58,21.05,1847.61,213
Sys0146,Dallas Plant,Assembly Line,Running,89.0,15.12,1758.05,194
Sys0147,Dallas Plant,Assembly Line,Stopped,82.53,14.54,1881.0,210
Sys0148,Dallas Plant,Packaging Line,Stopped,87.61,19.41,846.36,272
Sys0149,Houston Plant,Assembly Line,Maintenance,80.4,39.19,1095.23,147
Sys0150,Chicago Plant,Line C,Maintenance,77.92,30.3,1259.39,202
Sys0151,Dallas Plant,Line C,Maintenance,92.94,16.42,2155.9,138
Sys0152,Phoenix Plant,Packaging Line,Idle,90.31,11.57,1326.6,241
Sys0153,Dallas Plant,Assembly Line,Stopped,90.61,32.68,1074.49,146
Sys0154,Phoenix Plant,Line B,Idle,97.41,11.09,2172.41,253
Sys0155,Dallas Plant,Line A,Stopped,98.74,26.3,1487.82,68
Sys0156,Dallas Plant,Line C,Idle,75.34,20.11,1090.05,98
Sys0157,Chicago Plant,Line D,Running,79.43,14.22,1147.2,127
Sys0158,Austin Plant,Line D,Maintenance,90.69,30.78,624.25,60
Sys0159,Chicago Plant,Packaging Line,Maintenance,83.82,16.63,2414.72,244
Sys0160,Phoenix Plant,Line C,Idle,91.33,27.87,2074.74,269
Sys0161,Houston Plant,Line A,Idle,78.95,35.63,1383.68,105
Sys0162,Chicago Plant,Line A,Stopped,88.53,26.76,1845.54,157
Sys0163,Dallas Plant,Packaging Line,Maintenance,91.81,26.23,620.51,35
Sys0164,Chicago Plant,Line B,Stopped,95.87,37.2,1251.29,276
Sys0165,Dallas Plant,Line B,Idle,95.04,32.69,2456.98,237
Sys0166,Austin Plant,Line B,Idle,97.5,31.75,725.69,214
Sys0167,Dallas Plant,Line A,Idle,92.77,22.07,968.68,111
Sys0168,Houston Plant,Line B,Idle,82.24,14.3,1820.42,113
Sys0169,Dallas Plant,Assembly Line,Stopped,76.13,20.33,1786.63,195
Sys0170,Chicago Plant,Line B,Idle,95.38,19.02,1915.15,237
Sys0171,Chicago Plant,Assembly Line,Maintenance,79.88,29.4,2344.45,189
Sys0172,Austin Plant,Line A,Running,79.52,32.85,1948.61,286
Sys0173,Houston Plant,Line C,Stopped,96.95,30.87,1907.54,203
Sys0174,Houston Plant,Line D,Maintenance,87.31,24.92,697.22,240
Sys0175,Houston Plant,Line D,Running,81.26,38.04,1658.29,213
Sys0176,Houston Plant,Line B,Maintenance,93.32,24.66,1947.12,251
Sys0177,Houston Plant,Line B,Running,95.14,12.23,2135.99,24
Sys0178,Austin Plant,Line A,Stopped,83.96,28.54,1833.51,247
Sys0179,Phoenix Plant,Assembly Line,Maintenance,75.41,34.39,1848.07,91
Sys0180,Austin Plant,Line B,Stopped,76.9,38.78,1418.0,124
Sys0181,Dallas Plant,Packaging Line,Stopped,84.05,24.28,1773.5,87
Sys0182,Houston Plant,Assembly Line,Stopped,81.51,37.72,1868.86,143
Sys0183,Dallas Plant,Line B,Running,82.18,26.92,1633.39,199
Sys0184,Austin Plant,Packaging Line,Running,77.34,16.96,652.04,203
Sys0185,Houston Plant,Line D,Stopped,79.46,27.58,1260.15,151
Sys0186,Dallas Plant,Line C,Stopped,82.6,13.2,510.39,157
Sys0187,Dallas Plant,Line B,Stopped,77.48,12.69,1608.44,166
Sys0188,Chicago Plant,Line D,Stopped,79.07,18.07,1036.81,74
Sys0189,Houston Plant,Line D,Maintenance,97.66,31.63,1491.6,100
Sys0190,Houston Plant,Line A,Maintenance,85.57,22.92,2147.07,69
Sys0191,Austin Plant,Line D,Maintenance,92.64,28.99,2435.53,124
Sys0192,Chicago Plant,Line C,Running,97.87,23.85,1916.73,224
Sys0193,Chicago Plant,Packaging Line,Idle,81.06,14.62,1346.26,193
Sys0194,Chicago Plant,Assembly Line,Maintenance,91.84,34.37,1687.64,43
Sys0195,Houston Plant,Line B,Maintenance,98.18,22.91,521.1,132
Sys0196,Phoenix Plant,Assembly Line,Stopped,86.11,30.39,1880.87,77
Sys0197,Dallas Plant,Line C,Maintenance,82.49,23.66,913.73,247
Sys0198,Chicago Plant,Packaging Line,Maintenance,76.07,31.32,545.17,175
Sys0199,Austin Plant,Assembly Line,Stopped,80.56,22.15,868.9,221
Sys0200,Phoenix Plant,Line B,Idle,79.94,32.57,2117.46,32
Sys0201,Houston Plant,Line C,Stopped,87.67,29.17,1693.94,200
Sys0202,Chicago Plant,Assembly Line,Idle,82.52,17.16,733.9,191
Sys0203,Chicago Plant,Assembly Line,Stopped,90.25,30.8,1790.52,88
Sys0204,Austin Plant,Line B,Maintenance,97.84,24.54,890.26,196
Sys0205,Chicago Plant,Line D,Running,88.57,33.88,941.06,16
Sys0206,Houston Plant,Line B,Running,81.43,26.29,2481.79,277
Sys0207,Phoenix Plant,Line B,Maintenance,96.0,10.97,1025.63,44
Sys0208,Austin Plant,Packaging Line,Idle,89.79,33.55,2127.06,30
Sys0209,Phoenix Plant,Assembly Line,Maintenance,88.75,38.57,1528.83,48
Sys0210,Houston Plant,Packaging Line,Maintenance,94.88,32.84,1852.47,250
Sys0211,Houston Plant,Packaging Line,Running,84.67,32.49,1889.41,188
Sys0212,Phoenix Plant,Line A,Maintenance,95.4,33.87,1295.43,219
Sys0213,Houston Plant,Line C,Maintenance,96.46,32.87,591.89,235
Sys0214,Chicago Plant,Line D,Maintenance,78.82,37.98,1048.04,184
Sys0215,Austin Plant,Line A,Stopped,90.73,31.11,502.17,244
Sys0216,Austin Plant,Assembly Line,Maintenance,94.61,39.64,1344.63,67
Sys0217,Chicago Plant,Line A,Maintenance,96.14,14.11,2046.92,68
Sys0218,Phoenix Plant,Line A,Idle,90.07,14.54,1323.42,226
Sys0219,Austin Plant,Line A,Maintenance,93.99,17.43,1789.24,127
Sys0220,Houston Plant,Line B,Maintenance,90.51,33.51,2087.56,122
Sys0221,Austin Plant,Line D,Maintenance,97.41,13.96,2221.63,291
Sys0222,Austin Plant,Line D,Running,81.29,11.19,620.94,203
Sys0223,Phoenix Plant,Line D,Maintenance,77.01,12.37,2341.85,79
Sys0224,Dallas Plant,Line C,Running,80.87,37.74,731.97,28
Sys0225,Austin Plant,Line A,Idle,86.91,20.4,1534.45,132
Sys0226,Houston Plant,Packaging Line,Maintenance,87.57,17.89,2450.1,39
Sys0227,Houston Plant,Line A,Maintenance,93.56,36.83,1848.24,59
Sys0228,Dallas Plant,Line A,Maintenance,84.19,14.5,2362.32,18
Sys0229,Austin Plant,Line D,Maintenance,77.87,30.2,605.34,114
Sys0230,Chicago Plant,Line C,Running,83.85,18.75,2069.01,124
Sys0231,Chicago Plant,Line B,Stopped,75.57,26.25,1771.88,4
Sys0232,Chicago Plant,Packaging Line,Idle,85.08,38.84,2445.12,72
Sys0233,Austin Plant,Assembly Line,Running,87.13,29.12,1288.7,290
Sys0234,Austin Plant,Line B,Maintenance,82.63,18.16,649.37,103
Sys0235,Austin Plant,Line A,Stopped,77.9,20.75,2040.67,231
Sys0236,Dallas Plant,Line A,Idle,95.06,19.83,682.43,127
Sys0237,Dallas Plant,Packaging Line,Stopped,95.51,26.68,1600.24,48
Sys0238,Dallas Plant,Line A,Stopped,83.93,28.91,1789.37,298
Sys0239,Dallas Plant,Line B,Maintenance,77.94,38.27,601.28,293
Sys0240,Chicago Plant,Line A,Idle,96.8,18.25,1392.02,76
Sys0241,Phoenix Plant,Line B,Stopped,76.46,18.39,774.47,102
Sys0242,Dallas Plant,Line D,Maintenance,96.9,25.07,1276.76,92
Sys0243,Austin Plant,Line A,Idle,98.38,13.0,1813.73,136
Sys0244,Chicago Plant,Line C,Maintenance,96.94,10.85,1901.12,290
Sys0245,Chicago Plant,Assembly Line,Running,76.35,28.05,539.86,244
Sys0246,Austin Plant,Line B,Running,78.55,31.14,783.31,56
Sys0247,Chicago Plant,Assembly Line,Idle,98.42,31.97,1373.74,249
Sys0248,Phoenix Plant,Packaging Line,Stopped,82.36,30.65,754.7,0
Sys0249,Austin Plant,Assembly Line,Stopped,78.38,32.36,975.99,163
Sys0250,Houston Plant,Line D,Running,83.41,33.61,1940.83,24
Sys0251,Chicago Plant,Line B,Stopped,77.43,24.38,2228.1,115
Sys0252,Dallas Plant,Line C,Running,83.2,36.64,821.81,38
Sys0253,Phoenix Plant,Line D,Stopped,78.77,13.04,911.1,97
Sys0254,Phoenix Plant,Line C,Running,76.19,27.15,2179.71,78
Sys0255,Chicago Plant,Line A,Running,79.97,29.15,2454.12,242
Sys0256,Chicago Plant,Line D,Idle,83.9,21.44,873.17,22
Sys0257,Houston Plant,Line B,Running,91.04,34.25,1327.97,116
Sys0258,Chicago Plant,Assembly Line,Stopped,82.17,21.84,2207.88,17
Sys0259,Austin Plant,Line B,Stopped,76.88,30.49,903.84,75
Sys0260,Dallas Plant,Line A,Maintenance,87.47,37.51,524.73,300
Sys0261,Austin Plant,Line B,Maintenance,95.82,36.4,2255.79,135
Sys0262,Phoenix Plant,Assembly Line,Stopped,78.45,28.26,1887.32,19
Sys0263,Austin Plant,Line A,Running,83.11,33.81,1121.9,251
Sys0264,Houston Plant,Packaging Line,Running,79.51,16.34,2147.94,248
Sys0265,Austin Plant,Line A,Idle,79.63,34.99,2173.95,127
Sys0266,Houston Plant,Packaging Line,Stopped,90.25,13.72,561.13,190
Sys0267,Austin Plant,Line D,Maintenance,92.98,30.67,1070.14,197
Sys0268,Austin Plant,Line B,Maintenance,90.64,25.4,2229.26,4
Sys0269,Austin Plant,Assembly Line,Maintenance,85.17,21.29,1197.42,129
Sys0270,Phoenix Plant,Assembly Line,Maintenance,82.16,13.24,627.67,141
Sys0271,Houston Plant,Line B,Maintenance,91.34,31.64,1810.8,151
Sys0272,Chicago Plant,Packaging Line,Stopped,96.76,30.16,1514.63,87
Sys0273,Chicago Plant,Line B,Maintenance,90.71,16.67,946.66,157
Sys0274,Houston Plant,Assembly Line,Running,95.79,27.51,2388.6,36
Sys0275,Dallas Plant,Packaging Line,Idle,78.3,16.01,1318.38,291
Sys0276,Austin Plant,Line A,Maintenance,90.23,10.14,1047.06,86
Sys0277,Austin Plant,Assembly Line,Stopped,84.2,11.13,898.83,191
Sys0278,Austin Plant,Line A,Idle,91.64,20.33,757.86,196
Sys0279,Dallas Plant,Line C,Stopped,96.31,39.86,1185.47,250
Sys0280,Chicago Plant,Line A,Idle,92.62,27.69,837.97,187
Sys0281,Houston Plant,Assembly Line,Running,90.69,10.59,1879.5,213
Sys0282,Phoenix Plant,Line C,Maintenance,85.1,13.03,1540.62,70
Sys0283,Phoenix Plant,Line A,Idle,89.62,33.34,2163.0,103
Sys0284,Houston Plant,Line B,Maintenance,80.63,10.38,678.01,56
Sys0285,Phoenix Plant,Line A,Stopped,98.73,18.88,1428.55,51
Sys0286,Houston Plant,Packaging Line,Running,95.43,36.71,519.34,70
Sys0287,Chicago Plant,Assembly Line,Idle,77.73,22.01,1413.08,197
Sys0288,Austin Plant,Line A,Stopped,96.87,24.48,1637.89,224
Sys0289,Houston Plant,Assembly Line,Running,96.3,23.22,626.67,160
Sys0290,Phoenix Plant,Packaging Line,Running,85.39,31.8,1463.86,197
Sys0291,Dallas Plant,Line A,Stopped,95.87,12.25,1483.3,123
Sys0292,Phoenix Plant,Line B,Running,86.02,34.04,1396.2,255
Sys0293,Chicago Plant,Packaging Line,Stopped,75.86,26.47,2151.82,155
Sys0294,Chicago Plant,Line C,Maintenance,88.44,28.59,1446.27,186
Sys0295,Austin Plant,Line A,Maintenance,91.85,11.37,828.31,71
Sys0296,Phoenix Plant,Line B,Stopped,94.79,15.72,1175.87,212
Sys0297,Phoenix Plant,Line A,Stopped,75.1,32.09,1606.45,221
Sys0298,Phoenix Plant,Line B,Maintenance,87.1,21.54,2459.0,127
Sys0299,Houston Plant,Line D,Maintenance,92.08,38.07,1765.17,102
Sys0300,Houston Plant,Packaging Line,Maintenance,92.05,32.82,1624.56,298
Sys0301,Phoenix Plant,Line C,Running,84.14,11.59,613.21,136
Sys0302,Houston Plant,Line B,Maintenance,94.54,13.07,2236.07,287
Sys0303,Phoenix Plant,Line D,Stopped,84.3,38.7,2451.65,160
Sys0304,Houston Plant,Line B,Idle,93.63,38.93,1088.36,90
Sys0305,Phoenix Plant,Line A,Maintenance,78.12,27.52,1010.03,169
Sys0306,Dallas Plant,Line B,Stopped,93.96,26.5,645.76,162
Sys0307,Dallas Plant,Assembly Line,Running,83.39,36.5,1826.67,169
Sys0308,Phoenix Plant,Assembly Line,Stopped,80.77,29.27,2337.21,124
Sys0309,Chicago Plant,Line A,Running,96.87,34.66,1249.92,260
Sys0310,Houston Plant,Packaging Line,Running,79.02,38.69,1575.95,3
Sys0311,Austin Plant,Packaging Line,Running,92.93,14.61,1418.45,169
Sys0312,Dallas Plant,Line B,Maintenance,84.78,23.53,1308.9,161
Sys0313,Dallas Plant,Assembly Line,Running,83.58,25.09,1079.67,154
Sys0314,Chicago Plant,Line D,Idle,78.27,21.73,2094.97,279
Sys0315,Houston Plant,Packaging Line,Running,76.0,27.18,1288.16,280
Sys0316,Houston Plant,Line B,Idle,89.81,17.58,729.25,290
Sys0317,Phoenix Plant,Line A,Idle,92.41,24.62,1161.7,65
Sys0318,Phoenix Plant,Line A,Maintenance,89.79,19.17,1668.34,289
Sys0319,Austin Plant,Line A,Maintenance,95.16,14.03,1965.95,245
Sys0320,Houston Plant,Line D,Maintenance,95.61,14.2,1577.24,134
Sys0321,Dallas Plant,Assembly Line,Idle,96.75,26.55,1586.94,276
Sys0322,Houston Plant,Line D,Running,84.52,25.07,1825.36,84
Sys0323,Austin Plant,Assembly Line,Maintenance,75.97,32.84,963.5,135
Sys0324,Austin Plant,Assembly Line,Running,75.96,29.46,706.45,266
Sys0325,Phoenix Plant,Assembly Line,Maintenance,89.1,36.95,655.67,128
Sys0326,Chicago Plant,Line C,Idle,85.56,16.9,1529.08,143
Sys0327,Austin Plant,Line C,Stopped,94.47,31.61,1463.03,245
Sys0328,Austin Plant,Packaging Line,Idle,88.76,14.83,1759.08,20
Sys0329,Houston Plant,Line B,Maintenance,97.73,16.5,1713.05,241
Sys0330,Chicago Plant,Assembly Line,Idle,92.38,20.28,1406.94,35
Sys0331,Austin Plant,Line A,Idle,89.53,15.32,2303.22,19
Sys0332,Austin Plant,Assembly Line,Stopped,83.89,11.3,1559.63,117
Sys0333,Phoenix Plant,Packaging Line,Maintenance,86.45,16.98,2218.11,145
Sys0334,Dallas Plant,Packaging Line,Running,84.0,16.16,2108.57,209
Sys0335,Chicago Plant,Packaging Line,Maintenance,89.69,39.75,1294.91,104
Sys0336,Chicago Plant,Line B,Maintenance,93.58,21.94,776.14,60
Sys0337,Austin Plant,Line A,Idle,84.34,29.08,2108.74,74
Sys0338,Dallas Plant,Line A,Running,92.39,37.92,1301.29,266
Sys0339,Dallas Plant,Line B,Idle,95.41,37.92,1536.31,99
Sys0340,Phoenix Plant,Packaging Line,Maintenance,80.74,10.01,814.89,141
Sys0341,Chicago Plant,Line D,Running,97.06,26.49,1952.28,286
Sys0342,Austin Plant,Assembly Line,Maintenance,79.2,25.19,1617.26,257
Sys0343,Phoenix Plant,Line C,Stopped,88.52,33.1,2014.95,234
Sys0344,Chicago Plant,Line A,Idle,94.2,22.37,1206.19,274
Sys0345,Austin Plant,Line C,Running,88.31,15.35,1127.75,111
Sys0346,Austin Plant,Line D,Maintenance,79.96,16.08,999.39,182
Sys0347,Dallas Plant,Packaging Line,Running,95.35,21.14,1130.83,294
Sys0348,Phoenix Plant,Line C,Running,87.62,22.7,2379.31,16
Sys0349,Austin Plant,Line D,Running,91.18,21.38,701.5,185
Sys0350,Houston Plant,Line B,Maintenance,79.41,22.72,1338.19,190
Sys0351,Chicago Plant,Line B,Running,92.3,34.12,1610.68,195
Sys0352,Austin Plant,Line D,Idle,98.89,35.48,1534.01,161
Sys0353,Phoenix Plant,Assembly Line,Running,80.17,17.63,2177.94,49
Sys0354,Houston Plant,Line C,Stopped,77.91,36.02,2426.23,101
Sys0355,Houston Plant,Packaging Line,Running,84.15,18.6,1763.42,74
Sys0356,Chicago Plant,Packaging Line,Idle,83.25,19.4,1806.03,136
Sys0357,Houston Plant,Packaging Line,Idle,95.5,13.75,969.25,128
Sys0358,Chicago Plant,Line A,Running,93.5,25.72,2492.03,53
Sys0359,Dallas Plant,Packaging Line,Maintenance,85.64,13.79,1553.48,87
Sys0360,Houston Plant,Line C,Stopped,78.24,38.45,1578.58,233
Sys0361,Phoenix Plant,Line C,Running,85.6,20.97,1019.61,155
Sys0362,Austin Plant,Line C,Stopped,97.73,24.31,518.27,220
Sys0363,Dallas Plant,Assembly Line,Stopped,81.0,31.45,1791.98,193
Sys0364,Chicago Plant,Packaging Line,Stopped,79.51,12.05,773.25,56
