PLC_ID,Manufacturer,Model,Firmware,IP_Address,CPU_Usage,Memory_Usage,Temperature,Voltage,Communication_Status
Plc037,Allen Bradley,S7-1500,V5.2,192.168.135.107,78,73,33.5,23.92,Disconnected
Plc038,Mitsubishi,Nx1P2,V5.0,192.168.36.79,71,35,39.6,22.3,Connected
Plc039,Mitsubishi,Nx1P2,V4.5,172.18.165.200,13,36,58.8,22.53,Disconnected
Plc040,Allen Bradley,Fx5U,V5.3,172.20.70.168,56,40,29.5,22.38,Connected
Plc041,Mitsubishi,Nx1P2,V4.8,192.168.26.34,60,64,50.9,22.07,Connected
Plc042,Mitsubishi,Controllogix,V1.4,10.238.148.109,40,80,32.0,23.71,Disconnected
Plc043,Siemens,S7-1500,V1.5,172.17.78.162,82,48,59.7,23.8,Disconnected
Plc044,Mitsubishi,S7-1500,V4.2,10.136.57.146,35,24,47.8,23.0,Connected
Plc045,Mitsubishi,Nx1P2,V1.3,172.20.106.98,81,25,55.9,22.63,Disconnected
Plc046,Allen Bradley,Nx1P2,V2.2,10.54.89.33,18,32,33.6,22.55,Disconnected
Plc047,Mitsubishi,S7-1500,V4.8,172.16.210.71,52,24,37.7,22.85,Connected
Plc048,Mitsubishi,Controllogix,V3.7,10.246.84.181,52,49,25.8,23.93,Connected
Plc049,Siemens,Controllogix,V3.8,172.31.122.123,54,49,50.6,23.4,Connected
Plc050,Allen Bradley,Nx1P2,V4.0,192.168.156.193,55,42,37.0,23.87,Connected
Plc051,Mitsubishi,Controllogix,V2.7,172.29.184.242,85,50,60.2,23.53,Disconnected
Plc052,Siemens,Fx5U,V1.7,192.168.74.68,65,62,62.1,22.67,Disconnected
Plc053,Siemens,Controllogix,V3.8,192.168.92.75,13,55,41.8,23.46,Disconnected
Plc054,Omron,S7-1500,V1.2,10.157.46.46,85,66,56.6,22.27,Disconnected
Plc055,Allen Bradley,Fx5U,V3.9,172.19.83.224,15,24,31.3,23.03,Connected
Plc056,Omron,Fx5U,V4.7,10.157.217.9,22,43,31.9,23.19,Disconnected
Plc057,Mitsubishi,Controllogix,V1.6,172.18.7.118,52,33,40.7,22.75,Connected
Plc058,Siemens,S7-1500,V5.9,172.29.159.80,85,39,61.3,23.95,Connected
Plc059,Mitsubishi,Controllogix,V1.6,10.145.220.194,84,64,49.0,22.3,Disconnected
Plc060,Allen Bradley,S7-1500,V1.8,172.20.45.232,60,68,58.1,22.99,Connected
Plc061,Allen Bradley,Controllogix,V3.4,192.168.162.183,68,58,30.2,23.71,Connected
Plc062,Mitsubishi,Controllogix,V4.2,172.24.210.89,57,28,26.2,23.95,Connected
Plc063,Omron,Controllogix,V3.9,10.71.6.255,92,68,28.4,22.94,Disconnected
Plc064,Omron,Controllogix,V4.6,10.236.116.94,81,42,27.9,23.11,Connected
Plc065,Mitsubishi,Controllogix,V4.5,10.169.220.220,82,86,53.4,23.62,Connected
Plc066,Mitsubishi,Nx1P2,V3.6,192.168.222.8,90,57,30.3,23.78,Connected
Plc067,Allen Bradley,Fx5U,V2.8,10.242.223.127,68,53,60.1,22.26,Disconnected
Plc068,Omron,Controllogix,V3.1,172.18.221.177,45,15,64.1,23.0,Disconnected
Plc069,Mitsubishi,Nx1P2,V3.4,192.168.206.195,83,43,45.7,22.87,Connected
Plc070,Mitsubishi,Nx1P2,V2.8,172.18.204.155,89,66,27.1,22.3,Connected
Plc071,Allen Bradley,S7-1500,V4.4,192.168.40.5,25,69,42.5,23.99,Disconnected
Plc072,Siemens,Nx1P2,V3.8,172.29.20.240,67,68,44.7,23.69,Connected
Plc073,Siemens,Fx5U,V1.3,172.31.177.8,41,33,58.4,23.5,Disconnected
Plc074,Allen Bradley,S7-1500,V5.9,172.17.183.64,28,63,61.8,22.49,Disconnected
Plc075,Siemens,Fx5U,V1.4,192.168.117.186,92,25,40.8,23.18,Connected
Plc076,Mitsubishi,Controllogix,V1.1,192.168.210.163,63,71,43.2,23.91,Connected
Plc077,Mitsubishi,S7-1500,V5.7,10.105.128.104,46,82,30.2,23.73,Disconnected
Plc078,Mitsubishi,S7-1500,V1.8,192.168.78.9,82,58,28.7,22.51,Connected
Plc079,Omron,S7-1500,V1.3,172.17.113.149,25,59,56.2,22.57,Connected
Plc080,Siemens,Fx5U,V4.6,192.168.83.97,44,87,30.3,23.33,Disconnected
Plc081,Allen Bradley,Nx1P2,V4.6,192.168.201.123,65,44,47.5,22.85,Disconnected
Plc082,Mitsubishi,Controllogix,V4.6,10.86.65.146,16,15,45.5,23.95,Connected
Plc083,Allen Bradley,Nx1P2,V5.8,192.168.181.98,15,47,43.7,22.16,Disconnected
Plc084,Mitsubishi,Controllogix,V2.4,172.20.182.124,36,76,42.1,23.14,Connected
Plc085,Siemens,S7-1500,V5.6,172.19.41.171,57,22,43.6,23.44,Disconnected
Plc086,Mitsubishi,Fx5U,V5.1,172.19.121.151,69,12,29.6,23.32,Connected
Plc087,Allen Bradley,Nx1P2,V1.1,172.20.108.47,58,48,37.6,23.45,Disconnected
Plc088,Mitsubishi,Fx5U,V2.3,192.168.24.62,28,20,54.9,23.21,Connected
Plc089,Omron,S7-1500,V1.6,172.25.154.243,19,11,31.9,22.95,Disconnected
Plc090,Omron,Fx5U,V5.9,172.20.217.135,51,60,57.2,22.18,Connected
Plc091,Siemens,Controllogix,V1.0,10.68.14.9,94,34,59.4,22.42,Connected
Plc092,Allen Bradley,Nx1P2,V5.3,192.168.109.11,16,48,55.8,22.3,Disconnected
Plc093,Siemens,S7-1500,V2.2,192.168.135.114,94,66,63.6,22.94,Disconnected
Plc094,Allen Bradley,Controllogix,V3.9,192.168.154.80,55,16,38.4,22.21,Disconnected
Plc095,Omron,Nx1P2,V5.9,172.17.230.80,75,47,26.5,22.8,Disconnected
Plc096,Allen Bradley,S7-1500,V5.0,10.86.213.231,59,83,37.6,22.13,Disconnected
Plc097,Omron,S7-1500,V4.9,10.209.203.192,87,54,42.9,22.87,Connected
Plc098,Mitsubishi,Controllogix,V4.5,172.31.156.188,61,39,45.3,23.18,Disconnected
Plc099,Omron,Controllogix,V3.6,192.168.121.178,58,56,56.8,23.6,Connected
Plc100,Allen Bradley,Fx5U,V1.7,192.168.243.163,21,32,33.0,23.21,Connected
Plc101,Omron,Nx1P2,V3.3,172.16.222.125,31,81,26.9,22.04,Disconnected
Plc102,Mitsubishi,Controllogix,V2.8,10.188.153.197,9,18,38.5,22.23,Connected
Plc103,Siemens,Controllogix,V4.4,10.110.74.62,48,55,55.8,23.54,Disconnected
Plc104,Allen Bradley,S7-1500,V1.7,192.168.216.224,63,24,64.0,23.56,Connected
Plc105,Siemens,S7-1500,V2.1,172.23.100.55,31,56,31.3,22.58,Disconnected
Plc106,Omron,S7-1500,V2.5,192.168.129.26,47,27,29.9,22.4,Disconnected
Plc107,Siemens,Controllogix,V4.5,172.23.66.26,41,74,31.9,22.53,Disconnected
Plc108,Mitsubishi,Controllogix,V2.8,192.168.55.172,58,39,30.5,22.86,Disconnected
Plc109,Omron,Fx5U,V1.7,192.168.202.157,23,11,53.7,23.03,Connected
Plc110,Siemens,Fx5U,V3.6,10.154.219.251,26,65,27.5,23.52,Connected
Plc111,Siemens,Fx5U,V4.6,10.76.28.80,92,80,59.9,23.44,Disconnected
Plc112,Mitsubishi,S7-1500,V3.8,172.19.36.254,83,28,53.0,22.89,Connected
Plc113,Omron,Fx5U,V4.3,10.158.220.163,43,20,26.5,22.67,Connected
Plc114,Mitsubishi,Controllogix,V1.8,10.88.31.87,75,49,45.9,23.51,Connected
Plc115,Siemens,S7-1500,V5.9,172.16.16.168,38,40,58.3,22.61,Disconnected
Plc116,Siemens,S7-1500,V3.4,10.37.155.81,85,74,39.2,22.1,Connected
Plc117,Omron,Fx5U,V5.0,192.168.85.239,63,53,64.3,23.61,Connected
Plc118,Mitsubishi,Fx5U,V3.9,10.16.138.89,91,27,53.6,23.04,Connected
Plc119,Siemens,Fx5U,V5.9,172.19.22.198,29,56,43.2,22.29,Disconnected
Plc120,Omron,S7-1500,V1.0,10.173.88.29,59,26,44.1,22.89,Disconnected
Plc121,Omron,Nx1P2,V3.9,172.19.187.0,68,64,64.9,23.38,Disconnected
Plc122,Omron,Controllogix,V2.8,192.168.243.59,21,72,53.4,22.26,Connected
Plc123,Allen Bradley,Nx1P2,V4.0,192.168.175.154,25,81,39.8,23.9,Disconnected
Plc124,Siemens,S7-1500,V3.9,192.168.222.127,42,15,45.9,22.24,Disconnected
Plc125,Mitsubishi,Fx5U,V3.7,192.168.34.248,8,28,30.7,23.18,Connected
Plc126,Mitsubishi,Fx5U,V2.2,192.168.1.134,67,10,29.9,22.7,Connected
Plc127,Omron,Nx1P2,V5.4,172.28.41.54,77,67,61.0,23.56,Disconnected
Plc128,Allen Bradley,Controllogix,V5.7,10.99.113.35,62,67,31.0,23.46,Connected
Plc129,Omron,Nx1P2,V2.6,10.232.161.190,48,79,26.8,23.34,Disconnected
Plc130,Mitsubishi,S7-1500,V2.0,172.27.94.23,78,90,56.8,23.41,Connected
Plc131,Siemens,Controllogix,V5.8,172.31.198.76,78,16,63.3,23.04,Disconnected
Plc132,Siemens,S7-1500,V5.2,192.168.39.152,7,45,56.5,22.49,Disconnected
Plc133,Siemens,Fx5U,V4.9,172.16.207.46,10,72,59.5,22.05,Disconnected
Plc134,Allen Bradley,Nx1P2,V1.8,10.198.95.120,45,58,35.3,22.23,Connected
Plc135,Allen Bradley,Fx5U,V2.2,172.20.57.148,37,21,31.2,23.9,Connected
Plc136,Siemens,Fx5U,V2.0,10.52.52.46,12,48,40.6,22.64,Disconnected
Plc137,Mitsubishi,Fx5U,V4.1,192.168.65.147,11,35,34.6,23.19,Connected
Plc138,Omron,Nx1P2,V1.4,10.164.3.128,12,50,43.6,22.81,Disconnected
Plc139,Siemens,Nx1P2,V2.0,10.123.240.215,39,80,63.5,23.35,Connected
Plc140,Allen Bradley,Fx5U,V5.6,192.168.211.229,62,20,58.9,23.0,Connected
Plc141,Mitsubishi,Controllogix,V2.8,192.168.59.246,59,81,43.1,22.0,Disconnected
Plc142,Mitsubishi,Controllogix,V1.0,172.20.117.98,66,44,48.9,23.68,Disconnected
Plc143,Mitsubishi,Controllogix,V5.8,10.15.232.100,41,15,31.5,23.07,Connected
Plc144,Mitsubishi,S7-1500,V4.1,10.109.155.196,22,81,65.0,23.76,Connected
Plc145,Mitsubishi,Fx5U,V3.7,10.206.109.251,39,41,51.5,22.64,Connected
Plc146,Omron,Fx5U,V1.2,192.168.94.91,87,10,49.4,22.01,Connected
Plc147,Allen Bradley,Nx1P2,V5.7,10.14.187.183,55,78,28.2,23.75,Connected
Plc148,Siemens,Nx1P2,V1.5,172.21.254.206,53,86,39.3,22.35,Connected
Plc149,Siemens,Nx1P2,V3.3,192.168.44.5,61,11,33.9,22.04,Disconnected
Plc150,Mitsubishi,Controllogix,V1.9,192.168.167.25,85,48,57.3,22.44,Disconnected
Plc151,Mitsubishi,S7-1500,V3.7,172.31.37.116,95,87,33.4,22.39,Disconnected
Plc152,Siemens,Fx5U,V5.8,10.228.103.113,68,31,47.1,23.32,Connected
Plc153,Siemens,Controllogix,V1.2,10.183.61.38,38,82,59.2,23.76,Disconnected
Plc154,Allen Bradley,S7-1500,V5.9,10.177.251.124,37,81,60.3,22.0,Disconnected
Plc155,Siemens,Fx5U,V4.6,10.30.8.85,40,25,52.2,22.93,Disconnected
Plc156,Siemens,Controllogix,V1.4,192.168.219.152,58,78,43.0,22.01,Connected
Plc157,Mitsubishi,S7-1500,V5.0,10.90.132.114,33,64,63.3,23.83,Connected
Plc158,Allen Bradley,Fx5U,V3.1,172.30.187.2,85,90,28.9,22.96,Connected
Plc159,Mitsubishi,Fx5U,V2.1,192.168.206.156,65,40,63.4,23.67,Disconnected
Plc160,Allen Bradley,S7-1500,V5.9,10.13.187.72,61,22,50.0,23.16,Connected
Plc161,Siemens,S7-1500,V4.5,10.214.121.29,93,18,56.3,22.12,Disconnected
Plc162,Siemens,Fx5U,V5.6,192.168.69.122,13,23,52.1,23.12,Disconnected
Plc163,Omron,Nx1P2,V1.9,10.167.239.9,57,39,59.6,23.57,Connected
Plc164,Omron,Nx1P2,V4.6,172.30.148.83,84,89,29.1,23.3,Connected
Plc165,Omron,Fx5U,V5.3,10.66.7.181,18,23,25.5,23.43,Connected
Plc166,Allen Bradley,Fx5U,V3.6,192.168.18.96,66,89,42.8,22.49,Connected
Plc167,Siemens,Controllogix,V3.9,192.168.203.191,60,75,63.4,23.51,Disconnected
Plc168,Allen Bradley,Controllogix,V4.4,192.168.206.238,82,53,36.6,23.94,Connected
Plc169,Siemens,Controllogix,V5.8,10.117.98.93,11,64,38.8,23.95,Connected
Plc170,Siemens,Fx5U,V2.7,10.115.26.200,93,69,49.0,22.66,Disconnected
Plc171,Mitsubishi,Nx1P2,V3.2,192.168.210.189,18,68,60.0,23.82,Disconnected
Plc172,Allen Bradley,S7-1500,V2.3,172.21.128.111,64,89,33.5,22.96,Disconnected
Plc173,Omron,Controllogix,V4.2,10.126.180.213,5,56,25.4,22.72,Connected
Plc174,Allen Bradley,Fx5U,V4.3,172.31.128.52,85,84,61.5,22.72,Connected
Plc175,Allen Bradley,Controllogix,V3.2,10.95.226.111,33,43,53.8,22.68,Connected
Plc176,Allen Bradley,Controllogix,V1.2,172.19.27.217,38,22,25.8,23.35,Disconnected
Plc177,Siemens,Fx5U,V2.4,172.23.13.89,63,40,39.8,22.74,Connected
Plc178,Omron,S7-1500,V1.2,10.198.213.158,21,34,32.7,22.76,Disconnected
Plc179,Mitsubishi,Nx1P2,V2.0,172.17.0.1,83,85,32.6,23.07,Connected
Plc180,Mitsubishi,Controllogix,V1.4,172.29.252.2,21,75,63.7,23.77,Connected
Plc181,Siemens,Nx1P2,V5.1,10.204.84.207,26,75,40.5,23.76,Disconnected
Plc182,Omron,Nx1P2,V2.5,192.168.80.20,52,77,52.8,23.43,Disconnected
Plc183,Omron,Fx5U,V5.6,192.168.109.105,86,84,51.0,22.41,Connected
Plc184,Omron,Controllogix,V4.3,192.168.37.86,44,64,60.5,23.14,Disconnected
Plc185,Mitsubishi,S7-1500,V2.1,10.248.114.164,42,66,45.8,22.46,Connected
Plc186,Omron,Fx5U,V4.7,10.172.224.152,64,65,41.4,23.61,Disconnected
Plc187,Mitsubishi,Nx1P2,V1.2,10.71.0.10,61,39,35.6,22.15,Connected
Plc188,Mitsubishi,S7-1500,V3.3,10.60.69.51,17,25,27.9,22.08,Connected
Plc189,Mitsubishi,Controllogix,V3.4,10.252.62.73,43,45,32.6,23.21,Connected
Plc190,Mitsubishi,S7-1500,V3.4,10.199.182.91,49,61,62.8,23.64,Connected
Plc191,Omron,Controllogix,V4.3,192.168.119.119,34,36,44.0,23.03,Disconnected
Plc192,Omron,Fx5U,V1.5,192.168.74.111,29,64,55.8,23.4,Connected
Plc193,Omron,Nx1P2,V5.0,172.26.241.39,52,27,48.1,22.26,Connected
Plc194,Omron,Fx5U,V3.3,172.21.232.34,58,64,52.4,22.81,Disconnected
Plc195,Mitsubishi,S7-1500,V5.0,172.20.183.187,22,29,64.1,23.99,Disconnected
Plc196,Omron,Controllogix,V4.1,10.221.207.216,73,59,32.5,22.22,Disconnected
Plc197,Mitsubishi,S7-1500,V2.1,172.18.255.207,91,80,32.1,23.65,Disconnected
Plc198,Siemens,Controllogix,V2.1,172.25.190.113,54,46,33.2,22.58,Connected
Plc199,Omron,S7-1500,V3.8,172.20.201.156,6,31,38.1,23.82,Disconnected
Plc200,Allen Bradley,S7-1500,V2.8,172.19.162.28,58,71,54.7,22.78,Connected
Plc201,Allen Bradley,Controllogix,V3.6,10.52.95.103,95,70,31.4,23.15,Disconnected
Plc202,Allen Bradley,Nx1P2,V3.3,10.185.131.104,5,28,42.8,23.65,Connected
Plc203,Mitsubishi,Nx1P2,V4.7,10.34.17.1,78,15,54.5,22.58,Disconnected
Plc204,Mitsubishi,Fx5U,V4.9,192.168.61.99,27,63,35.0,23.8,Disconnected
Plc205,Omron,Nx1P2,V2.9,10.245.252.35,17,60,52.9,22.09,Connected
Plc206,Mitsubishi,Fx5U,V1.3,172.24.55.234,68,62,64.7,23.11,Disconnected
Plc207,Siemens,S7-1500,V5.5,172.30.32.196,57,67,31.6,22.41,Connected
Plc208,Omron,S7-1500,V1.7,10.170.90.227,53,53,54.8,23.71,Disconnected
Plc209,Siemens,S7-1500,V3.1,172.22.155.152,95,27,38.1,23.5,Disconnected
Plc210,Omron,S7-1500,V1.8,192.168.250.89,89,41,53.5,22.88,Disconnected
Plc211,Mitsubishi,Controllogix,V2.0,192.168.15.106,82,22,32.1,22.25,Disconnected
Plc212,Allen Bradley,S7-1500,V1.4,192.168.24.163,24,66,39.3,22.43,Connected
Plc213,Allen Bradley,Nx1P2,V1.8,172.19.178.130,87,23,40.6,22.62,Connected
Plc214,Siemens,S7-1500,V4.3,192.168.239.204,36,57,61.4,22.4,Connected
Plc215,Omron,S7-1500,V1.5,192.168.10.195,29,18,33.8,23.76,Connected
Plc216,Allen Bradley,S7-1500,V4.8,192.168.75.53,18,51,37.9,23.25,Connected
Plc217,Omron,Nx1P2,V1.3,192.168.199.230,32,23,39.3,22.35,Disconnected
Plc218,Mitsubishi,S7-1500,V4.3,192.168.238.50,63,38,27.6,23.63,Disconnected
Plc219,Siemens,S7-1500,V2.6,192.168.44.73,43,86,45.0,23.98,Connected
Plc220,Mitsubishi,S7-1500,V5.5,192.168.232.189,85,59,52.1,23.94,Connected
Plc221,Mitsubishi,Controllogix,V3.7,172.18.197.85,13,52,25.7,23.82,Disconnected
Plc222,Omron,Controllogix,V5.9,10.55.199.0,95,11,34.3,23.23,Connected
Plc223,Mitsubishi,Controllogix,V4.3,172.17.192.69,84,20,27.4,22.75,Disconnected
Plc224,Allen Bradley,Controllogix,V4.3,172.21.142.77,87,14,34.5,23.45,Disconnected
Plc225,Mitsubishi,Controllogix,V3.5,10.245.171.59,87,15,45.8,23.96,Disconnected
Plc226,Siemens,Controllogix,V3.5,172.17.195.65,36,36,46.6,23.81,Connected
Plc227,Allen Bradley,Nx1P2,V5.5,10.110.128.180,28,66,50.2,22.13,Disconnected
Plc228,Siemens,Controllogix,V1.2,172.22.234.0,31,26,28.7,23.19,Connected
Plc229,Allen Bradley,S7-1500,V4.7,192.168.238.220,44,31,53.9,22.49,Connected
Plc230,Allen Bradley,Fx5U,V3.9,10.65.221.37,62,35,35.9,23.56,Connected
Plc231,Mitsubishi,Nx1P2,V4.2,192.168.200.136,65,66,41.9,23.22,Disconnected
Plc232,Allen Bradley,Nx1P2,V1.6,10.216.141.155,59,20,55.4,23.84,Connected
Plc233,Allen Bradley,Fx5U,V4.7,192.168.29.200,44,68,36.3,23.12,Disconnected
Plc234,Siemens,Fx5U,V2.7,10.2.95.107,30,29,61.6,22.01,Disconnected
Plc235,Omron,Nx1P2,V4.6,172.23.65.23,52,59,44.6,23.28,Connected
Plc236,Omron,S7-1500,V1.6,10.190.244.249,77,30,32.8,22.87,Disconnected
Plc237,Mitsubishi,Nx1P2,V3.0,172.22.208.114,88,59,62.1,23.47,Connected
Plc238,Omron,S7-1500,V3.0,192.168.129.72,94,28,35.5,22.91,Connected
Plc239,Mitsubishi,Controllogix,V5.9,172.27.22.169,89,30,25.5,23.54,Disconnected
Plc240,Omron,S7-1500,V5.3,10.165.150.230,59,31,58.2,22.51,Disconnected
Plc241,Omron,Fx5U,V4.1,10.220.20.54,18,83,56.1,22.69,Connected
Plc242,Mitsubishi,Controllogix,V4.4,10.189.83.43,5,31,57.7,22.0,Connected
Plc243,Omron,Nx1P2,V3.6,10.55.42.90,26,32,40.0,23.41,Connected
Plc244,Omron,Controllogix,V5.1,172.23.91.225,62,82,57.6,22.37,Connected
Plc245,Allen Bradley,Controllogix,V3.6,10.126.87.196,61,90,61.5,22.22,Connected
Plc246,Siemens,Fx5U,V1.6,10.220.215.64,20,45,27.6,22.06,Connected
Plc247,Omron,Nx1P2,V1.0,192.168.18.114,12,44,55.1,22.01,Connected
Plc248,Siemens,Controllogix,V5.0,10.200.179.148,53,87,45.8,23.92,Disconnected
Plc249,Omron,Nx1P2,V3.9,172.20.38.36,59,53,39.8,23.78,Disconnected
Plc250,Allen Bradley,Fx5U,V4.6,10.196.70.203,83,17,64.0,23.75,Connected
Plc251,Siemens,Nx1P2,V4.2,172.17.107.17,8,87,29.9,23.06,Connected
Plc252,Mitsubishi,Nx1P2,V5.7,10.107.218.146,70,62,51.4,22.01,Disconnected
Plc253,Siemens,Fx5U,V1.5,192.168.144.86,91,66,34.3,22.97,Connected
Plc254,Mitsubishi,Nx1P2,V4.1,10.36.71.233,54,47,49.3,23.42,Connected
Plc255,Allen Bradley,Nx1P2,V1.4,10.33.231.151,91,80,64.5,22.93,Disconnected
Plc256,Siemens,Nx1P2,V5.3,172.20.201.239,36,37,31.8,23.89,Connected
Plc257,Siemens,Nx1P2,V1.2,10.167.129.55,46,59,55.7,22.44,Disconnected
Plc258,Omron,S7-1500,V2.8,10.208.126.125,86,72,28.6,23.38,Connected
Plc259,Siemens,Fx5U,V4.6,10.195.132.2,88,81,63.6,22.87,Connected
Plc260,Allen Bradley,Fx5U,V1.4,192.168.37.222,16,24,28.6,23.48,Connected
Plc261,Siemens,Fx5U,V2.5,172.20.62.129,53,83,54.5,22.62,Connected
Plc262,Omron,Nx1P2,V3.5,192.168.63.128,91,26,45.8,23.2,Connected
Plc263,Siemens,Nx1P2,V1.8,172.22.200.154,63,50,30.8,23.89,Connected
Plc264,Omron,Nx1P2,V2.9,192.168.100.9,41,28,54.9,23.7,Connected
Plc265,Mitsubishi,Fx5U,V5.1,192.168.133.209,40,83,44.1,23.66,Disconnected
Plc266,Mitsubishi,Nx1P2,V1.5,10.145.146.71,24,36,58.9,23.87,Connected
Plc267,Siemens,Controllogix,V4.6,192.168.200.50,43,30,64.6,23.1,Disconnected
Plc268,Omron,Nx1P2,V3.6,192.168.216.194,55,19,46.1,22.57,Connected
Plc269,Omron,S7-1500,V2.5,192.168.78.202,79,16,59.0,23.42,Disconnected
Plc270,Allen Bradley,Controllogix,V4.7,172.26.141.252,42,28,33.4,23.61,Connected
Plc271,Siemens,Fx5U,V5.1,10.19.199.187,91,28,40.1,23.97,Connected
Plc272,Siemens,S7-1500,V3.7,192.168.206.0,27,16,29.7,23.03,Disconnected
Plc273,Omron,Controllogix,V4.3,10.250.157.136,9,25,34.6,22.98,Connected
Plc274,Omron,S7-1500,V4.6,172.30.165.129,40,90,51.1,22.73,Connected
Plc275,Siemens,S7-1500,V1.7,172.26.3.138,87,75,34.0,23.17,Disconnected
Plc276,Mitsubishi,S7-1500,V5.2,10.101.182.29,54,71,65.0,23.41,Disconnected
Plc277,Allen Bradley,S7-1500,V3.1,172.17.67.60,73,33,41.2,23.4,Disconnected
Plc278,Omron,S7-1500,V5.9,192.168.96.15,73,25,55.1,22.41,Connected
Plc279,Allen Bradley,Controllogix,V1.8,10.255.172.87,62,50,29.9,22.26,Connected
Plc280,Allen Bradley,S7-1500,V5.4,10.246.242.232,9,20,64.2,23.01,Disconnected
Plc281,Allen Bradley,Nx1P2,V1.3,10.56.112.202,43,15,62.8,23.04,Disconnected
Plc282,Omron,Controllogix,V5.7,172.17.151.244,93,50,45.9,23.97,Disconnected
Plc283,Allen Bradley,S7-1500,V1.3,10.156.144.122,9,34,30.7,23.71,Connected
Plc284,Allen Bradley,Controllogix,V5.5,192.168.218.21,40,26,54.2,22.84,Disconnected
Plc285,Mitsubishi,Nx1P2,V2.6,172.21.59.176,63,20,62.8,23.35,Connected
Plc286,Allen Bradley,S7-1500,V3.3,10.25.187.159,52,82,51.3,23.64,Connected
Plc287,Omron,Controllogix,V3.6,192.168.54.36,53,13,63.6,22.49,Disconnected
Plc288,Siemens,S7-1500,V5.6,10.186.107.54,13,52,50.6,22.73,Disconnected
Plc289,Mitsubishi,Controllogix,V2.4,10.185.159.255,6,22,40.1,23.94,Disconnected
Plc290,Siemens,S7-1500,V2.8,10.193.9.247,44,85,57.9,22.98,Disconnected
Plc291,Mitsubishi,Fx5U,V5.1,172.21.15.216,11,31,37.7,23.5,Connected
Plc292,Mitsubishi,Nx1P2,V4.9,192.168.14.168,21,43,25.4,23.03,Connected
