System_ID,System_Name,Plant,Production_Line,Automation_Type,PLC,SCADA,DCS,Robot_Model,Status,Efficiency,Cycle_Time,Energy_Consumption,Downtime_Minutes,Alarm_Count,Operator_ID,Maintenance_Status,Project_ID,Compliance_Status,Created_Date
Sys0045,Him Automation,Dallas Plant,Packaging Line,Fully Automated,Plc045,Wincc,Abb 800Xa,Abb Irb2600,Running,89.91,17.16,1447.12,58,6,Op045,Scheduled,Prj045,Failed,2025-07-15
Sys0046,Over Automation,Houston Plant,Line C,Fully Automated,Plc046,Wincc,Abb 800Xa,Kuka Kr10,Running,88.89,37.87,1651.59,192,12,Op046,In Progress,Prj046,Passed,2024-08-29
Sys0047,Ten Automation,Dallas Plant,Assembly Line,Robotic Cell,Plc047,Ignition,Abb 800Xa,Kuka Kr10,Running,94.11,26.98,582.14,272,13,Op047,In Progress,Prj047,Pending,2024-10-22
Sys0048,Late Automation,Dallas Plant,Assembly Line,Robotic Cell,Plc048,Factorytalk,Abb 800Xa,Yaskawa Gp25,Stopped,77.53,38.82,1771.17,235,4,Op048,Scheduled,Prj048,Passed,2025-03-28
Sys0049,Office Automation,Phoenix Plant,Packaging Line,Semi Automated,Plc049,Wonderware,Honeywell Experion,Yaskawa Gp25,Maintenance,82.74,17.36,2369.24,142,14,Op049,Completed,Prj049,Pending,2026-05-14
Sys0050,Doctor Automation,Phoenix Plant,Assembly Line,Robotic Cell,Plc050,Wonderware,Honeywell Experion,Fanuc M-20Id,Stopped,95.42,15.46,924.24,132,10,Op050,Scheduled,Prj050,Failed,2025-01-14
Sys0051,Grow Automation,Houston Plant,Assembly Line,Fully Automated,Plc051,Ignition,Abb 800Xa,Abb Irb2600,Stopped,86.73,32.74,1881.22,251,14,Op051,Completed,Prj051,Passed,2024-11-16
Sys0052,When Automation,Houston Plant,Line B,Semi Automated,Plc052,Ignition,Honeywell Experion,Kuka Kr10,Stopped,88.28,20.31,2493.26,281,10,Op052,Scheduled,Prj052,Failed,2026-03-06
Sys0053,Beyond Automation,Chicago Plant,Line C,Semi Automated,Plc053,Factorytalk,Abb 800Xa,Fanuc M-20Id,Idle,82.57,32.29,2401.76,94,6,Op053,Completed,Prj053,Failed,2025-06-23
Sys0054,Despite Automation,Chicago Plant,Line C,Robotic Cell,Plc054,Factorytalk,Abb 800Xa,Abb Irb2600,Maintenance,80.46,15.38,528.3,273,4,Op054,Scheduled,Prj054,Passed,2025-12-27
Sys0055,Food Automation,Dallas Plant,Assembly Line,Semi Automated,Plc055,Ignition,Emerson Deltav,Yaskawa Gp25,Running,95.95,27.22,1438.79,225,10,Op055,Completed,Prj055,Passed,2024-07-25
Sys0056,Treatment Automation,Houston Plant,Line D,Fully Automated,Plc056,Wincc,Honeywell Experion,Yaskawa Gp25,Running,88.85,30.59,803.45,288,9,Op056,Completed,Prj056,Passed,2025-03-17
Sys0057,Per Automation,Dallas Plant,Assembly Line,Semi Automated,Plc057,Ignition,Emerson Deltav,Yaskawa Gp25,Stopped,96.8,18.92,1677.05,219,9,Op057,In Progress,Prj057,Failed,2026-07-11
Sys0058,Follow Automation,Dallas Plant,Assembly Line,Robotic Cell,Plc058,Wincc,Abb 800Xa,Abb Irb2600,Maintenance,90.85,14.71,847.63,38,5,Op058,Completed,Prj058,Pending,2026-05-01
Sys0059,Despite Automation,Chicago Plant,Packaging Line,Robotic Cell,Plc059,Wonderware,Honeywell Experion,Fanuc M-20Id,Idle,81.91,18.48,2219.21,36,7,Op059,Scheduled,Prj059,Failed,2025-04-27
Sys0060,Once Automation,Phoenix Plant,Packaging Line,Fully Automated,Plc060,Wonderware,Abb 800Xa,Abb Irb2600,Idle,96.8,34.8,642.82,84,9,Op060,In Progress,Prj060,Failed,2025-03-22
Sys0061,Know Automation,Phoenix Plant,Line C,Semi Automated,Plc061,Wincc,Honeywell Experion,Kuka Kr10,Stopped,97.62,25.01,1487.59,41,1,Op061,Scheduled,Prj061,Failed,2024-12-11
Sys0062,Likely Automation,Houston Plant,Assembly Line,Semi Automated,Plc062,Wincc,Abb 800Xa,Abb Irb2600,Running,98.99,30.17,1039.02,20,5,Op062,Scheduled,Prj062,Failed,2025-10-13
Sys0063,Machine Automation,Chicago Plant,Line C,Fully Automated,Plc063,Wonderware,Emerson Deltav,Yaskawa Gp25,Running,86.28,22.25,1142.12,53,5,Op063,Scheduled,Prj063,Pending,2026-06-15
Sys0064,Thus Automation,Chicago Plant,Line C,Robotic Cell,Plc064,Wonderware,Emerson Deltav,Fanuc M-20Id,Stopped,77.11,17.57,731.84,206,0,Op064,In Progress,Prj064,Failed,2026-02-16
Sys0065,Within Automation,Chicago Plant,Line D,Fully Automated,Plc065,Ignition,Emerson Deltav,Kuka Kr10,Stopped,90.01,32.8,907.12,281,4,Op065,Scheduled,Prj065,Pending,2026-02-25
Sys0066,Step Automation,Chicago Plant,Line A,Fully Automated,Plc066,Ignition,Emerson Deltav,Abb Irb2600,Maintenance,88.22,26.57,686.42,58,14,Op066,Completed,Prj066,Failed,2026-07-06
Sys0067,When Automation,Austin Plant,Line D,Robotic Cell,Plc067,Factorytalk,Emerson Deltav,Kuka Kr10,Stopped,95.03,39.41,987.46,282,4,Op067,Scheduled,Prj067,Passed,2024-09-14
Sys0068,They Automation,Phoenix Plant,Assembly Line,Robotic Cell,Plc068,Ignition,Abb 800Xa,Kuka Kr10,Stopped,83.16,33.63,1034.35,1,9,Op068,In Progress,Prj068,Pending,2026-03-26
Sys0069,Open Automation,Phoenix Plant,Assembly Line,Robotic Cell,Plc069,Wonderware,Abb 800Xa,Yaskawa Gp25,Stopped,83.28,26.56,1586.86,233,10,Op069,Completed,Prj069,Failed,2026-06-09
Sys0070,Week Automation,Austin Plant,Assembly Line,Semi Automated,Plc070,Ignition,Honeywell Experion,Fanuc M-20Id,Maintenance,92.87,31.16,2122.82,197,4,Op070,Scheduled,Prj070,Passed,2025-08-26
Sys0071,Record Automation,Austin Plant,Assembly Line,Robotic Cell,Plc071,Factorytalk,Abb 800Xa,Yaskawa Gp25,Running,87.62,23.71,1944.89,209,4,Op071,Completed,Prj071,Pending,2026-01-09
Sys0072,Use Automation,Houston Plant,Line C,Robotic Cell,Plc072,Wonderware,Emerson Deltav,Fanuc M-20Id,Maintenance,95.46,35.78,1260.02,162,15,Op072,In Progress,Prj072,Passed,2025-02-17
Sys0073,Ok Automation,Phoenix Plant,Line A,Fully Automated,Plc073,Factorytalk,Abb 800Xa,Fanuc M-20Id,Stopped,98.48,32.81,1907.78,51,14,Op073,Completed,Prj073,Failed,2025-06-02
Sys0074,Section Automation,Houston Plant,Line A,Fully Automated,Plc074,Factorytalk,Abb 800Xa,Kuka Kr10,Maintenance,84.0,14.37,1562.33,289,5,Op074,Completed,Prj074,Passed,2025-08-15
Sys0075,Management Automation,Dallas Plant,Assembly Line,Semi Automated,Plc075,Ignition,Honeywell Experion,Abb Irb2600,Idle,86.07,17.62,1010.65,4,14,Op075,Scheduled,Prj075,Failed,2024-11-03
Sys0076,Mrs Automation,Phoenix Plant,Line B,Fully Automated,Plc076,Wonderware,Honeywell Experion,Kuka Kr10,Stopped,91.57,23.71,1104.24,196,15,Op076,Completed,Prj076,Passed,2026-01-05
Sys0077,Consumer Automation,Chicago Plant,Assembly Line,Semi Automated,Plc077,Factorytalk,Emerson Deltav,Kuka Kr10,Running,98.47,29.75,1048.96,289,1,Op077,In Progress,Prj077,Failed,2025-07-08
Sys0078,Daughter Automation,Chicago Plant,Line C,Fully Automated,Plc078,Factorytalk,Abb 800Xa,Abb Irb2600,Maintenance,91.27,31.63,1818.36,70,3,Op078,In Progress,Prj078,Failed,2025-03-15
Sys0079,Well Automation,Dallas Plant,Line C,Semi Automated,Plc079,Wincc,Emerson Deltav,Kuka Kr10,Idle,77.16,18.85,1994.96,89,6,Op079,Completed,Prj079,Failed,2026-04-15
Sys0080,Blue Automation,Houston Plant,Assembly Line,Robotic Cell,Plc080,Factorytalk,Abb 800Xa,Kuka Kr10,Stopped,98.22,18.85,2240.79,58,14,Op080,Completed,Prj080,Passed,2026-06-09
Sys0081,Before Automation,Austin Plant,Packaging Line,Robotic Cell,Plc081,Wonderware,Emerson Deltav,Kuka Kr10,Running,93.98,10.42,1573.14,232,11,Op081,In Progress,Prj081,Failed,2026-02-15
Sys0082,His Automation,Houston Plant,Assembly Line,Semi Automated,Plc082,Factorytalk,Abb 800Xa,Abb Irb2600,Stopped,75.6,36.53,1622.81,113,2,Op082,In Progress,Prj082,Pending,2026-02-19
Sys0083,Receive Automation,Houston Plant,Packaging Line,Semi Automated,Plc083,Wincc,Abb 800Xa,Fanuc M-20Id,Running,82.3,24.78,694.38,275,4,Op083,Scheduled,Prj083,Pending,2024-10-11
Sys0084,Focus Automation,Houston Plant,Packaging Line,Robotic Cell,Plc084,Wonderware,Emerson Deltav,Abb Irb2600,Stopped,90.72,35.01,1731.3,143,1,Op084,In Progress,Prj084,Pending,2025-11-04
Sys0085,Ball Automation,Austin Plant,Line D,Semi Automated,Plc085,Ignition,Honeywell Experion,Fanuc M-20Id,Maintenance,88.07,39.34,1217.35,203,8,Op085,Completed,Prj085,Passed,2025-11-21
Sys0086,Coach Automation,Chicago Plant,Line A,Robotic Cell,Plc086,Ignition,Emerson Deltav,Fanuc M-20Id,Running,93.88,17.31,751.85,289,6,Op086,Completed,Prj086,Failed,2025-04-22
Sys0087,Support Automation,Austin Plant,Assembly Line,Fully Automated,Plc087,Ignition,Honeywell Experion,Abb Irb2600,Running,81.65,39.52,2475.05,276,8,Op087,Completed,Prj087,Passed,2025-09-18
Sys0088,Politics Automation,Dallas Plant,Line B,Fully Automated,Plc088,Factorytalk,Abb 800Xa,Kuka Kr10,Running,79.18,11.57,1983.44,269,3,Op088,In Progress,Prj088,Passed,2025-02-12
Sys0089,First Automation,Chicago Plant,Line D,Semi Automated,Plc089,Wincc,Honeywell Experion,Abb Irb2600,Running,92.45,37.26,1817.81,154,14,Op089,In Progress,Prj089,Passed,2025-01-18
Sys0090,Security Automation,Dallas Plant,Line D,Semi Automated,Plc090,Wonderware,Emerson Deltav,Fanuc M-20Id,Stopped,92.1,23.31,2298.53,164,4,Op090,Completed,Prj090,Passed,2026-04-01
Sys0091,Agency Automation,Houston Plant,Assembly Line,Robotic Cell,Plc091,Factorytalk,Honeywell Experion,Kuka Kr10,Stopped,87.13,22.91,2086.19,58,6,Op091,Scheduled,Prj091,Pending,2025-05-26
Sys0092,Wrong Automation,Austin Plant,Line D,Semi Automated,Plc092,Wonderware,Honeywell Experion,Yaskawa Gp25,Running,82.5,19.38,1009.78,78,15,Op092,Completed,Prj092,Passed,2026-05-12
Sys0093,Check Automation,Dallas Plant,Line A,Semi Automated,Plc093,Wincc,Emerson Deltav,Kuka Kr10,Idle,88.35,27.59,1623.17,168,3,Op093,Scheduled,Prj093,Pending,2025-05-25
Sys0094,Cup Automation,Chicago Plant,Packaging Line,Fully Automated,Plc094,Factorytalk,Emerson Deltav,Kuka Kr10,Maintenance,77.49,25.22,809.46,246,7,Op094,Completed,Prj094,Pending,2024-12-12
Sys0095,Top Automation,Phoenix Plant,Line C,Fully Automated,Plc095,Factorytalk,Emerson Deltav,Abb Irb2600,Stopped,95.28,39.24,2136.85,285,0,Op095,In Progress,Prj095,Failed,2024-10-09
Sys0096,Point Automation,Houston Plant,Line A,Fully Automated,Plc096,Factorytalk,Emerson Deltav,Kuka Kr10,Maintenance,83.42,15.44,786.5,205,2,Op096,Completed,Prj096,Failed,2026-04-13
Sys0097,Food Automation,Dallas Plant,Line A,Robotic Cell,Plc097,Ignition,Honeywell Experion,Yaskawa Gp25,Stopped,83.18,21.1,1943.19,290,2,Op097,Completed,Prj097,Passed,2025-09-11
Sys0098,Able Automation,Austin Plant,Assembly Line,Fully Automated,Plc098,Wincc,Honeywell Experion,Yaskawa Gp25,Stopped,86.66,23.26,1046.33,262,3,Op098,Scheduled,Prj098,Pending,2024-12-26
Sys0099,Power Automation,Dallas Plant,Line C,Robotic Cell,Plc099,Wonderware,Emerson Deltav,Kuka Kr10,Running,80.29,39.53,609.56,104,9,Op099,Completed,Prj099,Passed,2025-06-15
Sys0100,Cold Automation,Houston Plant,Line C,Semi Automated,Plc100,Wincc,Abb 800Xa,Yaskawa Gp25,Stopped,79.22,21.41,1907.34,256,11,Op100,Completed,Prj100,Pending,2025-01-15
Sys0101,Rather Automation,Dallas Plant,Line D,Fully Automated,Plc101,Wonderware,Abb 800Xa,Kuka Kr10,Stopped,88.76,31.28,1335.39,58,12,Op101,Completed,Prj101,Pending,2025-11-26
Sys0102,Require Automation,Austin Plant,Assembly Line,Semi Automated,Plc102,Factorytalk,Abb 800Xa,Yaskawa Gp25,Running,80.84,27.67,1547.93,202,9,Op102,In Progress,Prj102,Pending,2025-01-12
Sys0103,Computer Automation,Austin Plant,Line C,Fully Automated,Plc103,Wincc,Emerson Deltav,Fanuc M-20Id,Idle,96.74,20.48,1954.76,75,7,Op103,Completed,Prj103,Passed,2025-02-26
Sys0104,Huge Automation,Houston Plant,Line B,Fully Automated,Plc104,Ignition,Emerson Deltav,Fanuc M-20Id,Idle,97.83,28.84,1427.91,288,14,Op104,In Progress,Prj104,Failed,2025-11-03
Sys0105,Contain Automation,Phoenix Plant,Line C,Robotic Cell,Plc105,Factorytalk,Abb 800Xa,Yaskawa Gp25,Running,86.25,28.94,2092.66,28,11,Op105,In Progress,Prj105,Passed,2025-10-13
Sys0106,Remain Automation,Houston Plant,Line D,Semi Automated,Plc106,Wincc,Abb 800Xa,Kuka Kr10,Maintenance,76.84,35.93,2210.59,259,12,Op106,Scheduled,Prj106,Failed,2025-11-27
Sys0107,Attention Automation,Phoenix Plant,Packaging Line,Fully Automated,Plc107,Wonderware,Emerson Deltav,Abb Irb2600,Maintenance,89.52,25.04,2415.44,230,3,Op107,Scheduled,Prj107,Failed,2024-12-27
Sys0108,Each Automation,Dallas Plant,Assembly Line,Robotic Cell,Plc108,Ignition,Abb 800Xa,Abb Irb2600,Stopped,98.78,25.72,1719.61,186,11,Op108,Scheduled,Prj108,Pending,2026-03-08
Sys0109,Radio Automation,Chicago Plant,Line C,Robotic Cell,Plc109,Wincc,Emerson Deltav,Kuka Kr10,Running,82.91,26.74,1273.13,129,4,Op109,Scheduled,Prj109,Passed,2025-08-26
Sys0110,Research Automation,Phoenix Plant,Packaging Line,Fully Automated,Plc110,Factorytalk,Honeywell Experion,Yaskawa Gp25,Idle,89.28,38.14,1119.16,192,10,Op110,Completed,Prj110,Failed,2025-01-07
Sys0111,Able Automation,Phoenix Plant,Line A,Robotic Cell,Plc111,Wonderware,Emerson Deltav,Kuka Kr10,Running,83.7,15.41,928.39,248,6,Op111,Completed,Prj111,Passed,2026-06-05
Sys0112,Today Automation,Austin Plant,Line A,Semi Automated,Plc112,Wincc,Emerson Deltav,Fanuc M-20Id,Maintenance,96.03,28.54,1694.49,78,5,Op112,Completed,Prj112,Failed,2025-05-03
Sys0113,Story Automation,Phoenix Plant,Line B,Robotic Cell,Plc113,Wonderware,Abb 800Xa,Yaskawa Gp25,Maintenance,91.23,17.13,1388.4,145,14,Op113,Completed,Prj113,Failed,2026-04-20
Sys0114,Interview Automation,Austin Plant,Line C,Semi Automated,Plc114,Ignition,Honeywell Experion,Yaskawa Gp25,Stopped,93.47,33.34,1505.81,214,5,Op114,Completed,Prj114,Failed,2024-12-14
Sys0115,Number Automation,Austin Plant,Line C,Fully Automated,Plc115,Wonderware,Honeywell Experion,Fanuc M-20Id,Running,81.84,32.89,1045.58,262,4,Op115,Scheduled,Prj115,Passed,2025-06-01
Sys0116,Quite Automation,Austin Plant,Line D,Semi Automated,Plc116,Wincc,Honeywell Experion,Fanuc M-20Id,Stopped,87.05,17.07,2489.05,191,7,Op116,Completed,Prj116,Pending,2024-12-18
Sys0117,Continue Automation,Dallas Plant,Packaging Line,Robotic Cell,Plc117,Factorytalk,Abb 800Xa,Abb Irb2600,Running,81.89,34.89,1892.14,71,15,Op117,Scheduled,Prj117,Failed,2025-04-07
Sys0118,Put Automation,Dallas Plant,Line A,Fully Automated,Plc118,Factorytalk,Abb 800Xa,Abb Irb2600,Stopped,77.67,18.64,1102.3,24,7,Op118,Scheduled,Prj118,Failed,2025-02-27
Sys0119,Then Automation,Phoenix Plant,Line D,Fully Automated,Plc119,Wincc,Honeywell Experion,Fanuc M-20Id,Idle,92.25,18.74,503.13,180,7,Op119,In Progress,Prj119,Pending,2025-07-27
Sys0120,Three Automation,Austin Plant,Packaging Line,Robotic Cell,Plc120,Wincc,Emerson Deltav,Kuka Kr10,Running,97.88,26.32,2072.82,259,0,Op120,Scheduled,Prj120,Pending,2025-01-07
Sys0121,Class Automation,Dallas Plant,Packaging Line,Semi Automated,Plc121,Factorytalk,Honeywell Experion,Fanuc M-20Id,Maintenance,93.92,20.34,1965.88,53,10,Op121,Completed,Prj121,Passed,2026-03-28
Sys0122,Store Automation,Houston Plant,Assembly Line,Semi Automated,Plc122,Ignition,Emerson Deltav,Yaskawa Gp25,Stopped,90.16,34.34,626.2,234,1,Op122,Scheduled,Prj122,Passed,2025-07-12
Sys0123,Tough Automation,Dallas Plant,Line B,Fully Automated,Plc123,Factorytalk,Honeywell Experion,Yaskawa Gp25,Stopped,81.08,32.6,882.21,182,1,Op123,In Progress,Prj123,Pending,2025-01-18
Sys0124,Fine Automation,Houston Plant,Line A,Semi Automated,Plc124,Wonderware,Honeywell Experion,Yaskawa Gp25,Stopped,83.14,15.6,1884.14,188,8,Op124,Completed,Prj124,Failed,2025-08-10
Sys0125,Information Automation,Chicago Plant,Line A,Semi Automated,Plc125,Ignition,Emerson Deltav,Kuka Kr10,Maintenance,77.46,19.84,1091.28,228,13,Op125,Completed,Prj125,Failed,2024-11-06
Sys0126,Position Automation,Chicago Plant,Line C,Semi Automated,Plc126,Wincc,Emerson Deltav,Kuka Kr10,Stopped,81.59,39.4,2395.81,38,12,Op126,Scheduled,Prj126,Failed,2025-07-17
