Sensor_ID,System_ID,Sensor_Type,Location,Reading,Unit,Status,Calibration_Date
Sen0043,Sys0130,Proximity,Dallas Plant,89.02,°C,Inactive,2026-02-08
Sen0044,Sys0321,Humidity,Austin Plant,54.75,L/Min,Inactive,2026-07-02
Sen0045,Sys0451,Pressure,Phoenix Plant,19.39,Psi,Active,2026-06-04
Sen0046,Sys0205,Humidity,Austin Plant,15.49,°C,Active,2026-06-30
Sen0047,Sys0357,Flow,Phoenix Plant,67.79,Psi,Inactive,2026-05-11
Sen0048,Sys0209,Humidity,Austin Plant,2.07,L/Min,Active,2025-09-29
Sen0049,Sys0189,Proximity,Chicago Plant,21.39,%,Inactive,2026-04-28
Sen0050,Sys0043,Flow,Dallas Plant,82.2,%,Inactive,2025-08-04
Sen0051,Sys0081,Humidity,Houston Plant,75.77,°C,Active,2025-07-17
Sen0052,Sys0207,Pressure,Houston Plant,33.99,Psi,Inactive,2026-04-16
Sen0053,Sys0099,Temperature,Dallas Plant,46.98,%,Inactive,2026-06-01
Sen0054,Sys0406,Humidity,Houston Plant,51.3,°C,Active,2025-09-26
Sen0055,Sys0375,Temperature,Houston Plant,24.14,Psi,Inactive,2025-09-14
Sen0056,Sys0170,Pressure,Chicago Plant,61.01,°C,Inactive,2025-11-21
Sen0057,Sys0020,Humidity,Dallas Plant,99.31,%,Active,2025-09-19
Sen0058,Sys0105,Pressure,Austin Plant,96.97,%,Active,2026-01-08
Sen0059,Sys0425,Proximity,Houston Plant,58.71,°C,Inactive,2025-09-20
Sen0060,Sys0373,Pressure,Austin Plant,80.59,°C,Active,2026-01-25
Sen0061,Sys0365,Proximity,Chicago Plant,52.62,°C,Active,2026-02-23
Sen0062,Sys0311,Pressure,Austin Plant,59.33,Psi,Inactive,2025-09-18
Sen0063,Sys0111,Pressure,Chicago Plant,64.4,Psi,Active,2025-07-17
Sen0064,Sys0452,Flow,Dallas Plant,72.34,°C,Inactive,2025-11-25
Sen0065,Sys0389,Humidity,Chicago Plant,9.53,L/Min,Active,2026-04-20
Sen0066,Sys0006,Pressure,Austin Plant,82.03,°C,Active,2025-07-16
Sen0067,Sys0172,Flow,Dallas Plant,54.97,°C,Active,2026-06-26
Sen0068,Sys0353,Flow,Houston Plant,47.23,L/Min,Inactive,2025-11-20
Sen0069,Sys0374,Humidity,Phoenix Plant,11.97,L/Min,Active,2025-08-14
Sen0070,Sys0452,Proximity,Austin Plant,39.18,%,Active,2026-06-13
Sen0071,Sys0454,Temperature,Dallas Plant,31.12,°C,Active,2025-09-06
Sen0072,Sys0446,Proximity,Phoenix Plant,28.68,%,Active,2026-06-03
Sen0073,Sys0119,Flow,Phoenix Plant,47.73,°C,Active,2025-07-20
Sen0074,Sys0388,Flow,Austin Plant,17.06,Psi,Active,2026-05-09
Sen0075,Sys0311,Proximity,Phoenix Plant,14.79,Psi,Inactive,2026-03-07
Sen0076,Sys0141,Humidity,Houston Plant,41.83,°C,Inactive,2026-06-27
Sen0077,Sys0479,Temperature,Houston Plant,13.01,L/Min,Active,2025-11-26
Sen0078,Sys0425,Humidity,Dallas Plant,77.8,%,Active,2026-06-30
Sen0079,Sys0253,Flow,Chicago Plant,43.54,°C,Active,2025-08-10
Sen0080,Sys0060,Pressure,Chicago Plant,78.03,°C,Active,2025-12-15
Sen0081,Sys0484,Pressure,Dallas Plant,52.03,Psi,Inactive,2025-12-06
Sen0082,Sys0200,Flow,Phoenix Plant,8.84,°C,Inactive,2025-10-06
Sen0083,Sys0079,Flow,Dallas Plant,32.04,Psi,Active,2026-05-22
Sen0084,Sys0488,Pressure,Austin Plant,25.4,%,Inactive,2025-12-19
Sen0085,Sys0027,Flow,Phoenix Plant,55.03,L/Min,Active,2025-12-18
Sen0086,Sys0249,Flow,Chicago Plant,76.31,Psi,Active,2026-04-25
Sen0087,Sys0269,Humidity,Houston Plant,74.97,°C,Active,2025-10-31
Sen0088,Sys0124,Humidity,Phoenix Plant,0.5,L/Min,Active,2025-09-29
Sen0089,Sys0176,Humidity,Austin Plant,47.69,Psi,Inactive,2026-07-04
Sen0090,Sys0024,Pressure,Austin Plant,64.51,°C,Active,2025-12-06
Sen0091,Sys0053,Humidity,Chicago Plant,69.11,°C,Active,2026-04-29
Sen0092,Sys0260,Humidity,Phoenix Plant,58.08,°C,Inactive,2025-10-12
Sen0093,Sys0147,Proximity,Austin Plant,93.5,L/Min,Inactive,2026-01-17
Sen0094,Sys0299,Pressure,Chicago Plant,75.62,L/Min,Inactive,2026-06-02
Sen0095,Sys0446,Humidity,Phoenix Plant,64.17,L/Min,Active,2026-05-18
Sen0096,Sys0456,Proximity,Houston Plant,14.52,%,Inactive,2025-08-05
Sen0097,Sys0327,Proximity,Austin Plant,14.69,°C,Inactive,2025-08-27
Sen0098,Sys0011,Proximity,Houston Plant,56.95,Psi,Active,2026-02-27
Sen0099,Sys0456,Pressure,Dallas Plant,18.5,Psi,Inactive,2025-07-31
Sen0100,Sys0400,Pressure,Chicago Plant,40.42,°C,Inactive,2025-07-31
Sen0101,Sys0319,Temperature,Phoenix Plant,47.3,L/Min,Active,2025-07-23
Sen0102,Sys0235,Flow,Dallas Plant,64.19,Psi,Active,2026-01-10
Sen0103,Sys0159,Proximity,Austin Plant,52.0,Psi,Inactive,2025-07-17
Sen0104,Sys0344,Proximity,Houston Plant,65.02,Psi,Active,2025-08-29
Sen0105,Sys0429,Humidity,Dallas Plant,89.73,L/Min,Active,2026-07-06
Sen0106,Sys0073,Proximity,Phoenix Plant,43.41,°C,Active,2026-05-17
Sen0107,Sys0208,Proximity,Houston Plant,54.45,Psi,Inactive,2026-06-02
Sen0108,Sys0339,Humidity,Dallas Plant,78.36,L/Min,Inactive,2025-09-19
Sen0109,Sys0177,Flow,Dallas Plant,92.35,Psi,Active,2026-02-09
Sen0110,Sys0288,Flow,Chicago Plant,9.83,Psi,Active,2026-03-15
Sen0111,Sys0414,Proximity,Houston Plant,57.15,°C,Inactive,2025-11-24
Sen0112,Sys0432,Pressure,Houston Plant,39.87,Psi,Active,2025-11-15
Sen0113,Sys0301,Humidity,Phoenix Plant,27.19,°C,Active,2026-05-30
Sen0114,Sys0427,Pressure,Chicago Plant,75.23,°C,Active,2025-09-26
Sen0115,Sys0342,Proximity,Chicago Plant,60.04,L/Min,Active,2026-02-03
Sen0116,Sys0029,Temperature,Chicago Plant,50.39,°C,Active,2026-02-28
Sen0117,Sys0343,Pressure,Phoenix Plant,33.48,°C,Active,2026-04-27
Sen0118,Sys0485,Temperature,Chicago Plant,52.78,%,Active,2026-06-21
Sen0119,Sys0151,Proximity,Dallas Plant,85.78,%,Active,2025-12-25
Sen0120,Sys0233,Flow,Austin Plant,86.29,Psi,Inactive,2026-03-24
Sen0121,Sys0329,Flow,Austin Plant,5.03,%,Active,2025-10-30
Sen0122,Sys0327,Humidity,Houston Plant,1.68,L/Min,Inactive,2025-10-19
Sen0123,Sys0227,Proximity,Houston Plant,39.07,°C,Inactive,2025-08-15
Sen0124,Sys0454,Pressure,Chicago Plant,76.3,L/Min,Active,2026-07-07
Sen0125,Sys0306,Pressure,Houston Plant,1.95,°C,Inactive,2026-04-22
Sen0126,Sys0372,Flow,Chicago Plant,92.31,Psi,Active,2026-04-12
Sen0127,Sys0394,Humidity,Dallas Plant,39.73,%,Active,2025-07-23
Sen0128,Sys0497,Pressure,Austin Plant,20.27,Psi,Active,2026-06-20
Sen0129,Sys0480,Pressure,Houston Plant,35.79,Psi,Active,2026-03-10
Sen0130,Sys0177,Flow,Dallas Plant,46.72,°C,Inactive,2026-02-28
Sen0131,Sys0006,Pressure,Austin Plant,67.8,°C,Active,2025-12-20
Sen0132,Sys0001,Flow,Dallas Plant,21.89,L/Min,Active,2026-04-17
Sen0133,Sys0423,Proximity,Houston Plant,13.24,L/Min,Inactive,2025-11-10
Sen0134,Sys0193,Temperature,Austin Plant,21.83,°C,Inactive,2025-12-03
Sen0135,Sys0158,Humidity,Phoenix Plant,4.92,Psi,Inactive,2026-07-13
Sen0136,Sys0025,Pressure,Chicago Plant,29.4,°C,Active,2026-07-07
Sen0137,Sys0221,Humidity,Houston Plant,99.49,Psi,Inactive,2026-03-25
Sen0138,Sys0105,Humidity,Dallas Plant,39.84,°C,Active,2025-12-07
Sen0139,Sys0464,Flow,Chicago Plant,66.73,Psi,Active,2026-03-01
Sen0140,Sys0039,Temperature,Austin Plant,63.91,L/Min,Active,2026-05-24
Sen0141,Sys0053,Pressure,Houston Plant,51.94,L/Min,Active,2025-08-26
Sen0142,Sys0294,Proximity,Houston Plant,73.45,L/Min,Inactive,2025-11-23
Sen0143,Sys0120,Flow,Austin Plant,87.47,Psi,Active,2026-03-20
Sen0144,Sys0435,Proximity,Austin Plant,54.35,%,Inactive,2025-12-03
Sen0145,Sys0015,Humidity,Austin Plant,57.24,L/Min,Active,2025-11-30
Sen0146,Sys0253,Proximity,Phoenix Plant,71.92,L/Min,Inactive,2025-12-07
Sen0147,Sys0349,Temperature,Chicago Plant,47.83,°C,Inactive,2026-02-01
Sen0148,Sys0441,Flow,Austin Plant,90.03,Psi,Active,2026-07-08
Sen0149,Sys0187,Temperature,Chicago Plant,54.06,°C,Active,2025-10-28
Sen0150,Sys0093,Pressure,Houston Plant,32.79,Psi,Active,2025-12-19
Sen0151,Sys0202,Humidity,Dallas Plant,77.73,L/Min,Active,2025-12-03
Sen0152,Sys0352,Humidity,Chicago Plant,56.94,°C,Active,2026-04-21
Sen0153,Sys0038,Proximity,Austin Plant,32.74,L/Min,Inactive,2025-11-02
Sen0154,Sys0387,Proximity,Dallas Plant,55.75,%,Active,2025-09-19
Sen0155,Sys0221,Proximity,Phoenix Plant,54.19,°C,Active,2025-07-18
Sen0156,Sys0065,Temperature,Houston Plant,79.84,Psi,Inactive,2026-07-09
Sen0157,Sys0500,Proximity,Houston Plant,50.74,%,Active,2025-09-28
Sen0158,Sys0153,Proximity,Houston Plant,84.61,°C,Active,2025-11-21
Sen0159,Sys0146,Humidity,Chicago Plant,62.61,L/Min,Active,2025-12-26
Sen0160,Sys0356,Flow,Dallas Plant,35.69,Psi,Active,2025-12-15
Sen0161,Sys0459,Proximity,Chicago Plant,44.76,L/Min,Active,2025-10-31
Sen0162,Sys0277,Pressure,Dallas Plant,93.39,L/Min,Inactive,2025-10-29
Sen0163,Sys0195,Temperature,Phoenix Plant,6.35,L/Min,Inactive,2025-08-21
Sen0164,Sys0313,Proximity,Chicago Plant,38.45,Psi,Inactive,2026-02-11
Sen0165,Sys0259,Flow,Austin Plant,83.7,Psi,Inactive,2026-06-05
Sen0166,Sys0265,Proximity,Austin Plant,49.39,°C,Inactive,2026-05-06
Sen0167,Sys0349,Proximity,Dallas Plant,39.86,Psi,Active,2026-05-05
Sen0168,Sys0189,Temperature,Houston Plant,88.3,%,Inactive,2025-07-29
Sen0169,Sys0196,Proximity,Houston Plant,68.56,°C,Active,2025-11-17
Sen0170,Sys0345,Temperature,Austin Plant,27.96,Psi,Inactive,2026-04-17
Sen0171,Sys0437,Humidity,Houston Plant,25.12,L/Min,Inactive,2025-11-02
Sen0172,Sys0304,Flow,Austin Plant,14.04,%,Active,2025-10-06
Sen0173,Sys0327,Pressure,Austin Plant,68.35,%,Inactive,2025-08-31
Sen0174,Sys0426,Pressure,Austin Plant,54.62,°C,Inactive,2026-01-14
Sen0175,Sys0208,Pressure,Houston Plant,7.96,%,Active,2025-08-13
Sen0176,Sys0273,Humidity,Chicago Plant,17.79,%,Inactive,2025-08-16
Sen0177,Sys0086,Proximity,Austin Plant,40.37,Psi,Active,2025-11-25
Sen0178,Sys0176,Proximity,Phoenix Plant,78.17,%,Active,2025-09-01
Sen0179,Sys0115,Proximity,Dallas Plant,55.99,L/Min,Inactive,2026-03-27
Sen0180,Sys0188,Temperature,Chicago Plant,51.89,L/Min,Inactive,2025-08-15
Sen0181,Sys0009,Proximity,Houston Plant,75.6,%,Inactive,2026-06-29
Sen0182,Sys0115,Temperature,Austin Plant,30.66,°C,Active,2026-05-21
Sen0183,Sys0475,Temperature,Chicago Plant,59.9,Psi,Active,2025-08-20
Sen0184,Sys0102,Proximity,Houston Plant,58.2,%,Active,2025-11-10
Sen0185,Sys0045,Humidity,Austin Plant,39.45,°C,Inactive,2025-09-24
Sen0186,Sys0151,Flow,Dallas Plant,32.68,%,Active,2026-07-10
Sen0187,Sys0055,Pressure,Austin Plant,36.61,Psi,Inactive,2025-10-27
Sen0188,Sys0244,Proximity,Dallas Plant,23.81,L/Min,Inactive,2025-11-17
Sen0189,Sys0436,Humidity,Dallas Plant,1.61,%,Active,2025-10-22
Sen0190,Sys0357,Temperature,Houston Plant,95.04,°C,Active,2025-12-16
Sen0191,Sys0398,Humidity,Austin Plant,45.66,°C,Inactive,2025-11-27
Sen0192,Sys0288,Temperature,Phoenix Plant,73.25,Psi,Inactive,2026-04-06
Sen0193,Sys0004,Humidity,Houston Plant,12.98,%,Inactive,2026-01-24
Sen0194,Sys0084,Pressure,Houston Plant,55.74,L/Min,Inactive,2026-01-23
Sen0195,Sys0030,Humidity,Phoenix Plant,50.64,L/Min,Inactive,2025-10-29
Sen0196,Sys0144,Humidity,Austin Plant,13.82,%,Inactive,2026-01-20
Sen0197,Sys0380,Humidity,Phoenix Plant,63.22,L/Min,Inactive,2026-02-13
Sen0198,Sys0408,Humidity,Phoenix Plant,28.8,Psi,Inactive,2025-08-15
Sen0199,Sys0491,Proximity,Dallas Plant,96.76,L/Min,Inactive,2025-11-03
Sen0200,Sys0014,Pressure,Dallas Plant,88.25,°C,Active,2026-05-21
Sen0201,Sys0411,Humidity,Houston Plant,63.92,Psi,Active,2025-09-26
Sen0202,Sys0491,Pressure,Austin Plant,64.27,°C,Inactive,2026-02-01
Sen0203,Sys0445,Humidity,Dallas Plant,20.83,%,Inactive,2025-07-23
Sen0204,Sys0247,Temperature,Phoenix Plant,20.41,L/Min,Active,2026-03-03
Sen0205,Sys0350,Temperature,Houston Plant,30.33,L/Min,Inactive,2026-06-17
Sen0206,Sys0301,Proximity,Chicago Plant,14.41,Psi,Inactive,2025-08-16
Sen0207,Sys0230,Flow,Houston Plant,64.31,Psi,Active,2025-09-12
Sen0208,Sys0067,Humidity,Phoenix Plant,98.48,Psi,Inactive,2025-12-02
Sen0209,Sys0148,Pressure,Dallas Plant,52.58,Psi,Active,2025-09-05
Sen0210,Sys0378,Pressure,Austin Plant,83.63,Psi,Active,2026-06-17
Sen0211,Sys0311,Pressure,Dallas Plant,62.69,°C,Active,2025-11-14
Sen0212,Sys0194,Temperature,Dallas Plant,51.96,L/Min,Inactive,2025-11-12
Sen0213,Sys0251,Pressure,Austin Plant,71.75,L/Min,Inactive,2026-06-15
Sen0214,Sys0013,Proximity,Austin Plant,76.69,L/Min,Active,2026-05-23
Sen0215,Sys0341,Flow,Austin Plant,78.69,%,Inactive,2026-02-07
Sen0216,Sys0238,Humidity,Houston Plant,74.68,%,Inactive,2026-03-20
Sen0217,Sys0248,Pressure,Chicago Plant,15.48,°C,Inactive,2026-02-16
Sen0218,Sys0073,Proximity,Dallas Plant,51.09,L/Min,Inactive,2025-10-07
Sen0219,Sys0461,Proximity,Austin Plant,72.96,L/Min,Active,2025-10-07
Sen0220,Sys0282,Pressure,Chicago Plant,96.04,L/Min,Active,2025-08-14
Sen0221,Sys0033,Flow,Austin Plant,19.83,Psi,Active,2025-12-20
Sen0222,Sys0490,Temperature,Houston Plant,18.18,Psi,Active,2025-11-04
Sen0223,Sys0380,Flow,Austin Plant,95.53,L/Min,Inactive,2025-11-02
Sen0224,Sys0337,Proximity,Dallas Plant,64.04,Psi,Active,2025-10-01
Sen0225,Sys0122,Pressure,Houston Plant,65.33,Psi,Active,2025-08-12
Sen0226,Sys0164,Proximity,Houston Plant,26.68,°C,Inactive,2025-10-17
Sen0227,Sys0372,Flow,Chicago Plant,21.89,L/Min,Inactive,2026-03-04
Sen0228,Sys0127,Temperature,Phoenix Plant,33.26,%,Inactive,2026-04-21
Sen0229,Sys0313,Temperature,Austin Plant,89.33,L/Min,Active,2026-05-03
Sen0230,Sys0096,Proximity,Austin Plant,44.01,Psi,Active,2026-03-17
Sen0231,Sys0170,Pressure,Phoenix Plant,46.85,L/Min,Active,2026-05-07
Sen0232,Sys0110,Flow,Houston Plant,13.83,Psi,Active,2026-03-19
Sen0233,Sys0077,Temperature,Dallas Plant,13.47,%,Inactive,2025-10-19
Sen0234,Sys0374,Temperature,Phoenix Plant,18.84,°C,Active,2025-07-17
Sen0235,Sys0136,Proximity,Chicago Plant,60.66,L/Min,Inactive,2026-01-20
Sen0236,Sys0179,Pressure,Houston Plant,66.73,%,Active,2025-11-25
Sen0237,Sys0122,Proximity,Chicago Plant,92.43,°C,Active,2025-07-13
Sen0238,Sys0009,Humidity,Houston Plant,23.63,L/Min,Active,2026-02-19
Sen0239,Sys0418,Proximity,Phoenix Plant,32.07,L/Min,Active,2025-10-25
Sen0240,Sys0178,Pressure,Austin Plant,87.2,°C,Active,2025-07-18
Sen0241,Sys0399,Pressure,Phoenix Plant,16.75,%,Active,2025-09-11
Sen0242,Sys0048,Humidity,Austin Plant,47.8,Psi,Active,2025-08-20
Sen0243,Sys0314,Pressure,Dallas Plant,57.65,L/Min,Active,2025-12-19
Sen0244,Sys0108,Proximity,Chicago Plant,9.29,°C,Active,2025-08-26
Sen0245,Sys0204,Temperature,Austin Plant,73.18,°C,Active,2026-06-14
Sen0246,Sys0081,Temperature,Chicago Plant,41.01,Psi,Active,2026-05-16
Sen0247,Sys0059,Proximity,Dallas Plant,11.59,L/Min,Inactive,2025-12-23
Sen0248,Sys0054,Pressure,Austin Plant,4.19,°C,Inactive,2025-12-30
Sen0249,Sys0070,Humidity,Phoenix Plant,76.0,Psi,Active,2026-04-09
Sen0250,Sys0474,Proximity,Austin Plant,3.7,Psi,Inactive,2025-10-22
Sen0251,Sys0195,Humidity,Austin Plant,53.61,Psi,Inactive,2025-11-15
Sen0252,Sys0334,Humidity,Phoenix Plant,10.36,%,Active,2025-08-01
Sen0253,Sys0052,Temperature,Houston Plant,2.27,L/Min,Active,2026-06-21
Sen0254,Sys0473,Humidity,Dallas Plant,57.64,%,Active,2025-09-04
Sen0255,Sys0077,Proximity,Houston Plant,37.56,°C,Active,2025-10-20
Sen0256,Sys0359,Humidity,Houston Plant,72.16,°C,Active,2025-11-23
Sen0257,Sys0413,Pressure,Phoenix Plant,59.62,Psi,Inactive,2026-04-13
Sen0258,Sys0422,Temperature,Dallas Plant,22.89,L/Min,Active,2026-02-24
Sen0259,Sys0073,Humidity,Austin Plant,42.39,%,Inactive,2025-10-21
Sen0260,Sys0277,Humidity,Chicago Plant,30.69,Psi,Active,2025-11-21
Sen0261,Sys0434,Temperature,Houston Plant,94.15,Psi,Active,2026-04-13
Sen0262,Sys0073,Flow,Dallas Plant,42.25,%,Active,2026-06-21
Sen0263,Sys0246,Pressure,Phoenix Plant,49.49,°C,Active,2026-07-02
Sen0264,Sys0307,Proximity,Dallas Plant,44.31,°C,Inactive,2026-06-17
Sen0265,Sys0219,Proximity,Dallas Plant,41.23,Psi,Active,2026-05-12
Sen0266,Sys0441,Humidity,Phoenix Plant,65.01,°C,Inactive,2025-11-09
Sen0267,Sys0164,Humidity,Austin Plant,82.78,°C,Active,2026-05-11
Sen0268,Sys0360,Humidity,Dallas Plant,24.97,°C,Active,2025-11-30
Sen0269,Sys0316,Humidity,Chicago Plant,95.66,L/Min,Inactive,2026-03-26
Sen0270,Sys0217,Humidity,Phoenix Plant,6.49,L/Min,Inactive,2025-10-11
Sen0271,Sys0191,Humidity,Chicago Plant,84.35,Psi,Inactive,2025-09-30
Sen0272,Sys0246,Temperature,Austin Plant,83.68,%,Inactive,2026-05-23
Sen0273,Sys0223,Temperature,Dallas Plant,4.41,°C,Active,2026-03-15
Sen0274,Sys0409,Proximity,Dallas Plant,3.87,°C,Inactive,2026-05-07
Sen0275,Sys0284,Pressure,Dallas Plant,44.93,%,Active,2025-10-26
Sen0276,Sys0251,Pressure,Chicago Plant,51.63,°C,Active,2025-12-04
Sen0277,Sys0416,Humidity,Chicago Plant,10.74,°C,Active,2025-11-21
Sen0278,Sys0499,Humidity,Dallas Plant,46.35,Psi,Active,2025-10-23
Sen0279,Sys0210,Flow,Dallas Plant,24.65,L/Min,Active,2025-11-18
Sen0280,Sys0171,Temperature,Dallas Plant,81.3,%,Inactive,2026-03-05
Sen0281,Sys0497,Proximity,Houston Plant,49.2,Psi,Inactive,2026-01-04
Sen0282,Sys0090,Temperature,Austin Plant,2.48,L/Min,Active,2026-05-12
Sen0283,Sys0179,Proximity,Phoenix Plant,67.64,L/Min,Inactive,2026-03-05
Sen0284,Sys0361,Flow,Phoenix Plant,25.38,°C,Active,2026-01-05
Sen0285,Sys0062,Proximity,Dallas Plant,33.38,Psi,Inactive,2025-08-08
Sen0286,Sys0081,Flow,Houston Plant,83.83,L/Min,Inactive,2025-12-24
Sen0287,Sys0422,Pressure,Dallas Plant,35.32,°C,Active,2025-08-20
Sen0288,Sys0426,Pressure,Chicago Plant,1.9,°C,Inactive,2026-04-10
Sen0289,Sys0207,Flow,Chicago Plant,10.02,%,Active,2025-10-10
Sen0290,Sys0387,Temperature,Dallas Plant,5.06,L/Min,Inactive,2025-12-25
Sen0291,Sys0064,Humidity,Dallas Plant,1.96,%,Active,2025-11-28
Sen0292,Sys0279,Proximity,Dallas Plant,82.05,%,Active,2026-01-02
Sen0293,Sys0162,Pressure,Dallas Plant,31.67,Psi,Active,2025-09-28
Sen0294,Sys0131,Proximity,Phoenix Plant,50.18,%,Inactive,2026-06-06
Sen0295,Sys0476,Flow,Phoenix Plant,52.92,L/Min,Active,2025-07-22
Sen0296,Sys0332,Temperature,Austin Plant,46.32,L/Min,Active,2026-01-29
Sen0297,Sys0417,Flow,Chicago Plant,60.3,%,Active,2025-07-27
Sen0298,Sys0211,Flow,Dallas Plant,14.84,L/Min,Inactive,2026-03-18
Sen0299,Sys0488,Temperature,Chicago Plant,47.99,%,Active,2025-11-21
Sen0300,Sys0120,Pressure,Houston Plant,43.69,Psi,Inactive,2025-12-06
Sen0301,Sys0299,Proximity,Dallas Plant,99.57,L/Min,Active,2025-09-13
Sen0302,Sys0035,Humidity,Austin Plant,88.34,Psi,Active,2026-05-16
Sen0303,Sys0110,Flow,Dallas Plant,51.56,Psi,Active,2026-05-14
Sen0304,Sys0046,Flow,Dallas Plant,84.1,°C,Inactive,2026-04-22
Sen0305,Sys0049,Proximity,Dallas Plant,23.52,L/Min,Active,2026-04-27
Sen0306,Sys0460,Temperature,Dallas Plant,97.6,°C,Inactive,2025-12-09
Sen0307,Sys0476,Proximity,Dallas Plant,81.53,°C,Inactive,2026-06-14
Sen0308,Sys0458,Humidity,Houston Plant,53.51,Psi,Active,2026-04-19
Sen0309,Sys0232,Humidity,Phoenix Plant,51.31,Psi,Inactive,2026-01-19
Sen0310,Sys0498,Proximity,Houston Plant,43.77,°C,Active,2026-04-13
Sen0311,Sys0032,Temperature,Houston Plant,54.01,L/Min,Inactive,2025-12-22
Sen0312,Sys0164,Flow,Dallas Plant,82.88,Psi,Active,2025-10-24
Sen0313,Sys0195,Proximity,Dallas Plant,29.96,L/Min,Active,2025-11-28
Sen0314,Sys0392,Temperature,Austin Plant,51.09,L/Min,Inactive,2026-03-22
Sen0315,Sys0406,Pressure,Phoenix Plant,67.04,Psi,Inactive,2025-09-12
Sen0316,Sys0372,Flow,Phoenix Plant,94.33,L/Min,Active,2026-04-03
Sen0317,Sys0137,Temperature,Phoenix Plant,35.46,°C,Inactive,2025-11-08
Sen0318,Sys0464,Temperature,Phoenix Plant,42.35,%,Inactive,2026-07-10
Sen0319,Sys0023,Flow,Phoenix Plant,64.23,Psi,Inactive,2025-11-21
Sen0320,Sys0146,Proximity,Phoenix Plant,22.41,L/Min,Inactive,2025-09-08
Sen0321,Sys0055,Flow,Phoenix Plant,79.79,L/Min,Active,2025-07-28
Sen0322,Sys0150,Temperature,Phoenix Plant,92.62,%,Inactive,2025-09-19
