Log_ID,Timestamp,System_ID,Tag_Name,Current_Value,High_Limit,Low_Limit,Alarm_Status
Log0024,2026-04-16 01:36:04,Sys0031,Speed,85.46,95,10,Warning
Log0025,2026-04-15 17:12:47,Sys0254,Temperature,86.28,95,10,Warning
Log0026,2026-04-19 14:35:44,Sys0228,Temperature,22.44,95,10,Warning
Log0027,2026-06-21 20:19:04,Sys0095,Flow,43.11,95,10,Normal
Log0028,2026-04-17 21:06:20,Sys0339,Speed,3.13,95,10,Warning
Log0029,2026-04-26 09:22:40,Sys0480,Temperature,91.01,95,10,Warning
Log0030,2026-04-22 09:30:25,Sys0473,Speed,81.02,95,10,Critical
Log0031,2026-04-21 07:02:19,Sys0111,Temperature,34.09,95,10,Critical
Log0032,2026-06-28 21:10:53,Sys0223,Voltage,78.26,95,10,Critical
Log0033,2026-05-29 08:37:23,Sys0386,Temperature,80.74,95,10,Critical
Log0034,2026-07-08 06:30:33,Sys0199,Flow,93.25,95,10,Warning
Log0035,2026-04-19 01:03:02,Sys0440,Current,46.35,95,10,Critical
Log0036,2026-05-22 08:15:17,Sys0369,Current,76.9,95,10,Warning
Log0037,2026-05-12 22:34:52,Sys0084,Voltage,46.73,95,10,Normal
Log0038,2026-04-26 12:30:57,Sys0068,Temperature,28.07,95,10,Critical
Log0039,2026-06-04 06:36:28,Sys0487,Speed,8.55,95,10,Normal
Log0040,2026-06-13 00:45:15,Sys0395,Current,29.58,95,10,Critical
Log0041,2026-06-13 07:24:06,Sys0203,Temperature,61.55,95,10,Warning
Log0042,2026-07-09 22:33:04,Sys0138,Flow,25.05,95,10,Critical
Log0043,2026-05-06 06:42:31,Sys0415,Current,1.23,95,10,Warning
Log0044,2026-06-13 09:46:40,Sys0292,Flow,32.1,95,10,Warning
Log0045,2026-05-16 02:54:17,Sys0434,Pressure,44.38,95,10,Normal
Log0046,2026-07-09 11:46:10,Sys0226,Temperature,46.64,95,10,Warning
Log0047,2026-05-21 20:24:51,Sys0246,Flow,84.43,95,10,Normal
Log0048,2026-04-17 17:56:56,Sys0210,Temperature,57.96,95,10,Normal
Log0049,2026-06-12 10:29:25,Sys0142,Current,55.14,95,10,Normal
Log0050,2026-06-20 07:51:46,Sys0226,Pressure,25.8,95,10,Warning
Log0051,2026-05-02 16:37:22,Sys0133,Voltage,12.72,95,10,Critical
Log0052,2026-05-04 15:15:21,Sys0090,Pressure,87.12,95,10,Critical
Log0053,2026-04-21 13:18:12,Sys0026,Pressure,11.44,95,10,Normal
Log0054,2026-06-09 09:56:21,Sys0095,Flow,50.67,95,10,Warning
Log0055,2026-04-18 23:36:44,Sys0297,Speed,4.2,95,10,Critical
Log0056,2026-05-25 03:23:20,Sys0117,Temperature,95.17,95,10,Warning
Log0057,2026-06-11 10:10:59,Sys0500,Speed,1.61,95,10,Warning
Log0058,2026-06-10 20:06:15,Sys0277,Flow,4.47,95,10,Normal
Log0059,2026-05-13 15:31:45,Sys0180,Temperature,7.75,95,10,Warning
Log0060,2026-06-08 12:37:48,Sys0058,Current,7.75,95,10,Normal
Log0061,2026-05-23 23:22:08,Sys0167,Current,37.14,95,10,Critical
Log0062,2026-05-19 05:20:59,Sys0213,Temperature,64.19,95,10,Warning
Log0063,2026-06-15 16:44:02,Sys0074,Temperature,32.65,95,10,Warning
Log0064,2026-04-24 07:48:14,Sys0172,Voltage,89.74,95,10,Warning
Log0065,2026-04-23 23:18:35,Sys0241,Speed,62.19,95,10,Normal
Log0066,2026-07-12 00:32:13,Sys0189,Temperature,29.09,95,10,Normal
Log0067,2026-04-17 14:54:12,Sys0467,Current,2.55,95,10,Critical
Log0068,2026-06-29 09:00:58,Sys0109,Speed,51.08,95,10,Critical
Log0069,2026-05-20 09:55:44,Sys0261,Current,71.28,95,10,Normal
Log0070,2026-05-15 15:24:46,Sys0194,Current,3.26,95,10,Critical
Log0071,2026-07-03 20:42:08,Sys0077,Voltage,76.26,95,10,Critical
Log0072,2026-05-02 13:15:19,Sys0041,Temperature,95.86,95,10,Normal
Log0073,2026-05-22 14:56:13,Sys0290,Current,99.78,95,10,Critical
Log0074,2026-07-05 23:46:09,Sys0281,Flow,41.81,95,10,Critical
Log0075,2026-06-29 05:35:28,Sys0063,Current,79.82,95,10,Critical
Log0076,2026-05-08 13:00:38,Sys0242,Flow,52.44,95,10,Warning
Log0077,2026-05-17 15:26:07,Sys0163,Speed,19.5,95,10,Critical
Log0078,2026-06-25 16:02:21,Sys0151,Pressure,32.87,95,10,Warning
Log0079,2026-06-12 09:49:25,Sys0119,Voltage,31.48,95,10,Normal
Log0080,2026-07-13 07:20:43,Sys0355,Pressure,44.5,95,10,Warning
Log0081,2026-04-30 12:11:04,Sys0186,Temperature,35.2,95,10,Critical
Log0082,2026-05-02 11:25:21,Sys0040,Speed,65.33,95,10,Critical
Log0083,2026-05-21 23:14:34,Sys0118,Voltage,78.63,95,10,Normal
Log0084,2026-05-19 13:55:56,Sys0292,Pressure,92.57,95,10,Normal
Log0085,2026-05-04 17:18:04,Sys0398,Voltage,67.41,95,10,Critical
Log0086,2026-07-09 00:48:59,Sys0071,Current,26.03,95,10,Warning
Log0087,2026-04-18 02:41:00,Sys0175,Speed,11.8,95,10,Warning
Log0088,2026-05-16 10:33:14,Sys0216,Current,98.32,95,10,Critical
Log0089,2026-06-26 07:19:17,Sys0254,Flow,88.14,95,10,Normal
Log0090,2026-05-06 18:07:31,Sys0461,Pressure,87.64,95,10,Normal
Log0091,2026-05-18 12:53:27,Sys0086,Temperature,41.86,95,10,Critical
Log0092,2026-06-13 23:04:39,Sys0365,Voltage,74.29,95,10,Normal
Log0093,2026-06-12 05:24:35,Sys0446,Temperature,83.39,95,10,Normal
Log0094,2026-04-21 22:59:07,Sys0354,Pressure,98.99,95,10,Normal
Log0095,2026-06-30 19:27:26,Sys0264,Current,91.86,95,10,Warning
Log0096,2026-07-13 23:03:56,Sys0182,Pressure,40.23,95,10,Critical
Log0097,2026-07-06 02:33:01,Sys0124,Flow,29.34,95,10,Warning
Log0098,2026-06-30 01:37:54,Sys0460,Speed,59.15,95,10,Critical
Log0099,2026-04-29 21:34:58,Sys0056,Flow,4.52,95,10,Critical
Log0100,2026-06-17 01:58:54,Sys0472,Speed,94.99,95,10,Warning
Log0101,2026-04-30 17:50:00,Sys0323,Voltage,74.07,95,10,Warning
Log0102,2026-05-03 21:21:57,Sys0149,Voltage,70.01,95,10,Critical
Log0103,2026-04-27 03:55:03,Sys0094,Flow,76.6,95,10,Critical
Log0104,2026-06-29 16:51:44,Sys0043,Pressure,89.56,95,10,Critical
Log0105,2026-07-13 19:03:04,Sys0304,Speed,67.39,95,10,Warning
Log0106,2026-05-10 03:12:14,Sys0195,Speed,43.86,95,10,Critical
Log0107,2026-07-05 10:43:40,Sys0370,Current,27.93,95,10,Normal
Log0108,2026-06-04 16:27:43,Sys0119,Speed,49.33,95,10,Normal
Log0109,2026-06-15 12:38:03,Sys0289,Current,89.73,95,10,Critical
Log0110,2026-05-24 15:41:43,Sys0261,Voltage,28.53,95,10,Warning
Log0111,2026-06-19 22:28:31,Sys0164,Pressure,95.35,95,10,Normal
Log0112,2026-05-02 10:07:51,Sys0417,Flow,88.24,95,10,Critical
Log0113,2026-05-23 12:13:02,Sys0108,Voltage,51.91,95,10,Critical
Log0114,2026-06-13 04:03:01,Sys0451,Current,31.44,95,10,Warning
Log0115,2026-06-28 23:56:53,Sys0146,Pressure,11.86,95,10,Warning
Log0116,2026-05-07 21:42:28,Sys0250,Voltage,22.36,95,10,Normal
Log0117,2026-07-07 16:13:57,Sys0148,Speed,98.88,95,10,Normal
Log0118,2026-05-08 01:29:32,Sys0474,Pressure,66.64,95,10,Normal
Log0119,2026-05-08 10:16:36,Sys0050,Pressure,55.22,95,10,Critical
Log0120,2026-06-02 00:53:27,Sys0387,Pressure,2.74,95,10,Normal
Log0121,2026-04-27 22:32:08,Sys0492,Current,53.79,95,10,Normal
Log0122,2026-05-19 21:36:59,Sys0004,Voltage,83.25,95,10,Normal
Log0123,2026-05-09 03:40:33,Sys0190,Pressure,28.18,95,10,Critical
Log0124,2026-05-10 12:42:23,Sys0219,Flow,44.48,95,10,Normal
Log0125,2026-06-19 02:06:10,Sys0426,Voltage,29.49,95,10,Normal
Log0126,2026-04-26 22:12:47,Sys0367,Flow,91.92,95,10,Normal
Log0127,2026-05-22 08:56:12,Sys0228,Voltage,49.33,95,10,Normal
Log0128,2026-05-31 22:14:46,Sys0443,Pressure,99.31,95,10,Critical
Log0129,2026-05-28 06:40:39,Sys0343,Temperature,96.84,95,10,Normal
Log0130,2026-05-17 19:23:58,Sys0382,Pressure,72.74,95,10,Warning
Log0131,2026-07-01 04:43:43,Sys0081,Current,33.53,95,10,Warning
Log0132,2026-06-18 20:20:13,Sys0323,Flow,51.28,95,10,Normal
Log0133,2026-07-01 22:06:44,Sys0362,Flow,31.48,95,10,Normal
Log0134,2026-06-04 22:23:00,Sys0222,Temperature,93.24,95,10,Critical
Log0135,2026-05-28 20:36:53,Sys0163,Pressure,84.14,95,10,Critical
Log0136,2026-04-22 00:25:19,Sys0429,Flow,3.56,95,10,Critical
Log0137,2026-06-10 06:40:24,Sys0322,Temperature,24.59,95,10,Critical
Log0138,2026-05-24 15:35:45,Sys0193,Pressure,67.33,95,10,Warning
Log0139,2026-04-21 18:38:22,Sys0241,Pressure,48.45,95,10,Normal
Log0140,2026-04-24 10:41:34,Sys0376,Voltage,28.26,95,10,Normal
Log0141,2026-05-12 08:43:56,Sys0326,Temperature,95.08,95,10,Critical
Log0142,2026-06-23 04:43:13,Sys0384,Pressure,0.32,95,10,Normal
Log0143,2026-05-10 02:50:08,Sys0252,Current,61.12,95,10,Critical
Log0144,2026-05-07 11:08:52,Sys0092,Temperature,41.82,95,10,Warning
Log0145,2026-05-28 15:26:47,Sys0315,Voltage,63.1,95,10,Normal
Log0146,2026-05-19 00:06:10,Sys0327,Speed,48.42,95,10,Critical
Log0147,2026-07-03 01:34:28,Sys0489,Pressure,87.79,95,10,Normal
Log0148,2026-04-17 15:13:00,Sys0449,Speed,66.8,95,10,Warning
Log0149,2026-06-24 16:30:26,Sys0408,Flow,39.22,95,10,Warning
Log0150,2026-06-09 04:42:50,Sys0279,Voltage,29.54,95,10,Normal
Log0151,2026-06-04 06:27:20,Sys0058,Speed,41.96,95,10,Warning
Log0152,2026-06-29 18:59:05,Sys0167,Pressure,66.24,95,10,Normal
Log0153,2026-06-08 06:54:35,Sys0091,Voltage,95.63,95,10,Critical
Log0154,2026-06-05 05:02:59,Sys0059,Speed,69.7,95,10,Critical
Log0155,2026-06-16 16:12:00,Sys0066,Voltage,84.01,95,10,Warning
Log0156,2026-05-22 19:50:09,Sys0308,Voltage,68.72,95,10,Normal
Log0157,2026-07-12 13:05:57,Sys0149,Speed,50.75,95,10,Warning
Log0158,2026-05-06 03:27:42,Sys0032,Current,77.18,95,10,Warning
Log0159,2026-05-26 15:20:56,Sys0346,Speed,41.12,95,10,Warning
Log0160,2026-05-04 04:50:57,Sys0218,Voltage,26.07,95,10,Normal
Log0161,2026-05-13 19:48:00,Sys0138,Voltage,72.82,95,10,Warning
Log0162,2026-05-16 13:49:53,Sys0326,Temperature,30.85,95,10,Warning
Log0163,2026-06-12 08:31:27,Sys0114,Current,87.56,95,10,Critical
Log0164,2026-06-12 16:34:58,Sys0106,Flow,11.03,95,10,Critical
Log0165,2026-05-31 13:19:55,Sys0313,Speed,12.92,95,10,Critical
Log0166,2026-06-30 00:47:30,Sys0011,Flow,2.11,95,10,Warning
Log0167,2026-06-01 14:58:42,Sys0047,Flow,33.33,95,10,Warning
Log0168,2026-05-05 16:38:06,Sys0393,Current,6.35,95,10,Normal
Log0169,2026-04-19 15:00:40,Sys0266,Pressure,36.21,95,10,Normal
Log0170,2026-06-25 04:44:46,Sys0081,Current,39.55,95,10,Critical
Log0171,2026-05-22 20:04:47,Sys0118,Speed,80.13,95,10,Warning
Log0172,2026-06-01 09:29:21,Sys0170,Voltage,21.56,95,10,Critical
Log0173,2026-06-01 09:51:27,Sys0128,Temperature,3.61,95,10,Normal
Log0174,2026-06-30 16:52:31,Sys0387,Current,10.25,95,10,Warning
Log0175,2026-05-06 14:31:13,Sys0406,Voltage,4.23,95,10,Warning
Log0176,2026-06-22 13:27:28,Sys0155,Temperature,23.0,95,10,Critical
Log0177,2026-05-21 04:15:30,Sys0127,Temperature,27.25,95,10,Normal
Log0178,2026-04-24 12:35:18,Sys0417,Voltage,65.53,95,10,Normal
Log0179,2026-07-01 08:00:03,Sys0419,Flow,87.66,95,10,Normal
Log0180,2026-04-18 04:08:08,Sys0040,Temperature,50.45,95,10,Critical
Log0181,2026-05-01 15:39:02,Sys0391,Flow,41.54,95,10,Normal
Log0182,2026-04-23 09:19:49,Sys0381,Current,60.49,95,10,Normal
Log0183,2026-05-22 05:54:35,Sys0049,Flow,58.82,95,10,Warning
Log0184,2026-04-24 08:00:16,Sys0100,Current,85.93,95,10,Warning
Log0185,2026-05-21 20:04:19,Sys0218,Current,74.35,95,10,Warning
Log0186,2026-06-09 18:39:53,Sys0141,Voltage,20.27,95,10,Warning
Log0187,2026-05-10 13:25:58,Sys0497,Flow,57.62,95,10,Warning
Log0188,2026-06-04 11:31:36,Sys0150,Voltage,9.31,95,10,Warning
Log0189,2026-05-15 04:18:35,Sys0288,Speed,48.33,95,10,Critical
Log0190,2026-05-28 16:05:08,Sys0274,Current,24.46,95,10,Normal
Log0191,2026-07-05 07:36:12,Sys0255,Flow,39.36,95,10,Warning
Log0192,2026-07-05 06:06:00,Sys0391,Current,71.46,95,10,Warning
Log0193,2026-07-12 09:22:44,Sys0115,Current,97.52,95,10,Warning
Log0194,2026-07-14 01:28:59,Sys0395,Pressure,44.71,95,10,Warning
Log0195,2026-06-23 19:29:49,Sys0289,Temperature,64.28,95,10,Warning
Log0196,2026-07-07 17:58:37,Sys0074,Flow,97.58,95,10,Normal
Log0197,2026-05-10 22:27:03,Sys0288,Pressure,20.77,95,10,Warning
Log0198,2026-05-14 10:07:38,Sys0304,Pressure,8.39,95,10,Warning
Log0199,2026-05-17 07:20:52,Sys0316,Voltage,52.34,95,10,Critical
Log0200,2026-04-24 09:33:06,Sys0390,Pressure,5.89,95,10,Warning
Log0201,2026-06-17 20:27:15,Sys0130,Voltage,31.15,95,10,Warning
Log0202,2026-06-08 16:53:30,Sys0428,Pressure,3.65,95,10,Critical
Log0203,2026-06-11 01:29:24,Sys0290,Current,40.65,95,10,Normal
Log0204,2026-05-08 04:07:47,Sys0138,Flow,20.92,95,10,Critical
Log0205,2026-06-01 19:47:33,Sys0407,Voltage,54.56,95,10,Warning
Log0206,2026-07-01 08:52:24,Sys0492,Flow,23.57,95,10,Warning
Log0207,2026-07-12 15:04:23,Sys0363,Voltage,51.44,95,10,Critical
Log0208,2026-06-16 11:19:38,Sys0376,Temperature,92.12,95,10,Warning
Log0209,2026-05-31 00:50:13,Sys0359,Temperature,37.57,95,10,Normal
Log0210,2026-06-04 19:30:28,Sys0083,Current,74.81,95,10,Normal
Log0211,2026-05-17 04:14:56,Sys0102,Voltage,86.97,95,10,Normal
Log0212,2026-05-23 20:30:37,Sys0020,Voltage,49.52,95,10,Critical
Log0213,2026-05-23 20:04:06,Sys0412,Current,48.72,95,10,Critical
Log0214,2026-07-01 16:05:48,Sys0448,Current,41.81,95,10,Normal
Log0215,2026-05-27 05:28:53,Sys0152,Temperature,43.55,95,10,Warning
Log0216,2026-06-28 05:27:06,Sys0369,Flow,27.11,95,10,Warning
Log0217,2026-04-16 23:50:14,Sys0315,Speed,56.38,95,10,Normal
Log0218,2026-04-24 13:32:56,Sys0073,Speed,52.33,95,10,Normal
Log0219,2026-06-12 12:56:46,Sys0412,Current,95.2,95,10,Warning
Log0220,2026-06-10 19:57:39,Sys0266,Current,25.12,95,10,Warning
Log0221,2026-05-23 02:30:32,Sys0108,Speed,92.71,95,10,Critical
Log0222,2026-05-13 22:04:47,Sys0437,Pressure,16.42,95,10,Critical
Log0223,2026-05-07 15:47:02,Sys0425,Voltage,0.98,95,10,Warning
Log0224,2026-05-31 13:20:34,Sys0092,Pressure,47.05,95,10,Normal
Log0225,2026-07-07 21:27:51,Sys0160,Flow,18.77,95,10,Critical
Log0226,2026-06-05 14:21:48,Sys0049,Current,45.86,95,10,Normal
Log0227,2026-05-17 14:53:29,Sys0032,Current,46.87,95,10,Normal
Log0228,2026-05-31 21:46:11,Sys0035,Speed,63.63,95,10,Normal
Log0229,2026-05-17 03:04:24,Sys0177,Flow,1.41,95,10,Normal
Log0230,2026-06-08 03:57:59,Sys0141,Speed,82.08,95,10,Warning
Log0231,2026-05-20 06:29:54,Sys0300,Flow,30.58,95,10,Critical
Log0232,2026-05-03 08:18:58,Sys0393,Voltage,93.43,95,10,Critical
Log0233,2026-06-23 00:28:43,Sys0278,Flow,65.94,95,10,Normal
Log0234,2026-06-18 12:16:48,Sys0304,Pressure,10.3,95,10,Normal
Log0235,2026-07-10 03:55:01,Sys0144,Pressure,26.29,95,10,Normal
Log0236,2026-06-22 10:53:43,Sys0065,Current,58.73,95,10,Warning
Log0237,2026-05-29 20:51:09,Sys0170,Current,77.2,95,10,Critical
Log0238,2026-05-19 15:31:19,Sys0310,Speed,96.67,95,10,Critical
Log0239,2026-05-30 17:28:31,Sys0447,Current,66.85,95,10,Warning
Log0240,2026-06-13 16:29:58,Sys0108,Pressure,0.27,95,10,Normal
Log0241,2026-06-22 16:12:15,Sys0111,Temperature,92.95,95,10,Critical
Log0242,2026-07-01 05:44:16,Sys0076,Pressure,16.48,95,10,Normal
Log0243,2026-05-31 10:20:15,Sys0166,Temperature,89.6,95,10,Normal
Log0244,2026-05-16 10:28:42,Sys0071,Current,80.72,95,10,Warning
Log0245,2026-05-17 10:57:28,Sys0341,Voltage,32.71,95,10,Critical
Log0246,2026-06-19 07:57:10,Sys0390,Temperature,24.08,95,10,Warning
Log0247,2026-05-30 02:37:56,Sys0194,Voltage,70.62,95,10,Warning
Log0248,2026-06-02 11:48:17,Sys0160,Current,31.7,95,10,Normal
Log0249,2026-06-29 02:56:17,Sys0453,Current,84.22,95,10,Normal
Log0250,2026-07-01 14:45:17,Sys0485,Flow,83.36,95,10,Critical
Log0251,2026-04-20 20:46:02,Sys0074,Voltage,56.05,95,10,Warning
Log0252,2026-04-20 10:19:07,Sys0356,Speed,68.54,95,10,Critical
Log0253,2026-06-15 16:16:25,Sys0461,Voltage,65.21,95,10,Normal
Log0254,2026-06-22 17:14:46,Sys0013,Speed,85.54,95,10,Critical
Log0255,2026-06-05 08:34:51,Sys0178,Flow,42.41,95,10,Critical
Log0256,2026-05-09 20:59:47,Sys0287,Pressure,38.25,95,10,Normal
Log0257,2026-05-04 15:16:29,Sys0478,Flow,99.54,95,10,Normal
Log0258,2026-07-09 01:48:36,Sys0227,Speed,52.6,95,10,Normal
Log0259,2026-04-23 10:04:40,Sys0301,Speed,32.85,95,10,Warning
Log0260,2026-06-12 09:57:04,Sys0469,Speed,50.28,95,10,Normal
Log0261,2026-06-17 09:51:58,Sys0311,Speed,3.35,95,10,Warning
Log0262,2026-07-02 21:22:56,Sys0329,Voltage,39.83,95,10,Critical
Log0263,2026-05-27 14:22:51,Sys0361,Speed,27.42,95,10,Normal
Log0264,2026-07-11 01:47:51,Sys0498,Current,82.33,95,10,Critical
Log0265,2026-04-21 05:44:26,Sys0475,Voltage,99.72,95,10,Critical
Log0266,2026-05-14 17:45:32,Sys0233,Voltage,17.38,95,10,Critical
Log0267,2026-07-05 16:46:24,Sys0448,Flow,75.06,95,10,Normal
Log0268,2026-07-09 15:31:17,Sys0020,Speed,2.88,95,10,Critical
Log0269,2026-04-17 05:23:02,Sys0079,Flow,73.62,95,10,Normal
Log0270,2026-07-07 23:09:53,Sys0043,Voltage,83.41,95,10,Normal
Log0271,2026-06-08 17:09:31,Sys0029,Voltage,63.75,95,10,Normal
Log0272,2026-04-29 06:55:00,Sys0161,Temperature,85.79,95,10,Warning
Log0273,2026-06-30 15:24:50,Sys0437,Pressure,65.51,95,10,Critical
Log0274,2026-06-10 02:04:22,Sys0009,Speed,83.73,95,10,Warning
Log0275,2026-06-05 23:02:10,Sys0460,Flow,16.92,95,10,Critical
Log0276,2026-06-11 19:38:48,Sys0370,Speed,51.63,95,10,Critical
Log0277,2026-07-02 20:14:11,Sys0207,Voltage,83.77,95,10,Critical
Log0278,2026-07-01 07:44:32,Sys0032,Temperature,19.29,95,10,Critical
Log0279,2026-05-31 22:32:27,Sys0076,Flow,26.66,95,10,Normal
Log0280,2026-06-15 17:00:52,Sys0228,Temperature,27.55,95,10,Normal
Log0281,2026-07-12 04:09:15,Sys0353,Current,40.93,95,10,Critical
Log0282,2026-06-25 19:40:19,Sys0383,Temperature,31.12,95,10,Critical
Log0283,2026-06-04 04:57:53,Sys0180,Temperature,34.15,95,10,Critical
Log0284,2026-05-05 16:57:39,Sys0429,Flow,8.61,95,10,Warning
Log0285,2026-05-19 10:32:23,Sys0046,Temperature,91.8,95,10,Normal
Log0286,2026-04-27 11:44:04,Sys0374,Temperature,18.57,95,10,Critical
Log0287,2026-05-16 23:34:31,Sys0321,Temperature,76.67,95,10,Normal
Log0288,2026-05-09 22:36:28,Sys0112,Flow,37.45,95,10,Normal
Log0289,2026-05-15 14:56:37,Sys0450,Flow,94.32,95,10,Warning
Log0290,2026-05-06 02:47:05,Sys0429,Flow,64.23,95,10,Normal
Log0291,2026-06-29 22:04:04,Sys0383,Flow,13.27,95,10,Normal
Log0292,2026-04-20 04:44:40,Sys0195,Flow,28.71,95,10,Warning
Log0293,2026-04-27 18:42:43,Sys0072,Current,31.55,95,10,Normal
Log0294,2026-05-22 06:58:30,Sys0428,Pressure,27.28,95,10,Normal
Log0295,2026-05-25 23:21:18,Sys0091,Speed,25.94,95,10,Warning
Log0296,2026-05-25 21:02:02,Sys0136,Temperature,48.99,95,10,Critical
Log0297,2026-04-29 10:32:47,Sys0187,Speed,77.24,95,10,Critical
Log0298,2026-05-18 14:08:50,Sys0231,Flow,68.7,95,10,Normal
Log0299,2026-06-06 17:24:57,Sys0019,Current,38.57,95,10,Critical
Log0300,2026-05-29 17:34:40,Sys0292,Pressure,99.38,95,10,Warning
Log0301,2026-06-08 13:34:28,Sys0178,Flow,81.09,95,10,Warning
Log0302,2026-04-16 03:25:55,Sys0107,Speed,69.97,95,10,Critical
Log0303,2026-06-03 22:02:22,Sys0283,Flow,79.43,95,10,Normal
Log0304,2026-05-01 06:17:35,Sys0263,Pressure,25.82,95,10,Warning
Log0305,2026-06-18 15:11:48,Sys0134,Temperature,92.19,95,10,Critical
Log0306,2026-06-30 16:51:39,Sys0338,Flow,18.64,95,10,Normal
Log0307,2026-05-14 23:11:54,Sys0240,Current,32.3,95,10,Critical
Log0308,2026-06-10 14:33:55,Sys0194,Flow,58.84,95,10,Normal
Log0309,2026-04-23 09:08:13,Sys0166,Flow,10.46,95,10,Warning
Log0310,2026-06-26 18:52:31,Sys0446,Temperature,15.88,95,10,Warning
Log0311,2026-05-24 04:31:46,Sys0172,Speed,64.79,95,10,Normal
Log0312,2026-06-30 08:02:58,Sys0096,Speed,30.63,95,10,Warning
Log0313,2026-06-05 02:17:45,Sys0280,Pressure,75.2,95,10,Warning
Log0314,2026-05-06 21:16:51,Sys0415,Current,45.64,95,10,Critical
Log0315,2026-07-07 01:48:00,Sys0356,Voltage,73.1,95,10,Warning
Log0316,2026-07-14 13:36:28,Sys0428,Pressure,25.26,95,10,Warning
Log0317,2026-06-23 21:14:16,Sys0308,Speed,48.26,95,10,Warning
Log0318,2026-04-28 11:35:21,Sys0154,Temperature,97.08,95,10,Normal
Log0319,2026-05-02 23:42:59,Sys0391,Current,10.79,95,10,Warning
Log0320,2026-07-03 02:41:57,Sys0397,Speed,95.4,95,10,Warning
Log0321,2026-06-23 19:08:49,Sys0304,Temperature,16.4,95,10,Normal
Log0322,2026-05-07 07:06:20,Sys0473,Speed,88.66,95,10,Critical
Log0323,2026-05-20 02:04:36,Sys0483,Current,19.85,95,10,Critical
Log0324,2026-04-26 07:41:36,Sys0385,Pressure,12.99,95,10,Warning
Log0325,2026-05-18 09:33:00,Sys0404,Temperature,97.03,95,10,Warning
Log0326,2026-07-05 00:29:18,Sys0406,Pressure,80.15,95,10,Warning
Log0327,2026-07-04 20:40:44,Sys0203,Pressure,46.06,95,10,Critical
Log0328,2026-07-10 15:05:07,Sys0076,Pressure,88.3,95,10,Warning
Log0329,2026-07-04 22:27:41,Sys0158,Temperature,18.46,95,10,Normal
Log0330,2026-04-26 22:36:38,Sys0224,Temperature,72.41,95,10,Normal
Log0331,2026-06-17 11:54:03,Sys0351,Current,84.57,95,10,Warning
Log0332,2026-06-04 00:01:49,Sys0003,Voltage,15.93,95,10,Normal
Log0333,2026-06-09 14:22:21,Sys0242,Current,68.68,95,10,Critical
Log0334,2026-07-04 18:20:10,Sys0109,Voltage,66.84,95,10,Warning
Log0335,2026-07-10 12:10:52,Sys0362,Pressure,76.31,95,10,Normal
Log0336,2026-05-07 22:31:10,Sys0199,Pressure,31.84,95,10,Normal
Log0337,2026-06-29 12:30:33,Sys0205,Speed,89.8,95,10,Critical
Log0338,2026-05-25 01:58:57,Sys0374,Voltage,59.69,95,10,Critical
Log0339,2026-06-16 19:05:23,Sys0037,Speed,48.83,95,10,Critical
Log0340,2026-06-30 00:11:30,Sys0497,Current,2.69,95,10,Critical
Log0341,2026-06-25 16:32:54,Sys0092,Pressure,36.91,95,10,Warning
Log0342,2026-05-20 22:43:09,Sys0257,Temperature,61.06,95,10,Warning
Log0343,2026-07-05 23:40:55,Sys0469,Temperature,64.56,95,10,Normal
Log0344,2026-04-15 20:16:29,Sys0256,Pressure,4.42,95,10,Warning
